physical_risk_id,counterparty_id,hazard_type,acute_risk_score,chronic_risk_score,exposure_amount_meur,bank_id,country,assessment_horizon,scenario_basis,data_source,hazard_category,high_risk_flag,financial_impact_meur,portfolio_pct,nace_code
PR000019,CP00011,wildfire,2,3,4.73,BANK01,IT,2030,RCP_4.5,ECB_climate_indicators,acute,False,0.32,0.015,C11
PR000020,CP00011,drought,2,4,4.73,BANK01,IT,2030,RCP_2.6,ECB_climate_indicators,chronic,True,0.2,0.015,C11
PR000021,CP00012,heatwave,2,1,7.99,BANK01,NL,2050,RCP_2.6,ECB_climate_indicators,acute,False,0.26,0.026,F42
PR000022,CP00012,windstorm,1,2,7.99,BANK01,NL,2030,RCP_2.6,ECB_climate_indicators,acute,False,0.28,0.026,F42
PR000023,CP00012,sea_level_rise,2,3,7.99,BANK01,NL,2030,RCP_4.5,ECB_climate_indicators,chronic,False,0.94,0.026,F42
PR000024,CP00013,flood,2,2,478.16,BANK01,FR,2050,RCP_8.5,ECB_climate_indicators,acute,False,66.51,1.535,C27
PR000025,CP00013,windstorm,3,5,478.16,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,True,20.61,1.535,C27
PR000026,CP00013,heatwave,3,3,478.16,BANK01,FR,2050,RCP_8.5,ECB_climate_indicators,acute,False,20.33,1.535,C27
PR000027,CP00014,flood,2,2,4.05,BANK01,IE,2030,RCP_8.5,ECB_climate_indicators,acute,False,0.54,0.013,G47
PR000028,CP00015,flood,1,2,217.3,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,False,30.44,0.698,C13
PR000029,CP00016,wildfire,4,4,1438.59,BANK01,IT,2050,RCP_2.6,ECB_climate_indicators,acute,True,103.3,4.618,F42
PR000030,CP00016,drought,5,5,1438.59,BANK01,IT,2050,RCP_8.5,ECB_climate_indicators,chronic,True,94.07,4.618,F42
PR000031,CP00017,flood,3,3,131.76,BANK01,NL,2030,RCP_4.5,ECB_climate_indicators,acute,False,12.92,0.423,H52
PR000032,CP00017,windstorm,3,4,131.76,BANK01,NL,2030,RCP_8.5,ECB_climate_indicators,acute,True,5.17,0.423,H52
PR000033,CP00017,heatwave,4,4,131.76,BANK01,NL,2030,RCP_2.6,ECB_climate_indicators,acute,True,4.55,0.423,H52
PR000034,CP00018,sea_level_rise,1,1,52.51,BANK01,PL,2030,RCP_2.6,ECB_climate_indicators,chronic,False,5.63,0.169,C20
PR000035,CP00019,heatwave,3,4,7.95,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.36,0.026,J62
PR000036,CP00019,windstorm,3,2,7.95,BANK01,FR,2030,RCP_4.5,ECB_climate_indicators,acute,False,0.26,0.026,J62
PR000037,CP00019,drought,3,3,7.95,BANK01,FR,2050,RCP_4.5,ECB_climate_indicators,chronic,False,0.33,0.026,J62
PR000038,CP00020,flood,3,3,2083.28,BANK01,IT,2030,RCP_2.6,ECB_climate_indicators,acute,False,288.71,6.688,B05
PR000039,CP00020,wildfire,2,5,2083.28,BANK01,IT,2050,RCP_8.5,ECB_climate_indicators,acute,True,178.46,6.688,B05
PR000040,CP00021,sea_level_rise,2,5,6.66,BANK01,BE,2030,RCP_8.5,ECB_climate_indicators,chronic,True,0.63,0.021,M71
PR000041,CP00022,drought,3,3,10.79,BANK01,BE,2030,RCP_8.5,ECB_climate_indicators,chronic,False,0.43,0.035,C24
PR000042,CP00022,sea_level_rise,3,1,10.79,BANK01,BE,2030,RCP_8.5,ECB_climate_indicators,chronic,False,1.04,0.035,C24
PR000043,CP00022,wildfire,3,4,10.79,BANK01,BE,2030,RCP_2.6,ECB_climate_indicators,acute,True,0.83,0.035,C24
PR000044,CP00023,heatwave,1,4,245.29,BANK01,AT,2050,RCP_4.5,ECB_climate_indicators,acute,True,11.53,0.787,A01
PR000045,CP00023,windstorm,5,3,245.29,BANK01,AT,2030,RCP_2.6,ECB_climate_indicators,acute,True,13.45,0.787,A01
PR000046,CP00024,sea_level_rise,4,2,19.2,BANK01,FI,2030,RCP_2.6,ECB_climate_indicators,chronic,True,2.22,0.062,L68
PR000047,CP00025,sea_level_rise,4,2,4.6,BANK01,IT,2030,RCP_4.5,ECB_climate_indicators,chronic,True,0.44,0.015,C19
PR000048,CP00025,heatwave,2,2,4.6,BANK01,IT,2050,RCP_8.5,ECB_climate_indicators,acute,False,0.17,0.015,C19
PR000049,CP00025,wildfire,4,1,4.6,BANK01,IT,2050,RCP_8.5,ECB_climate_indicators,acute,True,0.4,0.015,C19
PR000050,CP00026,sea_level_rise,3,3,50.53,BANK01,NL,2030,RCP_2.6,ECB_climate_indicators,chronic,False,3.6,0.162,L68
PR000051,CP00026,wildfire,3,3,50.53,BANK01,NL,2030,RCP_2.6,ECB_climate_indicators,acute,False,4.47,0.162,L68
PR000052,CP00027,sea_level_rise,1,3,10.85,BANK01,PT,2030,RCP_8.5,ECB_climate_indicators,chronic,False,1.24,0.035,J63
PR000053,CP00028,flood,2,2,157.64,BANK01,DE,2050,RCP_8.5,ECB_climate_indicators,acute,False,19.73,0.506,E36
PR000054,CP00029,heatwave,5,1,32.88,BANK01,DE,2030,RCP_4.5,ECB_climate_indicators,acute,True,0.79,0.106,I55
PR000055,CP00029,windstorm,1,1,32.88,BANK01,DE,2050,RCP_2.6,ECB_climate_indicators,acute,False,1.87,0.106,I55
PR000056,CP00029,wildfire,1,5,32.88,BANK01,DE,2030,RCP_4.5,ECB_climate_indicators,acute,True,1.65,0.106,I55
PR000057,CP00030,wildfire,5,3,3638.84,BANK01,NL,2050,RCP_4.5,ECB_climate_indicators,acute,True,350.68,11.681,C29
PR000058,CP00030,windstorm,4,5,3638.84,BANK01,NL,2050,RCP_2.6,ECB_climate_indicators,acute,True,213.1,11.681,C29
PR000059,CP00030,flood,3,5,3638.84,BANK01,NL,2050,RCP_8.5,ECB_climate_indicators,acute,True,391.15,11.681,C29
PR000060,CP00031,sea_level_rise,5,2,2727.53,BANK01,IT,2030,RCP_4.5,ECB_climate_indicators,chronic,True,283.06,8.756,C19
PR000061,CP00032,sea_level_rise,3,4,6.54,BANK01,FR,2030,RCP_2.6,ECB_climate_indicators,chronic,True,0.33,0.021,C25
PR000062,CP00033,windstorm,5,2,2.78,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.17,0.009,C23
PR000063,CP00034,sea_level_rise,3,2,16.87,BANK01,DE,2030,RCP_2.6,ECB_climate_indicators,chronic,False,1.31,0.054,B05
PR000064,CP00035,drought,2,2,2.24,BANK01,FR,2050,RCP_8.5,ECB_climate_indicators,chronic,False,0.14,0.007,F43
PR000065,CP00036,wildfire,4,2,73.74,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,True,4.22,0.237,E36
PR000066,CP00037,flood,3,3,42.62,BANK01,ES,2030,RCP_4.5,ECB_climate_indicators,acute,False,5.54,0.137,B06
PR000067,CP00037,windstorm,2,3,42.62,BANK01,ES,2050,RCP_2.6,ECB_climate_indicators,acute,False,1.67,0.137,B06
PR000068,CP00037,wildfire,3,3,42.62,BANK01,ES,2050,RCP_8.5,ECB_climate_indicators,acute,False,1.95,0.137,B06
PR000069,CP00038,drought,3,1,157.34,BANK01,BE,2050,RCP_2.6,ECB_climate_indicators,chronic,False,9.84,0.505,B05
PR000070,CP00039,wildfire,3,4,11.23,BANK01,FR,2050,RCP_8.5,ECB_climate_indicators,acute,True,0.66,0.036,J62
PR000071,CP00040,drought,2,2,1171.52,BANK01,ES,2050,RCP_4.5,ECB_climate_indicators,chronic,False,55.32,3.761,C19
PR000072,CP00040,wildfire,1,2,1171.52,BANK01,ES,2030,RCP_4.5,ECB_climate_indicators,acute,False,104.17,3.761,C19
PR000073,CP00040,heatwave,3,1,1171.52,BANK01,ES,2030,RCP_8.5,ECB_climate_indicators,acute,False,25.12,3.761,C19
PR000074,CP00041,flood,2,4,730.53,BANK01,DE,2030,RCP_2.6,ECB_climate_indicators,acute,True,82.51,2.345,C30
PR000075,CP00042,heatwave,4,2,83.78,BANK01,FR,2030,RCP_2.6,ECB_climate_indicators,acute,True,3.53,0.269,J58
PR000076,CP00043,flood,2,2,1.77,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,False,0.19,0.006,K65
PR000077,CP00043,drought,4,4,1.77,BANK01,FR,2050,RCP_2.6,ECB_climate_indicators,chronic,True,0.06,0.006,K65
PR000078,CP00044,sea_level_rise,3,3,350.92,BANK01,FR,2030,RCP_4.5,ECB_climate_indicators,chronic,False,37.47,1.127,I56
PR000079,CP00044,heatwave,1,1,350.92,BANK01,FR,2030,RCP_4.5,ECB_climate_indicators,acute,False,7.85,1.127,I56
PR000080,CP00044,windstorm,4,2,350.92,BANK01,FR,2050,RCP_8.5,ECB_climate_indicators,acute,True,18.04,1.127,I56
PR000081,CP00045,windstorm,4,4,17.71,BANK01,FR,2030,RCP_4.5,ECB_climate_indicators,acute,True,1.12,0.057,H50
PR000082,CP00046,windstorm,3,2,14.73,BANK01,DE,2050,RCP_8.5,ECB_climate_indicators,acute,False,0.96,0.047,H52
PR000083,CP00046,wildfire,2,2,14.73,BANK01,DE,2030,RCP_2.6,ECB_climate_indicators,acute,False,0.77,0.047,H52
PR000084,CP00047,flood,5,1,7.86,BANK01,PT,2050,RCP_8.5,ECB_climate_indicators,acute,True,0.91,0.025,C28
PR000085,CP00047,heatwave,4,3,7.86,BANK01,PT,2050,RCP_8.5,ECB_climate_indicators,acute,True,0.19,0.025,C28
PR000086,CP00048,wildfire,1,4,4.38,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.32,0.014,J58
PR000087,CP00048,heatwave,2,5,4.38,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.11,0.014,J58
PR000088,CP00048,windstorm,3,4,4.38,BANK01,DE,2050,RCP_8.5,ECB_climate_indicators,acute,True,0.31,0.014,J58
PR000089,CP00049,sea_level_rise,3,4,6.51,BANK01,FI,2030,RCP_4.5,ECB_climate_indicators,chronic,True,0.53,0.021,B07
PR000090,CP00050,heatwave,2,2,35.43,BANK01,BE,2030,RCP_8.5,ECB_climate_indicators,acute,False,1.59,0.114,B06
PR000091,CP00051,drought,3,3,26.09,BANK01,FR,2030,RCP_2.6,ECB_climate_indicators,chronic,False,1.97,0.084,H50
PR000092,CP00051,wildfire,4,1,26.09,BANK01,FR,2030,RCP_4.5,ECB_climate_indicators,acute,True,2.05,0.084,H50
PR000093,CP00051,sea_level_rise,2,4,26.09,BANK01,FR,2050,RCP_8.5,ECB_climate_indicators,chronic,True,1.33,0.084,H50
PR000094,CP00052,sea_level_rise,3,1,663.4,BANK01,LU,2030,RCP_8.5,ECB_climate_indicators,chronic,False,46.96,2.13,C27
PR000095,CP00052,heatwave,2,2,663.4,BANK01,LU,2030,RCP_8.5,ECB_climate_indicators,acute,False,13.84,2.13,C27
PR000096,CP00052,drought,2,5,663.4,BANK01,LU,2030,RCP_4.5,ECB_climate_indicators,chronic,True,37.92,2.13,C27
PR000097,CP00053,flood,1,4,2.91,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.35,0.009,Q87
PR000098,CP00053,heatwave,3,5,2.91,BANK01,DE,2030,RCP_4.5,ECB_climate_indicators,acute,True,0.08,0.009,Q87
PR000099,CP00054,flood,3,3,25.75,BANK01,FI,2030,RCP_8.5,ECB_climate_indicators,acute,False,3.08,0.083,J63
PR000100,CP00055,drought,3,3,655.4,BANK01,IT,2030,RCP_2.6,ECB_climate_indicators,chronic,False,31.69,2.104,C30
PR000101,CP00055,flood,4,3,655.4,BANK01,IT,2030,RCP_4.5,ECB_climate_indicators,acute,True,65.88,2.104,C30
PR000102,CP00055,sea_level_rise,4,4,655.4,BANK01,IT,2050,RCP_2.6,ECB_climate_indicators,chronic,True,76.17,2.104,C30
PR000103,CP00056,flood,2,2,126.66,BANK01,IT,2030,RCP_8.5,ECB_climate_indicators,acute,False,15.87,0.407,G45
PR000104,CP00057,wildfire,1,5,7.62,BANK01,AT,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.67,0.024,K64
PR000105,CP00057,heatwave,2,4,7.62,BANK01,AT,2030,RCP_4.5,ECB_climate_indicators,acute,True,0.27,0.024,K64
PR000106,CP00058,windstorm,3,1,290.79,BANK01,FR,2050,RCP_8.5,ECB_climate_indicators,acute,False,19.26,0.933,H50
PR000107,CP00059,drought,4,2,1290.09,BANK01,BE,2030,RCP_8.5,ECB_climate_indicators,chronic,True,52.0,4.141,B05
PR000108,CP00060,wildfire,1,1,251.16,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,False,13.95,0.806,F42
PR000109,CP00061,windstorm,1,3,47.02,BANK01,LU,2050,RCP_4.5,ECB_climate_indicators,acute,False,1.68,0.151,B07
PR000110,CP00061,wildfire,5,3,47.02,BANK01,LU,2050,RCP_2.6,ECB_climate_indicators,acute,True,2.66,0.151,B07
PR000111,CP00062,wildfire,1,3,1.85,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,False,0.18,0.006,E38
PR000112,CP00063,drought,2,2,25.11,BANK01,DE,2050,RCP_8.5,ECB_climate_indicators,chronic,False,1.32,0.081,P85
PR000113,CP00064,sea_level_rise,3,2,1295.96,BANK01,IE,2050,RCP_8.5,ECB_climate_indicators,chronic,False,139.12,4.16,B07
PR000114,CP00065,windstorm,2,2,4.29,BANK01,FR,2050,RCP_8.5,ECB_climate_indicators,acute,False,0.16,0.014,M70
PR000115,CP00066,heatwave,3,4,348.38,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,True,15.37,1.118,J63
PR000116,CP00066,drought,3,4,348.38,BANK01,DE,2030,RCP_4.5,ECB_climate_indicators,chronic,True,22.77,1.118,J63
PR000117,CP00066,sea_level_rise,2,1,348.38,BANK01,DE,2050,RCP_8.5,ECB_climate_indicators,chronic,False,35.78,1.118,J63
PR000118,CP00067,drought,4,4,12.95,BANK01,AT,2030,RCP_8.5,ECB_climate_indicators,chronic,True,0.8,0.042,F43
PR000119,CP00067,flood,3,1,12.95,BANK01,AT,2030,RCP_4.5,ECB_climate_indicators,acute,False,1.76,0.042,F43
PR000120,CP00067,wildfire,3,3,12.95,BANK01,AT,2050,RCP_8.5,ECB_climate_indicators,acute,False,1.21,0.042,F43
PR000121,CP00068,sea_level_rise,3,2,1151.39,BANK01,FI,2030,RCP_2.6,ECB_climate_indicators,chronic,False,126.15,3.696,B07
PR000122,CP00068,heatwave,3,5,1151.39,BANK01,FI,2030,RCP_2.6,ECB_climate_indicators,acute,True,43.51,3.696,B07
PR000123,CP00068,drought,5,3,1151.39,BANK01,FI,2030,RCP_2.6,ECB_climate_indicators,chronic,True,78.8,3.696,B07
PR000124,CP00069,flood,1,2,1392.98,BANK01,PT,2030,RCP_2.6,ECB_climate_indicators,acute,False,117.37,4.472,C10
PR000125,CP00069,heatwave,3,1,1392.98,BANK01,PT,2050,RCP_2.6,ECB_climate_indicators,acute,False,34.4,4.472,C10
PR000126,CP00069,windstorm,3,3,1392.98,BANK01,PT,2050,RCP_8.5,ECB_climate_indicators,acute,False,50.79,4.472,C10
PR000127,CP00070,heatwave,4,5,884.44,BANK01,FI,2050,RCP_8.5,ECB_climate_indicators,acute,True,18.68,2.839,H51
PR000128,CP00070,flood,2,4,884.44,BANK01,FI,2050,RCP_2.6,ECB_climate_indicators,acute,True,112.21,2.839,H51
PR000129,CP00071,wildfire,2,5,6.58,BANK01,PT,2050,RCP_4.5,ECB_climate_indicators,acute,True,0.65,0.021,F43
PR000130,CP00072,flood,1,2,2937.14,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,False,375.9,9.429,P85
PR000131,CP00072,sea_level_rise,3,3,2937.14,BANK01,FR,2050,RCP_2.6,ECB_climate_indicators,chronic,False,303.74,9.429,P85
PR000132,CP00073,drought,3,3,64.38,BANK01,IE,2050,RCP_8.5,ECB_climate_indicators,chronic,False,2.7,0.207,C10
PR000133,CP00074,sea_level_rise,2,4,23.84,BANK01,NL,2030,RCP_4.5,ECB_climate_indicators,chronic,True,1.57,0.077,C13
PR000134,CP00074,flood,1,3,23.84,BANK01,NL,2050,RCP_4.5,ECB_climate_indicators,acute,False,2.74,0.077,C13
PR000135,CP00074,drought,2,3,23.84,BANK01,NL,2050,RCP_8.5,ECB_climate_indicators,chronic,False,1.09,0.077,C13
PR000136,CP00075,heatwave,3,1,232.76,BANK01,IE,2030,RCP_2.6,ECB_climate_indicators,acute,False,9.97,0.747,C29
PR000137,CP00075,sea_level_rise,3,4,232.76,BANK01,IE,2030,RCP_4.5,ECB_climate_indicators,chronic,True,16.38,0.747,C29
PR000138,CP00076,wildfire,3,2,76.56,BANK01,DE,2030,RCP_4.5,ECB_climate_indicators,acute,False,5.52,0.246,C11
PR000139,CP00077,wildfire,2,2,80.29,BANK01,FI,2050,RCP_8.5,ECB_climate_indicators,acute,False,5.31,0.258,B07
PR000140,CP00077,flood,2,3,80.29,BANK01,FI,2030,RCP_2.6,ECB_climate_indicators,acute,False,10.76,0.258,B07
PR000141,CP00077,heatwave,2,4,80.29,BANK01,FI,2030,RCP_2.6,ECB_climate_indicators,acute,True,1.62,0.258,B07
PR000142,CP00078,flood,3,4,0.8,BANK01,IT,2030,RCP_4.5,ECB_climate_indicators,acute,True,0.1,0.003,C13
PR000143,CP00078,sea_level_rise,3,4,0.8,BANK01,IT,2050,RCP_2.6,ECB_climate_indicators,chronic,True,0.04,0.003,C13
PR000144,CP00078,wildfire,3,3,0.8,BANK01,IT,2030,RCP_4.5,ECB_climate_indicators,acute,False,0.05,0.003,C13
PR000145,CP00079,drought,3,4,111.45,BANK01,FI,2030,RCP_8.5,ECB_climate_indicators,chronic,True,5.94,0.358,F43
PR000146,CP00080,wildfire,5,3,663.67,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,True,57.74,2.131,H51
PR000147,CP00080,windstorm,2,4,663.67,BANK01,FR,2050,RCP_2.6,ECB_climate_indicators,acute,True,27.79,2.131,H51
PR000148,CP00080,drought,3,4,663.67,BANK01,FR,2050,RCP_4.5,ECB_climate_indicators,chronic,True,31.93,2.131,H51
PR000149,CP00081,heatwave,2,2,65.45,BANK01,FR,2030,RCP_8.5,ECB_climate_indicators,acute,False,1.85,0.21,C25
PR000150,CP00082,drought,1,4,15.27,BANK01,BE,2050,RCP_4.5,ECB_climate_indicators,chronic,True,0.6,0.049,H52
PR000151,CP00083,windstorm,2,3,301.74,BANK01,PT,2030,RCP_4.5,ECB_climate_indicators,acute,False,12.31,0.969,C10
PR000152,CP00083,drought,1,4,301.74,BANK01,PT,2050,RCP_4.5,ECB_climate_indicators,chronic,True,19.7,0.969,C10
PR000153,CP00084,windstorm,5,1,2102.44,BANK01,DE,2050,RCP_4.5,ECB_climate_indicators,acute,True,125.17,6.749,B08
PR000154,CP00084,flood,3,2,2102.44,BANK01,DE,2030,RCP_8.5,ECB_climate_indicators,acute,False,283.69,6.749,B08
PR000155,CP00085,drought,1,3,5.91,BANK01,BE,2030,RCP_8.5,ECB_climate_indicators,chronic,False,0.24,0.019,C22
PR000156,CP00085,wildfire,2,3,5.91,BANK01,BE,2030,RCP_4.5,ECB_climate_indicators,acute,False,0.27,0.019,C22
PR000157,CP00086,wildfire,2,3,362.93,BANK01,FR,2030,RCP_4.5,ECB_climate_indicators,acute,False,31.72,1.165,C13
PR000158,CP00086,drought,1,3,362.93,BANK01,FR,2030,RCP_2.6,ECB_climate_indicators,chronic,False,21.11,1.165,C13
PR000159,CP00087,windstorm,3,4,4.57,BANK01,IT,2030,RCP_4.5,ECB_climate_indicators,acute,True,0.23,0.015,B07
PR000160,CP00087,heatwave,4,2,4.57,BANK01,IT,2030,RCP_2.6,ECB_climate_indicators,acute,True,0.17,0.015,B07
PR000161,CP00088,wildfire,2,1,685.53,BANK01,NL,2030,RCP_8.5,ECB_climate_indicators,acute,False,65.72,2.201,C27
PR000162,CP00089,sea_level_rise,5,3,121.17,BANK01,PL,2030,RCP_4.5,ECB_climate_indicators,chronic,True,12.11,0.389,F43
PR000163,CP00090,sea_level_rise,5,3,26.84,BANK01,FI,2030,RCP_2.6,ECB_climate_indicators,chronic,True,1.67,0.086,G45
PR000164,CP00091,flood,2,3,37.41,BANK02,AT,2050,RCP_4.5,ECB_climate_indicators,acute,False,3.48,0.19,K64
PR000165,CP00092,drought,3,3,282.06,BANK02,FR,2050,RCP_4.5,ECB_climate_indicators,chronic,False,13.63,1.436,G47
PR000166,CP00092,wildfire,3,2,282.06,BANK02,FR,2030,RCP_2.6,ECB_climate_indicators,acute,False,15.25,1.436,G47
PR000167,CP00093,flood,2,1,9.15,BANK02,IT,2050,RCP_4.5,ECB_climate_indicators,acute,False,0.91,0.047,B06
PR000168,CP00093,sea_level_rise,4,3,9.15,BANK02,IT,2030,RCP_4.5,ECB_climate_indicators,chronic,True,0.59,0.047,B06
PR000169,CP00094,windstorm,3,4,7.73,BANK02,FR,2030,RCP_4.5,ECB_climate_indicators,acute,True,0.5,0.039,B06
PR000170,CP00094,drought,2,4,7.73,BANK02,FR,2050,RCP_4.5,ECB_climate_indicators,chronic,True,0.59,0.039,B06
PR000171,CP00094,wildfire,2,2,7.73,BANK02,FR,2050,RCP_4.5,ECB_climate_indicators,acute,False,0.64,0.039,B06
PR000172,CP00095,windstorm,4,2,91.79,BANK02,IT,2050,RCP_4.5,ECB_climate_indicators,acute,True,4.8,0.467,B05
PR000173,CP00096,sea_level_rise,3,4,1465.9,BANK02,IE,2030,RCP_4.5,ECB_climate_indicators,chronic,True,91.44,7.464,C13
PR000174,CP00097,drought,2,1,36.56,BANK02,DE,2030,RCP_4.5,ECB_climate_indicators,chronic,False,2.69,0.186,C13
PR000175,CP00097,flood,2,2,36.56,BANK02,DE,2030,RCP_2.6,ECB_climate_indicators,acute,False,3.76,0.186,C13
PR000176,CP00097,sea_level_rise,3,3,36.56,BANK02,DE,2050,RCP_4.5,ECB_climate_indicators,chronic,False,4.26,0.186,C13
PR000177,CP00098,wildfire,2,3,158.73,BANK02,PT,2030,RCP_2.6,ECB_climate_indicators,acute,False,6.92,0.808,K64
PR000178,CP00098,flood,4,2,158.73,BANK02,PT,2030,RCP_4.5,ECB_climate_indicators,acute,True,21.47,0.808,K64
PR000179,CP00098,windstorm,3,3,158.73,BANK02,PT,2050,RCP_8.5,ECB_climate_indicators,acute,False,6.2,0.808,K64
PR000180,CP00099,windstorm,3,3,33.08,BANK02,FR,2030,RCP_4.5,ECB_climate_indicators,acute,False,1.48,0.168,C28
PR000181,CP00100,sea_level_rise,3,5,1.62,BANK02,IT,2050,RCP_2.6,ECB_climate_indicators,chronic,True,0.15,0.008,F43
PR000182,CP00101,flood,5,3,1468.15,BANK02,NL,2030,RCP_2.6,ECB_climate_indicators,acute,True,165.53,7.476,Q86
PR000183,CP00102,heatwave,3,3,31.2,BANK02,DE,2030,RCP_8.5,ECB_climate_indicators,acute,False,0.77,0.159,F42
PR000184,CP00102,sea_level_rise,3,4,31.2,BANK02,DE,2030,RCP_8.5,ECB_climate_indicators,chronic,True,2.96,0.159,F42
PR000185,CP00102,flood,2,2,31.2,BANK02,DE,2050,RCP_8.5,ECB_climate_indicators,acute,False,3.15,0.159,F42
PR000186,CP00103,windstorm,2,3,11.9,BANK02,ES,2050,RCP_4.5,ECB_climate_indicators,acute,False,0.48,0.061,H51
PR000187,CP00104,wildfire,3,2,2.1,BANK02,PT,2030,RCP_4.5,ECB_climate_indicators,acute,False,0.12,0.011,H52
PR000188,CP00105,windstorm,2,2,1995.11,BANK02,DE,2050,RCP_8.5,ECB_climate_indicators,acute,False,91.36,10.159,H52
PR000189,CP00105,sea_level_rise,2,5,1995.11,BANK02,DE,2030,RCP_8.5,ECB_climate_indicators,chronic,True,110.1,10.159,H52
PR000190,CP00105,drought,2,3,1995.11,BANK02,DE,2050,RCP_4.5,ECB_climate_indicators,chronic,False,139.06,10.159,H52
PR000191,CP00106,sea_level_rise,4,3,16.4,BANK02,DE,2030,RCP_4.5,ECB_climate_indicators,chronic,True,1.38,0.084,A02
PR000192,CP00106,heatwave,4,4,16.4,BANK02,DE,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.63,0.084,A02
PR000193,CP00106,windstorm,3,4,16.4,BANK02,DE,2030,RCP_8.5,ECB_climate_indicators,acute,True,0.56,0.084,A02
PR000194,CP00107,sea_level_rise,2,4,41.6,BANK02,DE,2050,RCP_8.5,ECB_climate_indicators,chronic,True,3.8,0.212,C17
PR000195,CP00107,drought,3,3,41.6,BANK02,DE,2050,RCP_2.6,ECB_climate_indicators,chronic,False,1.64,0.212,C17
PR000196,CP00108,drought,4,2,75.17,BANK02,IT,2030,RCP_4.5,ECB_climate_indicators,chronic,True,4.44,0.383,C24
PR000197,CP00108,windstorm,1,4,75.17,BANK02,IT,2050,RCP_4.5,ECB_climate_indicators,acute,True,3.86,0.383,C24
PR000198,CP00108,heatwave,2,2,75.17,BANK02,IT,2050,RCP_2.6,ECB_climate_indicators,acute,False,3.24,0.383,C24
