investment_id,bank_id,asset_class,issuer_name,nominal_amount_meur,market_value_meur,issuer_evic_meur,nace_code,country,currency,esg_classification,purchase_date,issuer_revenue_meur,ppp_gdp_meur,pcaf_data_quality_score,counterparty_id,reporting_year
INV00073,BANK02,listed_equity,Manufacture 73,25.18,28.52,333.7,C13,AT,EUR,article_8,2019-07-08,255.6,,2,,2024
INV00074,BANK02,etf,Construction 74,524.21,522.17,,F41,LU,EUR,article_8,2023-03-17,,,5,,2024
INV00075,BANK02,listed_equity,Extraction 75,397.26,381.7,6589.3,B06,FR,EUR,not_applicable,2020-03-30,3966.8,,2,,2024
INV00076,BANK02,corporate_bond,Mining 76,64.77,63.09,,B07,IE,EUR,article_6,2020-09-08,311.6,,4,,2024
INV00077,BANK02,sovereign_bond,Sovereign 77,272.41,267.36,,O84,NL,EUR,article_8,2021-12-03,,1120000,3,,2024
INV00078,BANK02,sovereign_bond,Sovereign 78,1104.78,985.62,,O84,BE,EUR,not_applicable,2022-07-09,,680000,3,,2024
INV00079,BANK02,fund,Waste 79,1831.3,2042.59,,E38,ES,EUR,article_6,2024-04-02,,,5,,2024
INV00080,BANK02,corporate_bond,Waste 80,68.0,72.16,,E38,BE,EUR,article_8,2019-04-05,489.0,,4,,2024
INV00081,BANK02,listed_equity,Management 81,106.4,105.96,2416.6,M70,IT,EUR,article_6,2024-12-04,1084.6,,2,,2024
INV00082,BANK02,listed_equity,Wholesale 82,85.84,98.6,1455.6,G45,NL,EUR,not_applicable,2022-09-01,915.7,,2,,2024
INV00083,BANK02,etf,Food 83,50.89,44.28,,I56,IT,EUR,article_6,2020-01-13,,,5,,2024
INV00084,BANK02,fund,Manufacture 84,213.5,235.68,,C19,IE,EUR,article_6,2024-04-02,,,5,,2024
INV00085,BANK02,sovereign_bond,Sovereign 85,3036.51,3279.84,,O84,AT,EUR,article_8,2022-02-08,,560000,3,,2024
INV00086,BANK02,corporate_bond,Manufacture 86,422.77,441.52,,C23,DE,EUR,article_8,2024-12-01,2697.0,,4,,2024
INV00087,BANK02,etf,Land 87,1672.99,1569.51,,H49,IT,EUR,article_8,2023-05-17,,,5,,2024
INV00088,BANK02,listed_equity,Manufacture 88,63.97,70.79,674.8,C11,FR,EUR,article_8,2022-08-30,240.6,,2,,2024
INV00089,BANK02,sovereign_bond,Sovereign 89,430.56,472.09,,O84,FR,EUR,not_applicable,2020-09-17,,3680000,3,,2024
INV00090,BANK02,listed_equity,Manufacture 90,32.76,28.1,811.0,C23,FR,EUR,article_8,2019-06-11,310.0,,2,,2024
INV00091,BANK02,etf,Retail 91,74.35,82.62,,G47,DE,EUR,not_applicable,2021-05-05,,,5,,2024
INV00092,BANK02,listed_equity,Manufacture 92,115.0,130.05,1426.9,C24,FR,EUR,article_6,2022-12-26,541.0,,2,,2024
INV00093,BANK02,listed_equity,Water 93,20.31,17.42,539.7,H50,LU,EUR,not_applicable,2021-05-04,186.3,,2,,2024
INV00094,BANK02,corporate_bond,Water 94,124.84,134.99,,H50,FR,EUR,article_8,2020-05-25,312.7,,3,,2024
INV00095,BANK02,listed_equity,"Electricity, 95",184.82,185.73,2900.1,D35,NL,EUR,article_6,2021-05-08,1959.0,,2,,2024
INV00096,BANK02,listed_equity,Food 96,710.57,816.17,10129.4,I56,IT,EUR,article_8,2021-05-11,5159.0,,2,,2024
INV00097,BANK02,fund,Wholesale 97,79.37,70.13,,G45,FR,EUR,article_8,2019-01-30,,,5,,2024
INV00098,BANK02,corporate_bond,Specialised 98,100.18,95.81,,F43,FI,EUR,not_applicable,2019-09-25,927.9,,4,,2024
INV00099,BANK02,corporate_bond,Management 99,56.46,49.42,,M70,PL,EUR,article_8,2023-05-16,592.6,,3,,2024
INV00100,BANK02,fund,Forestry 100,2389.31,2494.94,,A02,FR,EUR,article_8,2020-07-30,,,5,,2024
INV00101,BANK02,etf,"Electricity, 101",257.9,231.27,,D35,DE,EUR,article_9,2019-06-09,,,5,,2024
INV00102,BANK02,listed_equity,Manufacture 102,1465.08,1408.69,5748.4,C10,BE,EUR,article_8,2020-10-07,3771.6,,2,,2024
INV00103,BANK02,corporate_bond,"Electricity, 103",2191.44,2350.52,,D35,PL,EUR,not_applicable,2021-01-13,8948.9,,4,,2024
INV00104,BANK02,corporate_bond,Manufacture 104,925.53,843.36,,C19,DE,EUR,article_8,2023-03-09,2573.6,,4,,2024
INV00105,BANK02,fund,Manufacture 105,358.74,307.71,,C22,DE,EUR,article_6,2024-04-11,,,5,,2024
INV00106,BANK02,listed_equity,Manufacture 106,1922.84,1851.91,18062.9,C23,DE,EUR,article_8,2024-11-21,12107.4,,2,,2024
INV00107,BANK02,listed_equity,Manufacture 107,10.9,9.57,318.6,C17,FI,EUR,not_applicable,2020-04-05,115.8,,2,,2024
INV00108,BANK02,fund,Warehousing 108,2873.57,2905.23,,H52,PT,EUR,article_6,2019-01-03,,,5,,2024
INV00109,BANK02,corporate_bond,Accommodation 109,1773.67,1679.42,,I55,FR,EUR,article_8,2020-01-30,10335.3,,4,,2024
INV00110,BANK02,corporate_bond,Computer 110,30.95,27.51,,J62,FR,EUR,not_applicable,2021-07-12,296.7,,3,,2024
INV00111,BANK03,sovereign_bond,Sovereign 111,721.05,673.96,,O84,AT,EUR,article_8,2021-10-20,,560000,3,,2024
INV00112,BANK03,corporate_bond,"Electricity, 112",668.46,710.67,,D35,IT,EUR,article_8,2024-10-30,4331.0,,4,,2024
INV00113,BANK03,sovereign_bond,Sovereign 113,2945.15,3298.15,,O84,FR,EUR,article_8,2023-03-16,,3680000,3,,2024
INV00114,BANK03,sovereign_bond,Sovereign 114,280.82,241.58,,O84,LU,EUR,not_applicable,2023-04-27,,80000,3,,2024
INV00115,BANK03,sovereign_bond,Sovereign 115,967.14,826.22,,O84,PL,EUR,article_8,2021-09-01,,1400000,3,,2024
INV00116,BANK03,listed_equity,Manufacture 116,10.7,11.85,243.0,C29,ES,EUR,article_6,2023-07-20,87.7,,2,,2024
INV00117,BANK03,corporate_bond,Manufacture 117,135.83,133.38,,C10,FR,EUR,article_9,2024-10-08,1611.9,,4,,2024
INV00118,BANK03,fund,Manufacture 118,3102.52,2954.51,,C30,FR,EUR,not_applicable,2024-02-13,,,5,,2024
INV00119,BANK03,sovereign_bond,Sovereign 119,467.77,470.45,,O84,IT,EUR,article_6,2023-02-05,,3020000,3,,2024
INV00120,BANK03,corporate_bond,Forestry 120,2581.57,2370.24,,A02,DE,EUR,article_8,2020-03-31,15217.7,,3,,2024
INV00121,BANK03,listed_equity,Human 121,54.86,51.68,660.5,Q86,FI,EUR,article_8,2019-12-06,359.5,,2,,2024
INV00122,BANK03,fund,Wholesale 122,28.61,31.92,,G45,PT,EUR,article_8,2020-08-03,,,5,,2024
INV00123,BANK03,etf,Manufacture 123,870.52,934.4,,C11,FR,EUR,article_8,2020-09-13,,,5,,2024
INV00124,BANK03,sovereign_bond,Sovereign 124,212.03,214.14,,O84,DE,EUR,article_8,2024-12-14,,4580000,3,,2024
INV00125,BANK03,listed_equity,Manufacture 125,17.8,18.52,227.1,C24,FR,EUR,article_8,2020-09-14,130.0,,2,,2024
INV00126,BANK03,sovereign_bond,Sovereign 126,2442.45,2224.24,,O84,IT,EUR,article_6,2023-06-30,,3020000,3,,2024
INV00127,BANK03,corporate_bond,Wholesale 127,2691.67,2665.83,,G46,FI,EUR,article_6,2022-05-13,29685.4,,3,,2024
INV00128,BANK03,listed_equity,Manufacture 128,590.0,538.45,4825.6,C22,BE,EUR,article_9,2019-10-01,3499.8,,2,,2024
INV00129,BANK03,listed_equity,Specialised 129,22.43,20.14,125.6,F43,ES,EUR,not_applicable,2021-09-20,97.5,,2,,2024
INV00130,BANK03,corporate_bond,Manufacture 130,412.3,374.37,,C24,IT,EUR,not_applicable,2019-10-16,4769.0,,4,,2024
INV00131,BANK03,corporate_bond,Manufacture 131,22.44,23.96,,C25,IT,EUR,article_8,2020-09-13,69.9,,3,,2024
INV00132,BANK03,listed_equity,Manufacture 132,479.29,408.94,4881.9,C23,AT,EUR,article_6,2022-06-28,2761.3,,2,,2024
INV00133,BANK03,sovereign_bond,Sovereign 133,849.46,781.21,,O84,NL,EUR,article_8,2020-05-26,,1120000,3,,2024
INV00134,BANK03,sovereign_bond,Sovereign 134,335.03,373.25,,O84,FR,EUR,not_applicable,2022-10-30,,3680000,3,,2024
INV00135,BANK03,fund,Mining 135,89.9,79.46,,B05,FI,EUR,article_8,2020-11-20,,,5,,2024
INV00136,BANK03,fund,Education 136,1458.03,1366.66,,P85,ES,EUR,article_8,2019-12-29,,,5,,2024
INV00137,BANK03,fund,Financial 137,2508.05,2313.39,,K64,FI,EUR,not_applicable,2024-07-18,,,5,,2024
INV00138,BANK03,etf,Land 138,113.29,125.7,,H49,BE,EUR,article_8,2022-02-03,,,5,,2024
INV00139,BANK03,fund,Real 139,186.02,204.79,,L68,IT,EUR,not_applicable,2019-12-07,,,5,,2024
INV00140,BANK03,listed_equity,Human 140,1035.09,1033.53,8782.4,Q86,FR,EUR,article_8,2021-12-24,4182.4,,2,,2024
INV00141,BANK04,listed_equity,Human 141,165.83,169.09,2397.5,Q86,NL,EUR,article_9,2023-04-17,1447.8,,2,,2024
INV00142,BANK04,listed_equity,Manufacture 142,299.13,339.88,4601.3,C17,IE,EUR,article_9,2020-04-26,3403.2,,2,,2024
INV00143,BANK04,fund,Manufacture 143,79.75,89.41,,C13,BE,EUR,article_9,2023-06-01,,,5,,2024
INV00144,BANK04,etf,Mining 144,73.83,81.63,,B05,IE,EUR,article_9,2024-11-11,,,5,,2024
INV00145,BANK04,listed_equity,Civil 145,1078.7,1168.54,20504.1,F42,BE,EUR,article_9,2019-04-16,11442.2,,2,,2024
INV00146,BANK04,corporate_bond,"Electricity, 146",11.49,10.11,,D35,LU,EUR,not_applicable,2019-04-27,27.6,,3,,2024
INV00147,BANK04,etf,Manufacture 147,78.79,75.3,,C22,BE,EUR,not_applicable,2022-02-07,,,5,,2024
INV00148,BANK04,corporate_bond,Extraction 148,64.76,67.38,,B06,BE,EUR,article_9,2020-10-19,400.5,,3,,2024
INV00149,BANK04,listed_equity,Publishing 149,417.56,449.29,2015.8,J58,AT,EUR,article_9,2020-12-05,1671.0,,2,,2024
INV00150,BANK04,etf,Other 150,68.3,73.21,,B08,NL,EUR,article_9,2021-07-21,,,5,,2024
INV00151,BANK04,corporate_bond,Manufacture 151,17.92,18.67,,C28,AT,EUR,article_8,2024-07-29,153.8,,3,,2024
INV00152,BANK04,sovereign_bond,Sovereign 152,778.77,861.94,,O84,FR,EUR,article_9,2022-10-12,,3680000,3,,2024
INV00153,BANK04,etf,Waste 153,770.77,729.79,,E38,PL,EUR,article_8,2022-06-25,,,5,,2024
INV00154,BANK04,fund,Education 154,403.43,410.68,,P85,IT,EUR,article_8,2019-11-08,,,5,,2024
INV00155,BANK04,listed_equity,Other 155,601.4,630.84,4443.0,B08,LU,EUR,article_9,2020-08-20,2731.9,,2,,2024
INV00156,BANK04,etf,Retail 156,76.65,74.01,,G47,DE,EUR,article_9,2022-04-18,,,5,,2024
INV00157,BANK04,sovereign_bond,Sovereign 157,2672.16,2451.57,,O84,IT,EUR,article_9,2021-10-04,,3020000,3,,2024
INV00158,BANK04,sovereign_bond,Sovereign 158,466.45,465.68,,O84,FR,EUR,article_9,2021-06-15,,3680000,3,,2024
INV00159,BANK04,corporate_bond,Manufacture 159,126.15,112.73,,C11,PT,EUR,article_8,2019-03-27,255.1,,3,,2024
INV00160,BANK04,fund,Accommodation 160,1244.02,1263.14,,I55,IT,EUR,article_9,2023-08-16,,,5,,2024
INV00161,BANK05,listed_equity,Wholesale 161,283.3,316.33,3998.9,G46,BE,EUR,not_applicable,2021-12-07,2137.9,,2,,2024
INV00162,BANK05,sovereign_bond,Sovereign 162,2849.64,2647.51,,O84,IE,EUR,article_8,2021-08-19,,520000,3,,2024
INV00163,BANK05,corporate_bond,Water 163,15.58,14.75,,E36,BE,EUR,not_applicable,2021-10-08,136.7,,3,,2024
INV00164,BANK05,etf,Information 164,20.99,22.78,,J63,PL,EUR,article_8,2024-05-02,,,5,,2024
INV00165,BANK05,sovereign_bond,Sovereign 165,18.28,16.79,,O84,PT,EUR,article_8,2021-07-06,,390000,3,,2024
INV00166,BANK05,corporate_bond,Computer 166,1234.62,1211.61,,J62,ES,EUR,article_8,2019-09-22,10881.3,,3,,2024
INV00167,BANK05,fund,Manufacture 167,11.36,11.87,,C24,ES,EUR,not_applicable,2024-05-06,,,5,,2024
INV00168,BANK05,fund,Manufacture 168,14.44,16.41,,C23,IT,EUR,article_8,2021-10-29,,,5,,2024
INV00169,BANK05,fund,Residential 169,11.72,11.48,,Q87,NL,EUR,not_applicable,2020-06-30,,,5,,2024
INV00170,BANK05,fund,Manufacture 170,451.34,478.04,,C10,IT,EUR,article_8,2021-08-10,,,5,,2024
INV00171,BANK05,sovereign_bond,Sovereign 171,1548.54,1383.26,,O84,LU,EUR,article_8,2022-07-12,,80000,3,,2024
INV00172,BANK05,fund,Insurance 172,13.57,13.93,,K65,AT,EUR,not_applicable,2019-10-18,,,5,,2024
INV00173,BANK05,sovereign_bond,Sovereign 173,211.07,225.8,,O84,AT,EUR,article_6,2021-01-04,,560000,3,,2024
INV00174,BANK05,etf,Forestry 174,420.26,372.29,,A02,ES,EUR,article_6,2023-07-11,,,5,,2024
INV00175,BANK05,sovereign_bond,Sovereign 175,2358.17,2292.78,,O84,IT,EUR,article_9,2020-07-21,,3020000,3,,2024
INV00176,BANK05,etf,"Electricity, 176",17.36,18.44,,D35,IT,EUR,not_applicable,2024-08-08,,,5,,2024
INV00177,BANK05,listed_equity,Manufacture 177,100.83,115.52,559.8,C22,FR,EUR,article_8,2022-10-23,278.4,,2,,2024
INV00178,BANK05,corporate_bond,Manufacture 178,204.02,210.52,,C17,DE,EUR,not_applicable,2019-08-31,614.8,,3,,2024
INV00179,BANK05,sovereign_bond,Sovereign 179,17.33,19.85,,O84,DE,EUR,article_6,2022-08-31,,4580000,3,,2024
INV00180,BANK05,corporate_bond,Forestry 180,1000.22,962.66,,A02,NL,EUR,article_6,2020-12-07,5171.5,,4,,2024
INV00181,BANK05,listed_equity,Insurance 181,176.0,201.12,5289.1,K65,NL,EUR,article_6,2020-09-25,2037.3,,2,,2024
INV00182,BANK05,sovereign_bond,Sovereign 182,272.25,289.11,,O84,FI,EUR,not_applicable,2020-12-28,,500000,3,,2024
INV00183,BANK05,sovereign_bond,Sovereign 183,1086.18,1125.96,,O84,ES,EUR,not_applicable,2020-05-07,,2320000,3,,2024
INV00184,BANK05,etf,Manufacture 184,2175.61,2295.07,,C28,DE,EUR,article_8,2020-11-16,,,5,,2024
INV00185,BANK05,fund,Food 185,30.4,31.43,,I56,FR,EUR,article_8,2024-02-06,,,5,,2024
