bank_id,reporting_year,scope3_category,emissions_tco2e,node_id,node_name,node_type,upstream_downstream,sustainability_theme,climate_exposure_type,materiality_flag,climate_risk_description,financial_exposure_meur,nace_link,ifrs_s2_para_evidence
BANK03,,Cat.15,,VC-BANK03-0016,Corporate borrowers — Manufacture of chemicals,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of chemicals carries elevated transition risk from carbon pricing and demand shifts.,1126.91,C20,§13(a)
BANK04,,,,VC-BANK04-0001,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,§13(a)
BANK04,,Cat.6,,VC-BANK04-0002,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,§13(a)
BANK04,,Cat.7,,VC-BANK04-0003,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,§13(a)
BANK04,,Cat.1,,VC-BANK04-0004,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,13.02,J62,§13(a)
BANK04,,Cat.2,,VC-BANK04-0005,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,5.98,L68,§13(a)
BANK04,,Cat.1,,VC-BANK04-0006,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,4.78,M70,§13(a)
BANK04,,Cat.15,,VC-BANK04-0007,Corporate borrowers — Architectural & engineering activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Architectural & engineering activities subject to moderate physical and transition risk.,2004.13,M71,§13(a)
BANK04,,Cat.15,,VC-BANK04-0008,Corporate borrowers — Manufacture of textiles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of textiles subject to moderate physical and transition risk.,1064.46,C13,§13(a)
BANK04,,Cat.15,,VC-BANK04-0009,Corporate borrowers — Manufacture of rubber and plastic,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of rubber and plastic subject to moderate physical and transition risk.,1060.43,C22,§13(a)
BANK04,,Cat.15,,VC-BANK04-0010,Corporate borrowers — Food and beverage service,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Food and beverage service subject to moderate physical and transition risk.,997.99,I56,§13(a)
BANK04,,Cat.15,,VC-BANK04-0011,Corporate borrowers — Publishing activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Publishing activities subject to moderate physical and transition risk.,901.33,J58,§13(a)
BANK04,,Cat.15,,VC-BANK04-0012,Corporate borrowers — Information service activities,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Information service activities subject to moderate physical and transition risk.,619.98,J63,§13(a)
BANK04,,Cat.15,,VC-BANK04-0013,Corporate borrowers — Insurance,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Insurance subject to moderate physical and transition risk.,509.58,K65,§13(a)
BANK04,,Cat.15,,VC-BANK04-0014,Corporate borrowers — Wholesale trade,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Wholesale trade subject to moderate physical and transition risk.,418.6,G46,§13(a)
BANK04,,Cat.15,,VC-BANK04-0015,Corporate borrowers — Manufacture of electrical equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of electrical equipment subject to moderate physical and transition risk.,265.73,C27,§13(a)
BANK04,,Cat.15,,VC-BANK04-0016,Corporate borrowers — Computer programming & IT services,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Computer programming & IT services subject to moderate physical and transition risk.,237.33,J62,§13(a)
BANK05,,,,VC-BANK05-0001,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,§13(a)
BANK05,,Cat.6,,VC-BANK05-0002,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,§13(a)
BANK05,,Cat.7,,VC-BANK05-0003,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,§13(a)
BANK05,,Cat.1,,VC-BANK05-0004,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,16.29,J62,§13(a)
BANK05,,Cat.2,,VC-BANK05-0005,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,17.31,L68,§13(a)
BANK05,,Cat.1,,VC-BANK05-0006,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,7.96,M70,§13(a)
BANK05,,Cat.15,,VC-BANK05-0007,Corporate borrowers — Manufacture of other transport equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of other transport equipment subject to moderate physical and transition risk.,3213.65,C30,§13(a)
BANK05,,Cat.15,,VC-BANK05-0008,Corporate borrowers — Manufacture of paper and paper products,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of paper and paper products carries elevated transition risk from carbon pricing and demand shifts.,1793.36,C17,§13(a)
BANK05,,Cat.15,,VC-BANK05-0009,Corporate borrowers — Warehousing and support transport,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Warehousing and support transport subject to moderate physical and transition risk.,1129.08,H52,§13(a)
BANK05,,Cat.15,,VC-BANK05-0010,Corporate borrowers — Extraction of crude petroleum and natural gas,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Extraction of crude petroleum and natural gas carries elevated transition risk from carbon pricing and demand shifts.,827.8,B06,§13(a)
BANK05,,Cat.15,,VC-BANK05-0011,Corporate borrowers — Food and beverage service,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Food and beverage service subject to moderate physical and transition risk.,543.35,I56,§13(a)
BANK05,,Cat.15,,VC-BANK05-0012,Corporate borrowers — Air transport,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Air transport carries elevated transition risk from carbon pricing and demand shifts.,529.73,H51,§13(a)
BANK05,,Cat.15,,VC-BANK05-0013,Corporate borrowers — Manufacture of chemicals,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of chemicals carries elevated transition risk from carbon pricing and demand shifts.,446.32,C20,§13(a)
BANK05,,Cat.15,,VC-BANK05-0014,"Corporate borrowers — Electricity, gas, steam supply",financing_counterparty,downstream,climate_transition,transition_policy,True,"Lending to Electricity, gas, steam supply carries elevated transition risk from carbon pricing and demand shifts.",434.58,D35,§13(a)
BANK05,,Cat.15,,VC-BANK05-0015,Corporate borrowers — Water transport,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Water transport subject to moderate physical and transition risk.,190.1,H50,§13(a)
BANK05,,Cat.15,,VC-BANK05-0016,Corporate borrowers — Forestry and logging,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Forestry and logging carries elevated transition risk from carbon pricing and demand shifts.,176.93,A02,§13(a)
