counterparty_id,bank_id,legal_name,nace_code,country,annual_revenue_meur,evic_meur,nace_description,sector_carbon_tier,country_name,is_listed,sme_flag,onboarded_date,ppp_adjusted_gdp_meur,national_scope1_tco2e,national_scope2_tco2e,national_scope3_tco2e,sbti_target_flag,data_source_type,transition_risk_score
CP00045,BANK01,Water FR Group 45,H50,FR,38.9,114.5,Water transport,medium,France,False,True,2021-06-30,,,,,False,proxy_model,7.5
CP00046,BANK01,Warehousing DE Group 46,H52,DE,43.7,56.4,Warehousing and support transport,medium,Germany,False,True,2020-05-06,,,,,False,estimated_economic,4.15
CP00047,BANK01,Manufacture PT Group 47,C28,PT,14.9,43.6,Manufacture of machinery,medium,Portugal,False,True,2015-11-25,,,,,False,estimated_economic,5.13
CP00048,BANK01,Publishing DE Group 48,J58,DE,8.0,22.0,Publishing activities,low,Germany,False,True,2019-07-12,,,,,False,estimated_economic,3.63
CP00049,BANK01,Mining FI Group 49,B07,FI,27.5,62.4,Mining of metal ores,high,Finland,False,True,2021-12-11,,,,,False,estimated_economic,4.76
CP00050,BANK01,Extraction BE Group 50,B06,BE,248.7,440.1,Extraction of crude petroleum and natural gas,high,Belgium,True,False,2022-07-06,,,,,False,estimated_economic,6.1
CP00051,BANK01,Water FR Group 51,H50,FR,77.2,186.0,Water transport,medium,France,False,False,2018-05-13,,,,,False,estimated_economic,2.69
CP00052,BANK01,Manufacture LU Group 52,C27,LU,3215.2,3912.2,Manufacture of electrical equipment,medium,Luxembourg,False,False,2021-04-25,,,,,False,cdp_disclosure,4.37
CP00053,BANK01,Residential DE Group 53,Q87,DE,21.9,36.7,Residential care activities,low,Germany,False,True,2018-11-30,,,,,False,cdp_disclosure,8.76
CP00054,BANK01,Information FI Group 54,J63,FI,64.4,95.6,Information service activities,low,Finland,False,False,2024-05-08,,,,,False,proxy_model,4.19
CP00055,BANK01,Manufacture IT Group 55,C30,IT,4482.9,11892.1,Manufacture of other transport equipment,medium,Italy,False,False,2022-06-28,,,,,False,estimated_economic,5.25
CP00056,BANK01,Wholesale IT Group 56,G45,IT,490.0,1416.1,Wholesale & retail trade of motor vehicles,low,Italy,True,False,2016-04-17,,,,,False,estimated_economic,4.33
CP00057,BANK01,Financial AT Group 57,K64,AT,14.7,25.1,Financial services,low,Austria,False,True,2017-05-12,,,,,False,estimated_economic,6.79
CP00058,BANK01,Water FR Group 58,H50,FR,400.6,671.1,Water transport,medium,France,True,False,2024-06-27,,,,,False,estimated_economic,5.17
CP00059,BANK01,Mining BE Group 59,B05,BE,1541.9,1972.6,Mining of coal and lignite,high,Belgium,True,False,2016-06-19,,,,,False,cdp_disclosure,6.09
CP00060,BANK01,Civil FR Group 60,F42,FR,838.9,1839.7,Civil engineering,medium,France,True,False,2015-02-09,,,,,False,proxy_model,0.75
CP00061,BANK01,Mining LU Group 61,B07,LU,593.0,870.7,Mining of metal ores,high,Luxembourg,True,False,2019-02-21,,,,,False,estimated_economic,7.7
CP00062,BANK01,Waste FR Group 62,E38,FR,12.1,21.2,Waste management,medium,France,False,True,2023-12-05,,,,,False,estimated_economic,6.06
CP00063,BANK01,Education DE Group 63,P85,DE,59.4,144.2,Education,low,Germany,False,False,2022-06-24,,,,,False,proxy_model,3.58
CP00064,BANK01,Mining IE Group 64,B07,IE,2251.1,4348.0,Mining of metal ores,high,Ireland,False,False,2016-09-25,,,,,False,cdp_disclosure,7.27
CP00065,BANK01,Management FR Group 65,M70,FR,15.4,40.7,Management consultancy,low,France,False,True,2016-12-26,,,,,False,proxy_model,1.91
CP00066,BANK01,Information DE Group 66,J63,DE,812.3,1460.5,Information service activities,low,Germany,False,False,2023-12-30,,,,,False,estimated_economic,5.82
CP00067,BANK01,Specialised AT Group 67,F43,AT,27.8,41.3,Specialised construction,medium,Austria,False,True,2022-11-12,,,,,False,proxy_model,2.21
CP00068,BANK01,Mining FI Group 68,B07,FI,1887.0,3019.9,Mining of metal ores,high,Finland,False,False,2020-02-29,,,,,False,estimated_economic,6.96
CP00069,BANK01,Manufacture PT Group 69,C10,PT,2060.5,3299.4,Manufacture of food products,medium,Portugal,False,False,2019-06-21,,,,,False,cdp_disclosure,4.03
CP00070,BANK01,Air FI Group 70,H51,FI,3987.2,6787.9,Air transport,high,Finland,False,False,2019-06-26,,,,,False,estimated_economic,3.62
CP00071,BANK01,Specialised PT Group 71,F43,PT,49.4,61.7,Specialised construction,medium,Portugal,False,True,2024-11-01,,,,,False,audited_report,5.62
CP00072,BANK01,Education FR Group 72,P85,FR,3869.0,6491.6,Education,low,France,True,False,2019-11-15,,,,,True,cdp_disclosure,4.85
CP00073,BANK01,Manufacture IE Group 73,C10,IE,102.1,303.4,Manufacture of food products,medium,Ireland,False,False,2016-04-18,,,,,False,estimated_economic,4.44
CP00074,BANK01,Manufacture NL Group 74,C13,NL,29.1,72.0,Manufacture of textiles,medium,Netherlands,False,True,2015-01-07,,,,,False,estimated_economic,3.78
CP00075,BANK01,Manufacture IE Group 75,C29,IE,576.2,1666.6,Manufacture of motor vehicles,medium,Ireland,False,False,2017-03-18,,,,,True,proxy_model,0.37
CP00076,BANK01,Manufacture DE Group 76,C11,DE,492.8,884.3,Manufacture of beverages,medium,Germany,True,False,2024-07-05,,,,,False,proxy_model,3.97
CP00077,BANK01,Mining FI Group 77,B07,FI,166.5,399.7,Mining of metal ores,high,Finland,False,False,2018-08-29,,,,,False,estimated_economic,6.49
CP00078,BANK01,Manufacture IT Group 78,C13,IT,12.1,23.7,Manufacture of textiles,medium,Italy,False,True,2019-04-02,,,,,False,proxy_model,4.65
CP00079,BANK01,Specialised FI Group 79,F43,FI,352.0,613.1,Specialised construction,medium,Finland,False,False,2015-01-02,,,,,False,estimated_economic,4.34
CP00080,BANK01,Air FR Group 80,H51,FR,1141.0,2615.2,Air transport,high,France,True,False,2019-12-15,,,,,True,estimated_economic,2.52
CP00081,BANK01,Manufacture FR Group 81,C25,FR,131.7,371.7,Manufacture of fabricated metal,medium,France,False,False,2023-12-05,,,,,False,proxy_model,4.02
CP00082,BANK01,Warehousing BE Group 82,H52,BE,35.6,85.3,Warehousing and support transport,medium,Belgium,False,True,2021-12-11,,,,,False,estimated_economic,5.07
CP00083,BANK01,Manufacture PT Group 83,C10,PT,898.3,2165.8,Manufacture of food products,medium,Portugal,True,False,2017-03-26,,,,,False,estimated_economic,5.09
CP00084,BANK01,Other DE Group 84,B08,DE,4485.5,10318.0,Other mining and quarrying,high,Germany,False,False,2020-02-09,,,,,False,cdp_disclosure,5.28
CP00085,BANK01,Manufacture BE Group 85,C22,BE,19.2,47.1,Manufacture of rubber and plastic,medium,Belgium,False,True,2020-07-17,,,,,False,estimated_economic,5.8
CP00086,BANK01,Manufacture FR Group 86,C13,FR,579.3,1626.0,Manufacture of textiles,medium,France,False,False,2024-12-05,,,,,False,estimated_economic,2.53
CP00087,BANK01,Mining IT Group 87,B07,IT,16.9,49.4,Mining of metal ores,high,Italy,False,True,2020-10-22,,,,,False,estimated_economic,8.93
CP00088,BANK01,Manufacture NL Group 88,C27,NL,2834.1,4020.0,Manufacture of electrical equipment,medium,Netherlands,True,False,2020-03-18,,,,,False,proxy_model,4.31
CP00089,BANK01,Specialised PL Group 89,F43,PL,306.4,891.6,Specialised construction,medium,Poland,False,False,2021-11-14,,,,,True,estimated_economic,3.95
CP00090,BANK01,Wholesale FI Group 90,G45,FI,95.5,270.5,Wholesale & retail trade of motor vehicles,low,Finland,False,False,2020-01-01,,,,,False,proxy_model,6.89
CP00091,BANK02,Financial AT Group 91,K64,AT,133.1,221.8,Financial services,low,Austria,False,False,2017-10-09,,,,,False,estimated_economic,2.03
CP00092,BANK02,Retail FR Group 92,G47,FR,1079.0,2236.0,Retail trade,low,France,True,False,2019-12-07,,,,,True,estimated_economic,2.41
CP00093,BANK02,Extraction IT Group 93,B06,IT,32.7,58.1,Extraction of crude petroleum and natural gas,high,Italy,False,True,2021-01-21,,,,,False,estimated_economic,8.27
CP00094,BANK02,Extraction FR Group 94,B06,FR,70.6,104.1,Extraction of crude petroleum and natural gas,high,France,False,False,2017-05-26,,,,,False,estimated_economic,5.75
CP00095,BANK02,Mining IT Group 95,B05,IT,212.7,414.4,Mining of coal and lignite,high,Italy,True,False,2019-09-17,,,,,False,cdp_disclosure,7.35
CP00096,BANK02,Manufacture IE Group 96,C13,IE,3452.9,4264.9,Manufacture of textiles,medium,Ireland,False,False,2021-06-16,,,,,False,cdp_disclosure,2.87
CP00097,BANK02,Manufacture DE Group 97,C13,DE,56.9,145.5,Manufacture of textiles,medium,Germany,False,False,2024-07-27,,,,,False,audited_report,1.61
CP00098,BANK02,Financial PT Group 98,K64,PT,206.4,520.6,Financial services,low,Portugal,False,False,2017-06-22,,,,,False,cdp_disclosure,4.54
CP00099,BANK02,Manufacture FR Group 99,C28,FR,143.5,272.6,Manufacture of machinery,medium,France,False,False,2022-07-02,,,,,False,estimated_economic,5.1
CP00100,BANK02,Specialised IT Group 100,F43,IT,15.7,32.0,Specialised construction,medium,Italy,False,True,2016-06-06,,,,,False,proxy_model,1.57
CP00101,BANK02,Human NL Group 101,Q86,NL,2635.0,5969.3,Human health activities,low,Netherlands,False,False,2015-12-10,,,,,False,estimated_economic,7.23
CP00102,BANK02,Civil DE Group 102,F42,DE,121.6,156.9,Civil engineering,medium,Germany,False,False,2019-04-02,,,,,False,cdp_disclosure,6.64
CP00103,BANK02,Air ES Group 103,H51,ES,51.6,143.6,Air transport,high,Spain,False,False,2018-02-13,,,,,False,estimated_economic,3.94
CP00104,BANK02,Warehousing PT Group 104,H52,PT,28.6,38.5,Warehousing and support transport,medium,Portugal,False,True,2015-03-21,,,,,False,proxy_model,6.17
CP00105,BANK02,Warehousing DE Group 105,H52,DE,3595.5,5765.7,Warehousing and support transport,medium,Germany,True,False,2022-04-23,,,,,False,proxy_model,4.16
CP00106,BANK02,Forestry DE Group 106,A02,DE,27.7,75.1,Forestry and logging,high,Germany,False,True,2021-12-19,,,,,False,estimated_economic,4.09
CP00107,BANK02,Manufacture DE Group 107,C17,DE,510.9,1131.7,Manufacture of paper and paper products,high,Germany,True,False,2022-11-05,,,,,False,audited_report,5.04
CP00108,BANK02,Manufacture IT Group 108,C24,IT,329.4,966.7,Manufacture of basic metals (steel),high,Italy,False,False,2023-09-21,,,,,False,audited_report,6.81
CP00109,BANK02,Wholesale PL Group 109,G45,PL,10.6,13.2,Wholesale & retail trade of motor vehicles,low,Poland,False,True,2018-07-01,,,,,False,cdp_disclosure,3.73
CP00110,BANK02,Water LU Group 110,E36,LU,67.0,193.9,"Water collection, treatment, supply",medium,Luxembourg,False,False,2017-03-23,,,,,False,audited_report,2.95
CP00111,BANK02,Extraction BE Group 111,B06,BE,381.7,528.1,Extraction of crude petroleum and natural gas,high,Belgium,False,False,2024-07-14,,,,,True,estimated_economic,7.35
CP00112,BANK02,Land IE Group 112,H49,IE,1226.5,2721.2,Land transport (road & rail),medium,Ireland,True,False,2020-12-22,,,,,False,proxy_model,3.9
CP00113,BANK02,Manufacture IT Group 113,C22,IT,165.2,299.7,Manufacture of rubber and plastic,medium,Italy,False,False,2024-07-11,,,,,False,cdp_disclosure,5.31
CP00114,BANK02,Manufacture ES Group 114,C22,ES,100.1,185.4,Manufacture of rubber and plastic,medium,Spain,False,False,2024-12-30,,,,,False,cdp_disclosure,6.51
CP00115,BANK02,Wholesale BE Group 115,G46,BE,101.5,255.9,Wholesale trade,low,Belgium,False,False,2022-04-18,,,,,False,estimated_economic,2.44
CP00116,BANK02,Manufacture IE Group 116,C24,IE,206.3,427.1,Manufacture of basic metals (steel),high,Ireland,True,False,2023-03-14,,,,,True,proxy_model,2.63
CP00117,BANK02,Waste IT Group 117,E38,IT,27.3,78.7,Waste management,medium,Italy,False,True,2018-02-16,,,,,False,audited_report,7.79
CP00118,BANK02,Information FR Group 118,J63,FR,124.2,285.5,Information service activities,low,France,False,False,2019-04-02,,,,,False,estimated_economic,2.61
CP00119,BANK02,Manufacture ES Group 119,C10,ES,47.3,98.3,Manufacture of food products,medium,Spain,False,True,2018-12-24,,,,,False,estimated_economic,4.43
CP00120,BANK02,Food IT Group 120,I56,IT,2192.6,5398.5,Food and beverage service,medium,Italy,True,False,2015-02-11,,,,,False,proxy_model,3.15
CP00121,BANK02,Manufacture FR Group 121,C29,FR,26.6,51.4,Manufacture of motor vehicles,medium,France,False,True,2021-03-24,,,,,False,estimated_economic,3.18
CP00122,BANK02,Warehousing BE Group 122,H52,BE,434.2,904.6,Warehousing and support transport,medium,Belgium,False,False,2016-01-17,,,,,False,proxy_model,0.79
CP00123,BANK02,"Electricity, IT Group 123",D35,IT,26.9,64.4,"Electricity, gas, steam supply",high,Italy,False,True,2019-02-20,,,,,False,audited_report,6.37
CP00124,BANK02,Manufacture NL Group 124,C27,NL,94.7,240.8,Manufacture of electrical equipment,medium,Netherlands,False,False,2018-09-16,,,,,False,estimated_economic,3.02
CP00125,BANK02,Manufacture ES Group 125,C10,ES,41.7,67.3,Manufacture of food products,medium,Spain,False,True,2023-02-02,,,,,False,estimated_economic,4.08
CP00126,BANK02,Manufacture DE Group 126,C19,DE,203.0,522.1,Manufacture of coke and refined petroleum,high,Germany,True,False,2017-06-05,,,,,False,proxy_model,7.57
CP00127,BANK02,Warehousing FR Group 127,H52,FR,294.3,755.9,Warehousing and support transport,medium,France,False,False,2016-02-16,,,,,False,estimated_economic,2.03
CP00128,BANK02,Wholesale IT Group 128,G46,IT,60.6,105.7,Wholesale trade,low,Italy,False,False,2022-12-10,,,,,False,cdp_disclosure,3.83
CP00129,BANK02,Manufacture FR Group 129,C30,FR,4196.5,9215.7,Manufacture of other transport equipment,medium,France,False,False,2016-06-01,,,,,False,estimated_economic,5.17
CP00130,BANK02,Civil AT Group 130,F42,AT,10.2,12.5,Civil engineering,medium,Austria,False,True,2018-03-10,,,,,False,cdp_disclosure,6.12
CP00131,BANK02,Manufacture ES Group 131,C27,ES,17.9,23.1,Manufacture of electrical equipment,medium,Spain,False,True,2024-08-30,,,,,False,audited_report,3.81
CP00132,BANK02,Manufacture PT Group 132,C27,PT,79.8,106.4,Manufacture of electrical equipment,medium,Portugal,False,False,2022-01-22,,,,,False,estimated_economic,3.37
CP00133,BANK02,Land FR Group 133,H49,FR,1359.6,3954.3,Land transport (road & rail),medium,France,True,False,2017-10-13,,,,,True,audited_report,3.27
CP00134,BANK02,Mining IE Group 134,B07,IE,330.3,866.5,Mining of metal ores,high,Ireland,True,False,2020-11-10,,,,,False,estimated_economic,5.53
CP00135,BANK02,Manufacture LU Group 135,C13,LU,39.1,88.3,Manufacture of textiles,medium,Luxembourg,False,True,2019-10-23,,,,,False,estimated_economic,6.81
CP00136,BANK02,Air BE Group 136,H51,BE,338.0,855.9,Air transport,high,Belgium,False,False,2017-05-01,,,,,False,cdp_disclosure,4.68
CP00137,BANK02,Construction FR Group 137,F41,FR,8.8,14.4,Construction of buildings,medium,France,False,True,2021-03-10,,,,,False,audited_report,3.55
CP00138,BANK02,Mining DE Group 138,B05,DE,112.6,255.5,Mining of coal and lignite,high,Germany,False,False,2018-04-07,,,,,False,proxy_model,5.58
CP00139,BANK02,Forestry IT Group 139,A02,IT,35.3,97.0,Forestry and logging,high,Italy,False,True,2015-10-19,,,,,False,estimated_economic,4.31
CP00140,BANK02,Land LU Group 140,H49,LU,1157.4,2691.1,Land transport (road & rail),medium,Luxembourg,False,False,2017-03-21,,,,,False,estimated_economic,6.08
CP00141,BANK02,Manufacture NL Group 141,C22,NL,439.4,1245.8,Manufacture of rubber and plastic,medium,Netherlands,False,False,2015-10-20,,,,,False,estimated_economic,7.44
CP00142,BANK02,Mining IE Group 142,B05,IE,305.6,820.1,Mining of coal and lignite,high,Ireland,False,False,2019-12-04,,,,,False,estimated_economic,4.84
CP00143,BANK02,Mining BE Group 143,B07,BE,629.8,1824.4,Mining of metal ores,high,Belgium,False,False,2020-07-15,,,,,False,estimated_economic,5.28
CP00144,BANK02,Manufacture NL Group 144,C25,NL,2334.9,5889.0,Manufacture of fabricated metal,medium,Netherlands,False,False,2015-04-16,,,,,False,estimated_economic,4.35
CP00145,BANK02,Extraction PL Group 145,B06,PL,1613.9,3607.6,Extraction of crude petroleum and natural gas,high,Poland,False,False,2023-07-30,,,,,False,estimated_economic,3.3
CP00146,BANK02,Specialised FR Group 146,F43,FR,6.6,16.9,Specialised construction,medium,France,False,True,2020-04-11,,,,,False,estimated_economic,3.2
CP00147,BANK02,Manufacture ES Group 147,C29,ES,34.2,102.4,Manufacture of motor vehicles,medium,Spain,False,True,2019-11-21,,,,,False,estimated_economic,4.78
CP00148,BANK02,Civil ES Group 148,F42,ES,9.4,17.2,Civil engineering,medium,Spain,False,True,2018-09-27,,,,,False,proxy_model,2.0
CP00149,BANK02,Air DE Group 149,H51,DE,15.2,29.5,Air transport,high,Germany,False,True,2020-07-22,,,,,False,estimated_economic,5.24
CP00150,BANK02,"Electricity, LU Group 150",D35,LU,1382.6,3028.1,"Electricity, gas, steam supply",high,Luxembourg,True,False,2018-07-12,,,,,True,estimated_economic,6.99
CP00151,BANK02,Manufacture DE Group 151,C23,DE,1041.5,2871.2,"Manufacture of cement, lime and plaster",high,Germany,False,False,2015-01-05,,,,,False,audited_report,8.17
CP00152,BANK02,Civil NL Group 152,F42,NL,87.0,133.8,Civil engineering,medium,Netherlands,False,False,2019-01-21,,,,,False,proxy_model,3.97
CP00153,BANK02,Construction ES Group 153,F41,ES,106.2,137.3,Construction of buildings,medium,Spain,False,False,2017-12-29,,,,,False,cdp_disclosure,3.36
CP00154,BANK02,Manufacture LU Group 154,C30,LU,103.4,254.0,Manufacture of other transport equipment,medium,Luxembourg,False,False,2016-05-12,,,,,False,estimated_economic,4.69
CP00155,BANK02,Forestry BE Group 155,A02,BE,1253.0,3104.4,Forestry and logging,high,Belgium,True,False,2015-02-26,,,,,False,proxy_model,6.5
CP00156,BANK02,Manufacture DE Group 156,C30,DE,4750.9,13508.1,Manufacture of other transport equipment,medium,Germany,True,False,2016-04-26,,,,,False,estimated_economic,5.84
CP00157,BANK02,Civil FR Group 157,F42,FR,3147.5,5430.5,Civil engineering,medium,France,False,False,2019-08-29,,,,,False,estimated_economic,2.9
CP00158,BANK02,Wholesale PL Group 158,G46,PL,27.0,59.2,Wholesale trade,low,Poland,False,True,2019-04-21,,,,,False,estimated_economic,5.99
CP00159,BANK02,Manufacture NL Group 159,C19,NL,868.7,1255.9,Manufacture of coke and refined petroleum,high,Netherlands,True,False,2023-08-31,,,,,False,estimated_economic,5.3
CP00160,BANK02,Food IT Group 160,I56,IT,3182.3,6727.2,Food and beverage service,medium,Italy,False,False,2018-03-04,,,,,False,estimated_economic,2.07
CP00161,BANK03,Publishing PT Group 161,J58,PT,275.3,657.4,Publishing activities,low,Portugal,False,False,2020-01-04,,,,,False,audited_report,2.93
CP00162,BANK03,Water IT Group 162,H50,IT,226.9,494.2,Water transport,medium,Italy,True,False,2018-08-11,,,,,True,estimated_economic,0.68
CP00163,BANK03,Management PL Group 163,M70,PL,26.1,49.3,Management consultancy,low,Poland,False,True,2024-08-07,,,,,False,estimated_economic,6.75
CP00164,BANK03,Information DE Group 164,J63,DE,859.2,2121.7,Information service activities,low,Germany,False,False,2019-05-01,,,,,False,estimated_economic,2.51
CP00165,BANK03,Residential IE Group 165,Q87,IE,453.0,667.6,Residential care activities,low,Ireland,False,False,2016-06-01,,,,,False,estimated_economic,6.23
CP00166,BANK03,Specialised NL Group 166,F43,NL,2037.5,5651.1,Specialised construction,medium,Netherlands,True,False,2020-11-24,,,,,False,cdp_disclosure,6.63
CP00167,BANK03,Employment DE Group 167,N78,DE,13.6,37.6,Employment activities,low,Germany,False,True,2016-09-24,,,,,False,estimated_economic,4.88
CP00168,BANK03,Manufacture IE Group 168,C17,IE,31.3,72.7,Manufacture of paper and paper products,high,Ireland,False,True,2019-06-17,,,,,False,proxy_model,4.21
CP00169,BANK03,Wholesale PT Group 169,G45,PT,1807.3,4964.3,Wholesale & retail trade of motor vehicles,low,Portugal,True,False,2018-07-21,,,,,True,estimated_economic,2.92
CP00170,BANK03,Food FI Group 170,I56,FI,145.8,316.9,Food and beverage service,medium,Finland,False,False,2021-12-04,,,,,False,estimated_economic,5.31
CP00171,BANK03,Other BE Group 171,B08,BE,2902.6,8694.4,Other mining and quarrying,high,Belgium,False,False,2019-11-13,,,,,False,estimated_economic,5.27
