collateral_id,exposure_id,collateral_type,country,valuation_amount_meur,epc_rating,flood_risk_score,bank_id,counterparty_id,property_type,market_value_meur,ltv_pct,year_built,floor_area_sqm,valuation_date,physical_risk_score,market_value_at_origination_meur,building_emissions_tco2e,postcode,flood_zone_class,exposure_amount_meur
COL00045,EXP000103,real_estate,FR,,C,,BANK01,CP00051,industrial,21.13,63.0,2012,21070,2024-04-02,3,25.68,186.26,84702,high,13.31
COL00046,EXP000104,real_estate,PL,,B,,BANK01,CP00051,residential_multi,24.22,52.8,2001,24148,2024-05-09,2,17.86,1569.62,34770,medium,12.78
COL00047,EXP000106,real_estate,PT,,C,,BANK01,CP00053,office,4.71,61.8,1991,21809,2024-10-24,3,4.79,926.88,22763,high,2.91
COL00048,EXP000107,real_estate,DE,,A,,BANK01,CP00054,residential_multi,9.48,73.8,1987,15540,2024-01-30,2,11.0,295.26,24507,medium,7.0
COL00049,EXP000109,real_estate,ES,,B,,BANK01,CP00055,warehouse,1301.26,50.4,2000,10417,2024-12-26,3,1084.84,151.05,17447,high,655.4
COL00050,EXP000111,real_estate,IT,,D,,BANK01,CP00057,industrial,7.26,66.8,2017,20531,2024-06-09,2,9.38,1396.11,95721,medium,4.85
COL00051,EXP000113,real_estate,IT,,A,,BANK01,CP00058,residential_multi,146.1,69.1,1973,5026,2024-04-17,4,170.06,68.35,29056,very_high,100.91
COL00052,EXP000118,real_estate,ES,,F,,BANK01,CP00059,industrial,650.79,64.9,2017,11732,2023-09-29,1,640.24,765.51,43768,low,422.57
COL00053,EXP000123,real_estate,ES,,B,,BANK01,CP00063,residential_multi,19.62,57.1,1966,14661,2023-10-07,2,17.65,212.58,19909,medium,11.2
COL00054,EXP000124,real_estate,FR,,C,,BANK01,CP00063,residential_multi,20.51,67.8,1982,19665,2023-10-10,3,22.06,173.84,72085,high,13.91
COL00055,EXP000125,real_estate,FR,,C,,BANK01,CP00064,logistics,885.89,74.4,1974,7395,2023-04-28,1,945.58,65.37,27047,low,658.71
COL00056,EXP000126,real_estate,FR,,C,,BANK01,CP00064,office,515.41,56.2,2011,13042,2024-02-07,1,532.07,115.29,04735,low,289.73
COL00057,EXP000130,real_estate,BE,,B,,BANK01,CP00066,mixed_use,293.47,67.4,1996,24247,2023-01-04,1,307.83,412.2,85782,low,197.86
COL00058,EXP000131,real_estate,PT,,E,,BANK01,CP00066,residential_multi,295.8,50.9,1990,5778,2023-11-19,3,210.22,491.13,63356,high,150.52
COL00059,EXP000133,real_estate,DE,,C,,BANK01,CP00067,residential_multi,8.72,70.1,2020,14222,2023-12-09,1,9.28,918.74,50354,low,6.11
COL00060,EXP000137,real_estate,PL,,E,,BANK01,CP00069,office,287.65,54.5,1960,16200,2023-09-11,3,241.77,3580.2,82968,high,156.79
COL00061,EXP000138,real_estate,PT,,A,,BANK01,CP00069,logistics,1392.13,45.6,1981,24939,2023-05-31,4,1097.22,311.74,92811,very_high,635.28
COL00062,EXP000139,real_estate,AT,,E,,BANK01,CP00069,retail,1025.97,58.6,1992,21938,2024-05-13,2,953.49,820.48,81006,medium,600.91
COL00063,EXP000140,real_estate,FI,,E,,BANK01,CP00070,retail,1715.05,51.6,2021,3894,2023-10-04,3,1293.86,330.99,68380,high,884.44
COL00064,EXP000144,real_estate,PL,,G,,BANK01,CP00072,mixed_use,1800.86,66.7,2005,16512,2023-02-01,2,2568.91,6439.68,48640,medium,1201.99
COL00065,EXP000147,real_estate,IT,,E,,BANK01,CP00073,industrial,51.68,47.0,1973,9175,2024-10-03,3,41.67,848.5,03201,high,24.28
COL00066,EXP000149,real_estate,LU,,G,,BANK01,CP00074,warehouse,10.45,68.6,2004,11052,2024-02-05,3,11.57,596.81,71176,high,7.17
COL00067,EXP000153,real_estate,IT,,B,,BANK01,CP00075,warehouse,320.2,56.6,1975,14403,2024-04-10,3,332.07,391.76,74440,high,181.1
COL00068,EXP000155,real_estate,BE,,B,,BANK01,CP00077,office,26.8,57.2,2019,22512,2023-06-03,3,26.46,382.7,48466,high,15.32
COL00069,EXP000156,real_estate,IT,,D,,BANK01,CP00077,industrial,34.86,63.6,1997,710,2024-04-09,1,36.16,48.28,77590,low,22.16
COL00070,EXP000157,real_estate,DE,,D,,BANK01,CP00077,office,74.47,57.5,2005,21835,2023-01-01,1,59.51,2074.32,55017,low,42.81
COL00071,EXP000158,real_estate,BE,,F,,BANK01,CP00078,mixed_use,1.66,48.2,1979,3018,2024-12-31,2,1.21,230.88,71913,medium,0.8
COL00072,EXP000161,real_estate,DE,,D,,BANK01,CP00080,office,582.29,64.0,2005,8350,2024-11-25,3,544.3,793.25,93754,high,372.85
COL00073,EXP000163,real_estate,LU,,G,,BANK01,CP00081,office,90.4,47.5,1999,5878,2024-07-31,3,71.2,317.41,28442,high,42.97
COL00074,EXP000168,real_estate,NL,,E,,BANK01,CP00084,retail,1422.48,70.3,1998,10194,2023-03-29,2,1474.29,1039.79,1562 KH,medium,1000.25
COL00075,EXP000170,real_estate,ES,,B,,BANK01,CP00085,mixed_use,12.34,47.9,1977,17454,2024-03-28,3,10.32,253.08,29195,high,5.91
COL00076,EXP000171,real_estate,IT,,D,,BANK01,CP00086,retail,60.44,58.1,2013,13643,2024-04-17,1,58.65,927.72,78181,low,35.11
COL00077,EXP000174,real_estate,IE,,E,,BANK01,CP00086,warehouse,175.56,47.3,2007,4370,2024-09-27,3,145.87,430.88,82362,high,82.96
COL00078,EXP000178,real_estate,BE,,E,,BANK01,CP00088,residential_multi,272.25,70.8,2019,17174,2024-04-16,4,268.34,992.66,74118,very_high,192.63
COL00079,EXP000179,real_estate,NL,,C,,BANK01,CP00088,logistics,688.26,71.6,1997,18728,2024-05-08,3,843.12,955.13,3290 DT,high,492.9
COL00080,EXP000181,real_estate,DE,,D,,BANK01,CP00089,warehouse,101.1,50.9,1986,17116,2023-05-28,3,83.83,1626.02,88890,high,51.44
COL00081,EXP000184,real_estate,IT,,F,,BANK02,CP00092,logistics,583.03,48.4,1999,23764,2023-01-07,4,460.18,2908.71,00939,very_high,282.06
COL00082,EXP000186,real_estate,DE,,A,,BANK02,CP00093,industrial,12.96,54.2,1972,8300,2023-07-29,1,11.06,157.7,72800,low,7.03
COL00083,EXP000191,real_estate,DE,,D,,BANK02,CP00095,residential_multi,27.16,74.1,2011,16050,2023-07-08,4,34.69,1524.75,16937,very_high,20.12
COL00084,EXP000195,real_estate,BE,,E,,BANK02,CP00097,logistics,30.75,59.0,1975,14367,2023-05-30,3,31.29,830.41,99996,high,18.14
COL00085,EXP000197,real_estate,ES,,E,,BANK02,CP00098,logistics,109.23,65.9,1985,15802,2024-05-06,2,138.47,779.04,45173,medium,72.02
COL00086,EXP000201,real_estate,IE,,D,,BANK02,CP00100,residential_multi,2.67,60.7,2019,13860,2024-03-11,1,2.67,1004.85,88042,low,1.62
COL00087,EXP000202,real_estate,IT,,B,,BANK02,CP00101,residential_multi,1049.1,76.3,2016,1596,2023-12-30,5,1630.27,43.41,04755,very_high,800.89
COL00088,EXP000204,real_estate,FR,,E,,BANK02,CP00101,retail,352.51,76.4,1986,11630,2024-12-24,3,487.82,205.62,28281,high,269.46
COL00089,EXP000205,real_estate,AT,,B,,BANK02,CP00102,industrial,50.44,61.9,2003,15256,2023-05-24,2,45.34,167.82,36097,medium,31.2
COL00090,EXP000211,real_estate,IT,,C,,BANK02,CP00106,mixed_use,14.46,53.2,2020,20052,2024-11-05,2,13.33,927.2,12708,medium,7.69
COL00091,EXP000215,real_estate,IT,,D,,BANK02,CP00109,retail,1.94,70.6,2004,19352,2024-09-24,4,2.32,1315.94,03383,very_high,1.37
COL00092,EXP000219,real_estate,DE,,A,,BANK02,CP00112,logistics,322.03,69.3,1973,16565,2024-11-26,3,429.5,314.74,57041,high,223.13
COL00093,EXP000226,real_estate,IT,,F,,BANK02,CP00117,industrial,10.01,51.1,2013,2309,2023-03-05,3,9.38,282.62,01945,high,5.12
COL00094,EXP000230,real_estate,IT,,E,,BANK02,CP00120,office,716.67,58.9,1963,5903,2023-11-25,1,644.2,545.91,88397,low,422.22
COL00095,EXP000234,real_estate,FR,,B,,BANK02,CP00122,logistics,71.53,55.1,1992,16292,2024-03-24,3,76.63,84.72,25570,high,39.38
COL00096,EXP000235,real_estate,IE,,E,,BANK02,CP00122,residential_multi,59.39,49.2,1984,3018,2024-08-19,1,38.5,297.57,70444,low,29.22
COL00097,EXP000237,real_estate,IT,,A,,BANK02,CP00123,industrial,17.61,47.5,2012,18821,2024-07-13,4,13.21,255.97,08112,very_high,8.37
COL00098,EXP000239,real_estate,ES,,D,,BANK02,CP00124,logistics,20.9,53.3,1986,18889,2024-04-30,3,18.64,684.73,22446,high,11.13
COL00099,EXP000241,real_estate,DE,,F,,BANK02,CP00126,mixed_use,75.97,70.2,2014,20695,2024-01-21,4,81.99,3538.84,67251,very_high,53.35
COL00100,EXP000248,real_estate,FR,,D,,BANK02,CP00129,office,1137.21,71.1,2002,938,2023-08-18,4,1440.03,12.19,15950,very_high,808.75
COL00101,EXP000249,real_estate,DE,,E,,BANK02,CP00129,residential_multi,1764.06,51.7,1980,9639,2023-03-18,3,1623.49,1245.36,51923,high,912.63
COL00102,EXP000250,real_estate,IT,,D,,BANK02,CP00130,warehouse,5.97,57.1,1967,18089,2024-12-15,4,5.48,1230.05,77824,very_high,3.41
COL00103,EXP000257,real_estate,IE,,C,,BANK02,CP00133,industrial,359.17,62.5,1977,6892,2024-07-14,4,354.31,339.78,88976,very_high,224.33
COL00104,EXP000258,real_estate,DE,,E,,BANK02,CP00133,office,430.3,66.1,1964,11532,2023-03-14,5,508.51,1489.93,19294,very_high,284.58
COL00105,EXP000267,real_estate,DE,,D,,BANK02,CP00136,industrial,103.98,64.8,1964,16472,2024-06-03,2,106.87,1564.84,87346,medium,67.37
COL00106,EXP000268,real_estate,PL,,C,,BANK02,CP00136,mixed_use,68.47,48.4,1962,2013,2023-01-27,4,62.04,222.44,97446,very_high,33.16
COL00107,EXP000271,real_estate,DE,,F,,BANK02,CP00137,logistics,5.27,52.2,2021,1908,2024-02-01,4,5.09,326.27,58762,very_high,2.75
COL00108,EXP000273,real_estate,DE,,C,,BANK02,CP00138,industrial,49.56,71.2,2007,11727,2023-07-18,2,67.74,757.56,24840,medium,35.3
COL00109,EXP000276,real_estate,AT,,B,,BANK02,CP00139,office,13.46,66.5,1965,688,2023-09-13,4,18.15,7.57,89717,very_high,8.95
COL00110,EXP000278,real_estate,IT,,B,,BANK02,CP00140,industrial,443.44,64.3,1991,9781,2023-05-13,3,442.59,266.04,70041,high,285.29
COL00111,EXP000280,real_estate,LU,,B,,BANK02,CP00141,office,145.8,73.1,1986,16417,2024-12-23,3,240.86,147.75,73940,high,106.52
COL00112,EXP000281,real_estate,IT,,F,,BANK02,CP00141,industrial,227.45,58.9,2006,18268,2023-10-27,4,198.48,2236.0,35586,very_high,133.86
COL00113,EXP000282,real_estate,ES,,F,,BANK02,CP00142,retail,119.07,51.9,1966,11558,2024-02-25,3,135.78,754.16,44477,high,61.76
COL00114,EXP000285,real_estate,ES,,B,,BANK02,CP00144,industrial,1522.88,48.6,1999,24510,2024-07-20,2,1345.05,355.39,33028,medium,740.24
COL00115,EXP000286,real_estate,FR,,E,,BANK02,CP00144,industrial,579.65,75.1,2016,21496,2024-04-09,5,759.28,380.05,40707,very_high,435.08
COL00116,EXP000287,real_estate,IT,,E,,BANK02,CP00145,retail,694.99,64.5,1970,2156,2023-10-13,4,675.32,199.39,66911,very_high,448.33
COL00117,EXP000288,real_estate,DE,,A,,BANK02,CP00146,residential_multi,2.83,60.8,1986,12629,2023-07-08,3,2.77,239.95,73272,high,1.72
COL00118,EXP000289,real_estate,IT,,D,,BANK02,CP00146,office,0.97,55.7,1963,20147,2023-12-11,5,0.86,1370.0,65359,very_high,0.54
COL00119,EXP000298,real_estate,IE,,E,,BANK02,CP00150,residential_multi,799.81,48.1,1967,3778,2024-07-20,2,665.15,372.51,38590,medium,384.68
COL00120,EXP000309,real_estate,FR,,D,,BANK02,CP00154,warehouse,28.91,50.2,2008,15513,2023-09-01,1,30.33,201.67,06473,low,14.51
COL00121,EXP000311,real_estate,FR,,E,,BANK02,CP00154,retail,16.57,72.6,1997,11260,2024-08-07,2,18.41,199.08,95996,medium,12.03
COL00122,EXP000314,real_estate,IE,,D,,BANK02,CP00156,mixed_use,2396.3,53.0,1961,4273,2023-11-11,3,2070.72,309.79,19189,high,1269.41
COL00123,EXP000318,real_estate,DE,,C,,BANK02,CP00159,industrial,106.25,58.8,1961,15484,2023-02-07,5,95.5,1000.27,16005,very_high,62.52
COL00124,EXP000320,real_estate,NL,,E,,BANK02,CP00160,industrial,1412.18,60.0,1970,9258,2024-09-16,3,1516.07,944.32,9442 WY,high,846.76
COL00125,EXP000323,real_estate,FI,,C,,BANK03,CP00162,mixed_use,84.39,64.6,1976,7652,2024-10-07,2,105.98,325.21,22940,medium,54.5
COL00126,EXP000328,real_estate,FI,,D,,BANK03,CP00167,industrial,1.84,52.2,2000,1574,2024-07-20,3,2.02,98.38,25848,high,0.96
COL00127,EXP000329,real_estate,DE,,E,,BANK03,CP00168,retail,15.0,45.9,2005,17909,2023-02-15,3,12.4,2313.84,51194,high,6.89
COL00128,EXP000330,real_estate,DE,,A,,BANK03,CP00169,residential_multi,458.17,71.3,1986,10875,2024-08-07,2,461.65,206.62,27121,medium,326.83
COL00129,EXP000332,real_estate,IT,,D,,BANK03,CP00169,retail,819.57,70.0,2006,11176,2024-02-22,4,1187.49,759.97,04690,very_high,573.62
COL00130,EXP000334,real_estate,FR,,G,,BANK03,CP00170,retail,51.96,53.8,1965,9731,2023-06-03,5,42.76,303.61,07416,very_high,27.94
COL00131,EXP000336,real_estate,AT,,D,,BANK03,CP00171,mixed_use,1340.49,63.2,2004,7240,2024-01-23,4,1170.96,199.1,18098,very_high,847.45
COL00132,EXP000337,real_estate,BE,,E,,BANK03,CP00171,residential_multi,1266.95,50.3,1969,7559,2024-08-01,3,941.13,436.91,37110,high,637.83
COL00133,EXP000339,real_estate,FI,,C,,BANK03,CP00172,logistics,297.14,71.0,1966,20093,2024-04-28,3,374.53,853.95,23380,high,210.87
COL00134,EXP000341,real_estate,IT,,C,,BANK03,CP00173,industrial,803.72,48.7,1991,10970,2023-09-06,4,684.94,507.25,12371,very_high,391.6
COL00135,EXP000346,real_estate,ES,,C,,BANK03,CP00176,office,73.18,52.0,2012,12058,2023-03-23,2,62.85,297.23,13009,medium,38.04
COL00136,EXP000351,real_estate,FR,,F,,BANK03,CP00179,logistics,27.86,57.6,2013,7728,2024-08-06,4,24.78,180.84,74257,very_high,16.05
COL00137,EXP000355,real_estate,DE,,F,,BANK03,CP00180,logistics,1803.67,54.8,1993,9600,2023-12-16,2,1863.53,1641.6,42614,medium,987.62
COL00138,EXP000357,real_estate,BE,,C,,BANK03,CP00181,industrial,1864.27,55.0,1985,6095,2024-04-09,1,1451.69,176.15,98709,low,1025.22
COL00139,EXP000358,real_estate,ES,,C,,BANK03,CP00182,warehouse,269.29,51.5,1972,4341,2023-02-04,4,264.65,107.01,02861,very_high,138.79
COL00140,EXP000359,real_estate,FI,,B,,BANK03,CP00182,office,614.32,70.5,2009,14039,2023-12-29,1,794.34,350.98,43079,low,432.88
COL00141,EXP000363,real_estate,FI,,C,,BANK03,CP00185,retail,1953.99,47.4,1973,23864,2023-02-16,1,1898.11,1014.22,59685,low,927.08
COL00142,EXP000373,real_estate,FR,,E,,BANK03,CP00191,logistics,11.35,70.4,1970,5189,2023-01-08,3,14.73,91.74,76479,high,7.99
COL00143,EXP000374,real_estate,FR,,D,,BANK03,CP00191,residential_multi,10.55,62.9,1995,3375,2023-08-26,2,9.56,43.88,36658,medium,6.64
COL00144,EXP000375,real_estate,PT,,D,,BANK03,CP00192,warehouse,15.1,54.9,2014,9547,2023-11-27,2,12.64,596.69,76232,medium,8.29
COL00145,EXP000381,real_estate,ES,,G,,BANK03,CP00194,logistics,32.16,67.1,2000,3459,2023-12-22,2,39.3,300.93,46157,medium,21.59
COL00146,EXP000382,real_estate,FR,,C,,BANK03,CP00195,residential_multi,3.15,66.7,1993,20062,2023-04-19,5,3.46,177.35,22766,very_high,2.1
COL00147,EXP000389,real_estate,FR,,B,,BANK03,CP00198,mixed_use,5.26,56.8,1965,17889,2024-07-04,4,4.17,93.02,48782,very_high,2.99
COL00148,EXP000393,real_estate,FR,,E,,BANK03,CP00199,office,414.22,61.3,2014,24189,2024-03-31,3,417.83,427.66,19580,high,253.72
COL00149,EXP000397,real_estate,DE,,B,,BANK03,CP00201,logistics,1.51,47.0,2015,16362,2023-09-27,1,1.32,621.76,25282,low,0.71
COL00150,EXP000399,real_estate,IT,,C,,BANK03,CP00202,logistics,306.99,71.2,1970,24588,2023-08-16,3,323.59,1136.95,03172,high,218.53
COL00151,EXP000400,real_estate,AT,,D,,BANK03,CP00202,retail,202.41,58.5,1969,23360,2024-12-05,2,170.81,642.4,31640,medium,118.5
COL00152,EXP000403,real_estate,FR,,F,,BANK03,CP00204,mixed_use,1233.89,56.5,1964,20991,2024-10-04,1,1022.37,491.19,49698,low,697.44
COL00153,EXP000404,real_estate,FR,,C,,BANK03,CP00204,industrial,512.11,52.5,1979,16076,2023-07-11,3,535.13,142.11,82681,high,268.68
COL00154,EXP000405,real_estate,FI,,B,,BANK03,CP00205,office,312.09,46.4,1987,304,2024-03-20,1,204.43,7.6,55227,low,144.77
COL00155,EXP000409,real_estate,NL,,B,,BANK03,CP00207,residential_multi,13.57,52.1,1990,21096,2023-12-24,3,10.55,632.88,3419 AJ,high,7.07
COL00156,EXP000411,real_estate,BE,,C,,BANK03,CP00208,industrial,69.26,47.9,2022,20844,2024-02-06,3,63.6,602.39,52533,high,33.18
COL00157,EXP000414,real_estate,FI,,C,,BANK03,CP00210,industrial,2.28,71.5,1996,13949,2024-04-02,2,2.61,592.83,92880,medium,1.63
COL00158,EXP000416,real_estate,IT,,C,,BANK03,CP00210,retail,2.43,52.7,2010,23295,2023-05-12,4,1.94,1077.16,67556,very_high,1.28
COL00159,EXP000417,real_estate,BE,,E,,BANK03,CP00211,residential_multi,97.24,54.3,1963,9733,2023-10-02,3,88.74,562.57,47736,high,52.82
COL00160,EXP000426,real_estate,IT,,E,,BANK03,CP00214,retail,307.54,52.4,2016,14132,2024-02-13,2,259.16,1306.93,33512,medium,161.23
COL00161,EXP000428,real_estate,PT,,D,,BANK03,CP00214,industrial,674.78,62.3,1999,14868,2024-02-24,2,653.48,929.25,66063,medium,420.2
COL00162,EXP000433,real_estate,NL,,E,,BANK03,CP00217,office,82.2,46.4,2002,4434,2024-09-11,3,63.96,452.27,5325 LS,high,38.18
COL00163,EXP000435,real_estate,LU,,C,,BANK03,CP00218,mixed_use,234.61,51.7,1968,21660,2023-02-20,3,218.06,331.4,78058,high,121.29
COL00164,EXP000437,real_estate,IT,,B,,BANK03,CP00218,industrial,347.88,48.7,1989,9708,2023-06-15,5,329.12,264.06,88307,very_high,169.34
COL00165,EXP000439,real_estate,DE,,B,,BANK03,CP00220,logistics,2.06,65.5,1962,24943,2024-06-23,1,2.09,947.83,66242,low,1.35
COL00166,EXP000440,real_estate,DE,,B,,BANK04,CP00221,industrial,7.49,64.4,1991,1306,2023-10-06,3,8.44,49.63,23470,high,4.82
COL00167,EXP000442,real_estate,FR,,B,,BANK04,CP00222,mixed_use,30.7,50.8,1970,2707,2023-03-17,3,26.51,14.08,18926,high,15.61
COL00168,EXP000446,real_estate,FR,,C,,BANK04,CP00224,warehouse,111.97,54.2,2010,6566,2024-09-12,4,100.16,58.04,15165,very_high,60.71
COL00169,EXP000448,real_estate,FR,,C,,BANK04,CP00225,retail,18.06,64.7,1993,21697,2024-08-13,3,23.25,191.8,80783,high,11.68
COL00170,EXP000449,real_estate,ES,,A,,BANK04,CP00225,residential_multi,26.57,55.4,1991,12730,2023-01-18,5,23.64,92.29,24527,very_high,14.72
COL00171,EXP000458,real_estate,FR,,B,,BANK04,CP00229,office,1.84,60.3,2007,15823,2024-07-30,1,1.83,82.28,56646,low,1.11
COL00172,EXP000459,real_estate,DE,,A,,BANK04,CP00230,logistics,68.11,45.9,1981,7005,2024-05-16,3,46.71,133.09,55506,high,31.27
COL00173,EXP000461,real_estate,AT,,B,,BANK04,CP00230,mixed_use,26.34,57.9,1989,2131,2024-05-20,2,25.41,23.44,52469,medium,15.26
COL00174,EXP000464,real_estate,BE,,B,,BANK04,CP00232,industrial,2.57,75.1,2012,382,2023-10-02,3,3.69,6.49,34302,high,1.93
