bank_id,reporting_year,effect_id,effect_type,driver_type,linked_id,affected_statement,line_item,effect_timing,time_horizon,horizon,amount_meur,quantitative_effect_meur,qualitative_description,material_adjustment_next_period_flag,basis,is_synthetic
BANK05,2024,FE-RISK-BANK05-2024-0006-ANT,risk,risk,RISK-BANK05-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,medium_2_5yr,medium_2_5yr,118.1,118.1,Anticipated medium_2_5yr effect attributable to: Transition risk — EV shift in auto lending.,False,modelled_estimate,True
BANK05,2024,FE-RISK-BANK05-2024-0001,risk,risk,RISK-BANK05-2024-0001,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,medium_2_5yr,medium_2_5yr,8.89,8.89,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK05,2024,FE-RISK-BANK05-2024-0001-ANT,risk,risk,RISK-BANK05-2024-0001,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,medium_2_5yr,medium_2_5yr,88.9,88.9,Anticipated medium_2_5yr effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
BANK05,2024,FE-RISK-BANK05-2024-0005,risk,risk,RISK-BANK05-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,short_0_2yr,short_0_2yr,7.75,7.75,Current-period effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
BANK05,2024,FE-RISK-BANK05-2024-0005-ANT,risk,risk,RISK-BANK05-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,short_0_2yr,short_0_2yr,77.5,77.5,Anticipated short_0_2yr effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
BANK01,2024,FE-OPP-BANK01-01,opportunity,opportunity,OPP-BANK01-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,medium_term,medium_term,180.0,180.0,"Anticipated revenue opportunity: Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",False,estimate,True
BANK02,2024,FE-OPP-BANK02-01,opportunity,opportunity,OPP-BANK02-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,medium_term,medium_term,180.0,180.0,"Anticipated revenue opportunity: Expansion of green and sustainability-linked loan book aligned with EU Taxonomy, driven by corporate client transition financing demand.",False,estimate,True
BANK03,2024,FE-OPP-BANK03-01,opportunity,opportunity,OPP-BANK03-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,medium_term,medium_term,55.0,55.0,"Anticipated revenue opportunity: Growth of green SME lending under LMA Green Loan Principles, targeting energy-efficient commercial real estate and manufacturing retrofits.",False,estimate,True
BANK04,2024,FE-OPP-BANK04-01,opportunity,opportunity,OPP-BANK04-01,income_statement,Net interest income - green and sustainability-linked lending,anticipated,short_term,short_term,210.0,210.0,Anticipated revenue opportunity: Core business expansion: EU Taxonomy-aligned green loans now represent 47% of loan book with strong pipeline growth from SFDR Article 9 fund clients.,False,estimate,True
BANK05,2024,FE-OPP-BANK05-04,opportunity,opportunity,OPP-BANK05-04,income_statement,Net interest income - green and sustainability-linked lending,anticipated,long_term,long_term,18.0,18.0,"Anticipated revenue opportunity: Participation in Iberian solar project finance syndications alongside larger arranger banks, building renewable energy expertise.",False,estimate,True
