collateral_id,exposure_id,bank_id,counterparty_id,collateral_type,country,valuation_amount_meur,market_value_meur,epc_rating,flood_zone_class,flood_risk_score,physical_risk_score,exposure_amount_meur,property_type,ltv_pct,year_built,floor_area_sqm,valuation_date,market_value_at_origination_meur,building_emissions_tco2e,postcode
COL00017,EXP000044,BANK01,CP00023,real_estate,BE,347.33,347.33,F,high,,3,245.29,residential_multi,70.6,1982,13409,2023-11-22,358.61,1025.79,62401
COL00018,EXP000045,BANK01,CP00024,real_estate,DE,15.41,15.41,B,very_high,,4,10.9,mixed_use,70.7,2010,20755,2023-09-24,23.26,788.69,19290
COL00019,EXP000047,BANK01,CP00025,real_estate,ES,6.37,6.37,C,high,,3,4.6,office,72.2,1979,1111,2024-09-24,6.97,27.39,40434
COL00020,EXP000049,BANK01,CP00027,real_estate,PL,8.86,8.86,C,high,,3,4.52,logistics,51.0,2005,6313,2023-09-03,7.62,697.59,70939
COL00021,EXP000050,BANK01,CP00027,real_estate,IE,9.63,9.63,B,low,,1,6.33,mixed_use,65.7,2008,8735,2024-11-06,9.3,253.31,71844
COL00022,EXP000054,BANK01,CP00030,real_estate,NL,2323.48,2323.48,B,very_high,,5,1239.49,office,53.3,1973,3835,2024-04-15,2548.44,115.05,6166 ND
COL00023,EXP000060,BANK01,CP00031,real_estate,DE,1908.36,1908.36,B,medium,,2,906.52,retail,47.5,2023,12042,2023-08-01,1454.16,457.6,96313
COL00024,EXP000061,BANK01,CP00032,real_estate,BE,3.02,3.02,A,medium,,2,1.74,office,57.6,1986,22722,2024-03-05,2.83,193.14,47548
COL00025,EXP000063,BANK01,CP00032,real_estate,IT,3.03,3.03,F,high,,3,2.1,mixed_use,69.3,1982,21815,2024-08-03,3.6,2670.16,92710
COL00026,EXP000065,BANK01,CP00034,real_estate,NL,29.28,29.28,C,high,,3,16.87,retail,57.6,1960,5390,2024-06-18,28.83,274.89,9054 HS
COL00027,EXP000069,BANK01,CP00036,real_estate,AT,71.8,71.8,A,very_high,,4,40.65,office,56.6,1987,12156,2023-04-28,63.07,66.86,87598
COL00028,EXP000070,BANK01,CP00037,real_estate,LU,51.49,51.49,B,medium,,2,26.34,office,51.2,1994,9167,2024-05-08,50.93,82.5,72562
COL00029,EXP000071,BANK01,CP00037,real_estate,AT,25.48,25.48,E,very_high,,5,16.28,logistics,63.9,2023,14488,2024-06-08,28.29,541.85,89561
COL00030,EXP000074,BANK01,CP00039,real_estate,FR,12.65,12.65,B,very_high,,4,6.03,mixed_use,47.7,2010,3571,2024-08-20,11.8,18.57,60615
COL00031,EXP000078,BANK01,CP00040,real_estate,FI,1240.19,1240.19,B,very_high,,4,713.14,logistics,57.5,2014,19740,2023-10-06,1263.7,493.5,67816
COL00032,EXP000081,BANK01,CP00042,real_estate,PT,66.17,66.17,D,very_high,,5,31.39,retail,47.4,2017,5680,2023-02-04,48.87,355.0,39783
COL00033,EXP000082,BANK01,CP00042,real_estate,BE,51.41,51.41,C,low,,1,25.15,warehouse,48.9,2005,13251,2023-01-31,41.71,382.95,28511
COL00034,EXP000084,BANK01,CP00043,real_estate,BE,0.64,0.64,B,low,,1,0.47,industrial,73.4,2007,4952,2023-11-18,0.77,84.18,83183
COL00035,EXP000085,BANK01,CP00044,real_estate,NL,66.5,66.5,A,low,,1,44.56,retail,67.0,2001,7823,2024-07-29,72.06,117.34,8852 GW
COL00036,EXP000086,BANK01,CP00044,real_estate,FR,224.99,224.99,B,high,,3,161.56,industrial,71.8,1969,19007,2024-10-23,231.49,98.84,23369
COL00037,EXP000089,BANK01,CP00045,real_estate,ES,16.89,16.89,C,low,,1,12.56,industrial,74.4,1965,9192,2024-03-07,23.2,226.58,43388
COL00038,EXP000091,BANK01,CP00046,real_estate,NL,10.06,10.06,D,very_high,,4,6.12,warehouse,60.8,1996,784,2024-10-21,8.92,58.8,8772 ZC
COL00039,EXP000093,BANK01,CP00047,real_estate,IT,9.42,9.42,C,low,,1,4.58,industrial,48.6,1965,11255,2024-10-22,6.67,520.43,57683
COL00040,EXP000094,BANK01,CP00047,real_estate,FR,6.4,6.4,E,high,,3,3.28,residential_multi,51.2,2004,13318,2023-03-23,5.23,235.46,49553
COL00041,EXP000095,BANK01,CP00048,real_estate,PL,1.8,1.8,D,very_high,,4,1.15,residential_multi,63.9,2023,21207,2023-05-05,1.62,3446.14,21429
COL00042,EXP000098,BANK01,CP00048,real_estate,DE,1.9,1.9,B,medium,,2,1.45,mixed_use,76.3,2001,22731,2024-03-22,2.01,863.78,34999
COL00043,EXP000099,BANK01,CP00049,real_estate,FI,2.64,2.64,E,medium,,2,1.62,mixed_use,61.4,1960,22752,2023-02-23,2.33,1933.92,23049
COL00044,EXP000101,BANK01,CP00049,real_estate,BE,3.04,3.04,G,medium,,2,1.98,office,65.1,2008,9044,2024-12-16,2.88,922.49,44985
COL00045,EXP000103,BANK01,CP00051,real_estate,FR,21.13,21.13,C,high,,3,13.31,industrial,63.0,2012,21070,2024-04-02,25.68,186.26,84702
COL00046,EXP000104,BANK01,CP00051,real_estate,PL,24.22,24.22,B,medium,,2,12.78,residential_multi,52.8,2001,24148,2024-05-09,17.86,1569.62,34770
COL00047,EXP000106,BANK01,CP00053,real_estate,PT,4.71,4.71,C,high,,3,2.91,office,61.8,1991,21809,2024-10-24,4.79,926.88,22763
COL00048,EXP000107,BANK01,CP00054,real_estate,DE,9.48,9.48,A,medium,,2,7.0,residential_multi,73.8,1987,15540,2024-01-30,11.0,295.26,24507
COL00049,EXP000109,BANK01,CP00055,real_estate,ES,1301.26,1301.26,B,high,,3,655.4,warehouse,50.4,2000,10417,2024-12-26,1084.84,151.05,17447
COL00050,EXP000111,BANK01,CP00057,real_estate,IT,7.26,7.26,D,medium,,2,4.85,industrial,66.8,2017,20531,2024-06-09,9.38,1396.11,95721
COL00051,EXP000113,BANK01,CP00058,real_estate,IT,146.1,146.1,A,very_high,,4,100.91,residential_multi,69.1,1973,5026,2024-04-17,170.06,68.35,29056
COL00052,EXP000118,BANK01,CP00059,real_estate,ES,650.79,650.79,F,low,,1,422.57,industrial,64.9,2017,11732,2023-09-29,640.24,765.51,43768
COL00053,EXP000123,BANK01,CP00063,real_estate,ES,19.62,19.62,B,medium,,2,11.2,residential_multi,57.1,1966,14661,2023-10-07,17.65,212.58,19909
COL00054,EXP000124,BANK01,CP00063,real_estate,FR,20.51,20.51,C,high,,3,13.91,residential_multi,67.8,1982,19665,2023-10-10,22.06,173.84,72085
COL00055,EXP000125,BANK01,CP00064,real_estate,FR,885.89,885.89,C,low,,1,658.71,logistics,74.4,1974,7395,2023-04-28,945.58,65.37,27047
COL00056,EXP000126,BANK01,CP00064,real_estate,FR,515.41,515.41,C,low,,1,289.73,office,56.2,2011,13042,2024-02-07,532.07,115.29,04735
COL00057,EXP000130,BANK01,CP00066,real_estate,BE,293.47,293.47,B,low,,1,197.86,mixed_use,67.4,1996,24247,2023-01-04,307.83,412.2,85782
COL00058,EXP000131,BANK01,CP00066,real_estate,PT,295.8,295.8,E,high,,3,150.52,residential_multi,50.9,1990,5778,2023-11-19,210.22,491.13,63356
COL00059,EXP000133,BANK01,CP00067,real_estate,DE,8.72,8.72,C,low,,1,6.11,residential_multi,70.1,2020,14222,2023-12-09,9.28,918.74,50354
COL00060,EXP000137,BANK01,CP00069,real_estate,PL,287.65,287.65,E,high,,3,156.79,office,54.5,1960,16200,2023-09-11,241.77,3580.2,82968
COL00061,EXP000138,BANK01,CP00069,real_estate,PT,1392.13,1392.13,A,very_high,,4,635.28,logistics,45.6,1981,24939,2023-05-31,1097.22,311.74,92811
COL00062,EXP000139,BANK01,CP00069,real_estate,AT,1025.97,1025.97,E,medium,,2,600.91,retail,58.6,1992,21938,2024-05-13,953.49,820.48,81006
COL00063,EXP000140,BANK01,CP00070,real_estate,FI,1715.05,1715.05,E,high,,3,884.44,retail,51.6,2021,3894,2023-10-04,1293.86,330.99,68380
COL00064,EXP000144,BANK01,CP00072,real_estate,PL,1800.86,1800.86,G,medium,,2,1201.99,mixed_use,66.7,2005,16512,2023-02-01,2568.91,6439.68,48640
COL00065,EXP000147,BANK01,CP00073,real_estate,IT,51.68,51.68,E,high,,3,24.28,industrial,47.0,1973,9175,2024-10-03,41.67,848.5,03201
COL00066,EXP000149,BANK01,CP00074,real_estate,LU,10.45,10.45,G,high,,3,7.17,warehouse,68.6,2004,11052,2024-02-05,11.57,596.81,71176
COL00067,EXP000153,BANK01,CP00075,real_estate,IT,320.2,320.2,B,high,,3,181.1,warehouse,56.6,1975,14403,2024-04-10,332.07,391.76,74440
COL00068,EXP000155,BANK01,CP00077,real_estate,BE,26.8,26.8,B,high,,3,15.32,office,57.2,2019,22512,2023-06-03,26.46,382.7,48466
COL00069,EXP000156,BANK01,CP00077,real_estate,IT,34.86,34.86,D,low,,1,22.16,industrial,63.6,1997,710,2024-04-09,36.16,48.28,77590
COL00070,EXP000157,BANK01,CP00077,real_estate,DE,74.47,74.47,D,low,,1,42.81,office,57.5,2005,21835,2023-01-01,59.51,2074.32,55017
COL00071,EXP000158,BANK01,CP00078,real_estate,BE,1.66,1.66,F,medium,,2,0.8,mixed_use,48.2,1979,3018,2024-12-31,1.21,230.88,71913
COL00072,EXP000161,BANK01,CP00080,real_estate,DE,582.29,582.29,D,high,,3,372.85,office,64.0,2005,8350,2024-11-25,544.3,793.25,93754
COL00073,EXP000163,BANK01,CP00081,real_estate,LU,90.4,90.4,G,high,,3,42.97,office,47.5,1999,5878,2024-07-31,71.2,317.41,28442
COL00074,EXP000168,BANK01,CP00084,real_estate,NL,1422.48,1422.48,E,medium,,2,1000.25,retail,70.3,1998,10194,2023-03-29,1474.29,1039.79,1562 KH
COL00075,EXP000170,BANK01,CP00085,real_estate,ES,12.34,12.34,B,high,,3,5.91,mixed_use,47.9,1977,17454,2024-03-28,10.32,253.08,29195
COL00076,EXP000171,BANK01,CP00086,real_estate,IT,60.44,60.44,D,low,,1,35.11,retail,58.1,2013,13643,2024-04-17,58.65,927.72,78181
COL00077,EXP000174,BANK01,CP00086,real_estate,IE,175.56,175.56,E,high,,3,82.96,warehouse,47.3,2007,4370,2024-09-27,145.87,430.88,82362
COL00078,EXP000178,BANK01,CP00088,real_estate,BE,272.25,272.25,E,very_high,,4,192.63,residential_multi,70.8,2019,17174,2024-04-16,268.34,992.66,74118
COL00079,EXP000179,BANK01,CP00088,real_estate,NL,688.26,688.26,C,high,,3,492.9,logistics,71.6,1997,18728,2024-05-08,843.12,955.13,3290 DT
COL00080,EXP000181,BANK01,CP00089,real_estate,DE,101.1,101.1,D,high,,3,51.44,warehouse,50.9,1986,17116,2023-05-28,83.83,1626.02,88890
COL00081,EXP000184,BANK02,CP00092,real_estate,IT,583.03,583.03,F,very_high,,4,282.06,logistics,48.4,1999,23764,2023-01-07,460.18,2908.71,00939
COL00082,EXP000186,BANK02,CP00093,real_estate,DE,12.96,12.96,A,low,,1,7.03,industrial,54.2,1972,8300,2023-07-29,11.06,157.7,72800
COL00083,EXP000191,BANK02,CP00095,real_estate,DE,27.16,27.16,D,very_high,,4,20.12,residential_multi,74.1,2011,16050,2023-07-08,34.69,1524.75,16937
COL00084,EXP000195,BANK02,CP00097,real_estate,BE,30.75,30.75,E,high,,3,18.14,logistics,59.0,1975,14367,2023-05-30,31.29,830.41,99996
COL00085,EXP000197,BANK02,CP00098,real_estate,ES,109.23,109.23,E,medium,,2,72.02,logistics,65.9,1985,15802,2024-05-06,138.47,779.04,45173
COL00086,EXP000201,BANK02,CP00100,real_estate,IE,2.67,2.67,D,low,,1,1.62,residential_multi,60.7,2019,13860,2024-03-11,2.67,1004.85,88042
COL00087,EXP000202,BANK02,CP00101,real_estate,IT,1049.1,1049.1,B,very_high,,5,800.89,residential_multi,76.3,2016,1596,2023-12-30,1630.27,43.41,04755
COL00088,EXP000204,BANK02,CP00101,real_estate,FR,352.51,352.51,E,high,,3,269.46,retail,76.4,1986,11630,2024-12-24,487.82,205.62,28281
COL00089,EXP000205,BANK02,CP00102,real_estate,AT,50.44,50.44,B,medium,,2,31.2,industrial,61.9,2003,15256,2023-05-24,45.34,167.82,36097
COL00090,EXP000211,BANK02,CP00106,real_estate,IT,14.46,14.46,C,medium,,2,7.69,mixed_use,53.2,2020,20052,2024-11-05,13.33,927.2,12708
COL00091,EXP000215,BANK02,CP00109,real_estate,IT,1.94,1.94,D,very_high,,4,1.37,retail,70.6,2004,19352,2024-09-24,2.32,1315.94,03383
COL00092,EXP000219,BANK02,CP00112,real_estate,DE,322.03,322.03,A,high,,3,223.13,logistics,69.3,1973,16565,2024-11-26,429.5,314.74,57041
COL00093,EXP000226,BANK02,CP00117,real_estate,IT,10.01,10.01,F,high,,3,5.12,industrial,51.1,2013,2309,2023-03-05,9.38,282.62,01945
COL00094,EXP000230,BANK02,CP00120,real_estate,IT,716.67,716.67,E,low,,1,422.22,office,58.9,1963,5903,2023-11-25,644.2,545.91,88397
COL00095,EXP000234,BANK02,CP00122,real_estate,FR,71.53,71.53,B,high,,3,39.38,logistics,55.1,1992,16292,2024-03-24,76.63,84.72,25570
COL00096,EXP000235,BANK02,CP00122,real_estate,IE,59.39,59.39,E,low,,1,29.22,residential_multi,49.2,1984,3018,2024-08-19,38.5,297.57,70444
COL00097,EXP000237,BANK02,CP00123,real_estate,IT,17.61,17.61,A,very_high,,4,8.37,industrial,47.5,2012,18821,2024-07-13,13.21,255.97,08112
COL00098,EXP000239,BANK02,CP00124,real_estate,ES,20.9,20.9,D,high,,3,11.13,logistics,53.3,1986,18889,2024-04-30,18.64,684.73,22446
COL00099,EXP000241,BANK02,CP00126,real_estate,DE,75.97,75.97,F,very_high,,4,53.35,mixed_use,70.2,2014,20695,2024-01-21,81.99,3538.84,67251
COL00100,EXP000248,BANK02,CP00129,real_estate,FR,1137.21,1137.21,D,very_high,,4,808.75,office,71.1,2002,938,2023-08-18,1440.03,12.19,15950
COL00101,EXP000249,BANK02,CP00129,real_estate,DE,1764.06,1764.06,E,high,,3,912.63,residential_multi,51.7,1980,9639,2023-03-18,1623.49,1245.36,51923
COL00102,EXP000250,BANK02,CP00130,real_estate,IT,5.97,5.97,D,very_high,,4,3.41,warehouse,57.1,1967,18089,2024-12-15,5.48,1230.05,77824
COL00103,EXP000257,BANK02,CP00133,real_estate,IE,359.17,359.17,C,very_high,,4,224.33,industrial,62.5,1977,6892,2024-07-14,354.31,339.78,88976
COL00104,EXP000258,BANK02,CP00133,real_estate,DE,430.3,430.3,E,very_high,,5,284.58,office,66.1,1964,11532,2023-03-14,508.51,1489.93,19294
COL00105,EXP000267,BANK02,CP00136,real_estate,DE,103.98,103.98,D,medium,,2,67.37,industrial,64.8,1964,16472,2024-06-03,106.87,1564.84,87346
COL00106,EXP000268,BANK02,CP00136,real_estate,PL,68.47,68.47,C,very_high,,4,33.16,mixed_use,48.4,1962,2013,2023-01-27,62.04,222.44,97446
COL00107,EXP000271,BANK02,CP00137,real_estate,DE,5.27,5.27,F,very_high,,4,2.75,logistics,52.2,2021,1908,2024-02-01,5.09,326.27,58762
COL00108,EXP000273,BANK02,CP00138,real_estate,DE,49.56,49.56,C,medium,,2,35.3,industrial,71.2,2007,11727,2023-07-18,67.74,757.56,24840
COL00109,EXP000276,BANK02,CP00139,real_estate,AT,13.46,13.46,B,very_high,,4,8.95,office,66.5,1965,688,2023-09-13,18.15,7.57,89717
COL00110,EXP000278,BANK02,CP00140,real_estate,IT,443.44,443.44,B,high,,3,285.29,industrial,64.3,1991,9781,2023-05-13,442.59,266.04,70041
COL00111,EXP000280,BANK02,CP00141,real_estate,LU,145.8,145.8,B,high,,3,106.52,office,73.1,1986,16417,2024-12-23,240.86,147.75,73940
COL00112,EXP000281,BANK02,CP00141,real_estate,IT,227.45,227.45,F,very_high,,4,133.86,industrial,58.9,2006,18268,2023-10-27,198.48,2236.0,35586
COL00113,EXP000282,BANK02,CP00142,real_estate,ES,119.07,119.07,F,high,,3,61.76,retail,51.9,1966,11558,2024-02-25,135.78,754.16,44477
COL00114,EXP000285,BANK02,CP00144,real_estate,ES,1522.88,1522.88,B,medium,,2,740.24,industrial,48.6,1999,24510,2024-07-20,1345.05,355.39,33028
COL00115,EXP000286,BANK02,CP00144,real_estate,FR,579.65,579.65,E,very_high,,5,435.08,industrial,75.1,2016,21496,2024-04-09,759.28,380.05,40707
COL00116,EXP000287,BANK02,CP00145,real_estate,IT,694.99,694.99,E,very_high,,4,448.33,retail,64.5,1970,2156,2023-10-13,675.32,199.39,66911
COL00117,EXP000288,BANK02,CP00146,real_estate,DE,2.83,2.83,A,high,,3,1.72,residential_multi,60.8,1986,12629,2023-07-08,2.77,239.95,73272
COL00118,EXP000289,BANK02,CP00146,real_estate,IT,0.97,0.97,D,very_high,,5,0.54,office,55.7,1963,20147,2023-12-11,0.86,1370.0,65359
COL00119,EXP000298,BANK02,CP00150,real_estate,IE,799.81,799.81,E,medium,,2,384.68,residential_multi,48.1,1967,3778,2024-07-20,665.15,372.51,38590
COL00120,EXP000309,BANK02,CP00154,real_estate,FR,28.91,28.91,D,low,,1,14.51,warehouse,50.2,2008,15513,2023-09-01,30.33,201.67,06473
COL00121,EXP000311,BANK02,CP00154,real_estate,FR,16.57,16.57,E,medium,,2,12.03,retail,72.6,1997,11260,2024-08-07,18.41,199.08,95996
COL00122,EXP000314,BANK02,CP00156,real_estate,IE,2396.3,2396.3,D,high,,3,1269.41,mixed_use,53.0,1961,4273,2023-11-11,2070.72,309.79,19189
COL00123,EXP000318,BANK02,CP00159,real_estate,DE,106.25,106.25,C,very_high,,5,62.52,industrial,58.8,1961,15484,2023-02-07,95.5,1000.27,16005
COL00124,EXP000320,BANK02,CP00160,real_estate,NL,1412.18,1412.18,E,high,,3,846.76,industrial,60.0,1970,9258,2024-09-16,1516.07,944.32,9442 WY
COL00125,EXP000323,BANK03,CP00162,real_estate,FI,84.39,84.39,C,medium,,2,54.5,mixed_use,64.6,1976,7652,2024-10-07,105.98,325.21,22940
COL00126,EXP000328,BANK03,CP00167,real_estate,FI,1.84,1.84,D,high,,3,0.96,industrial,52.2,2000,1574,2024-07-20,2.02,98.38,25848
COL00127,EXP000329,BANK03,CP00168,real_estate,DE,15.0,15.0,E,high,,3,6.89,retail,45.9,2005,17909,2023-02-15,12.4,2313.84,51194
COL00128,EXP000330,BANK03,CP00169,real_estate,DE,458.17,458.17,A,medium,,2,326.83,residential_multi,71.3,1986,10875,2024-08-07,461.65,206.62,27121
COL00129,EXP000332,BANK03,CP00169,real_estate,IT,819.57,819.57,D,very_high,,4,573.62,retail,70.0,2006,11176,2024-02-22,1187.49,759.97,04690
COL00130,EXP000334,BANK03,CP00170,real_estate,FR,51.96,51.96,G,very_high,,5,27.94,retail,53.8,1965,9731,2023-06-03,42.76,303.61,07416
COL00131,EXP000336,BANK03,CP00171,real_estate,AT,1340.49,1340.49,D,very_high,,4,847.45,mixed_use,63.2,2004,7240,2024-01-23,1170.96,199.1,18098
COL00132,EXP000337,BANK03,CP00171,real_estate,BE,1266.95,1266.95,E,high,,3,637.83,residential_multi,50.3,1969,7559,2024-08-01,941.13,436.91,37110
COL00133,EXP000339,BANK03,CP00172,real_estate,FI,297.14,297.14,C,high,,3,210.87,logistics,71.0,1966,20093,2024-04-28,374.53,853.95,23380
COL00134,EXP000341,BANK03,CP00173,real_estate,IT,803.72,803.72,C,very_high,,4,391.6,industrial,48.7,1991,10970,2023-09-06,684.94,507.25,12371
COL00135,EXP000346,BANK03,CP00176,real_estate,ES,73.18,73.18,C,medium,,2,38.04,office,52.0,2012,12058,2023-03-23,62.85,297.23,13009
COL00136,EXP000351,BANK03,CP00179,real_estate,FR,27.86,27.86,F,very_high,,4,16.05,logistics,57.6,2013,7728,2024-08-06,24.78,180.84,74257
COL00137,EXP000355,BANK03,CP00180,real_estate,DE,1803.67,1803.67,F,medium,,2,987.62,logistics,54.8,1993,9600,2023-12-16,1863.53,1641.6,42614
COL00138,EXP000357,BANK03,CP00181,real_estate,BE,1864.27,1864.27,C,low,,1,1025.22,industrial,55.0,1985,6095,2024-04-09,1451.69,176.15,98709
COL00139,EXP000358,BANK03,CP00182,real_estate,ES,269.29,269.29,C,very_high,,4,138.79,warehouse,51.5,1972,4341,2023-02-04,264.65,107.01,02861
COL00140,EXP000359,BANK03,CP00182,real_estate,FI,614.32,614.32,B,low,,1,432.88,office,70.5,2009,14039,2023-12-29,794.34,350.98,43079
COL00141,EXP000363,BANK03,CP00185,real_estate,FI,1953.99,1953.99,C,low,,1,927.08,retail,47.4,1973,23864,2023-02-16,1898.11,1014.22,59685
COL00142,EXP000373,BANK03,CP00191,real_estate,FR,11.35,11.35,E,high,,3,7.99,logistics,70.4,1970,5189,2023-01-08,14.73,91.74,76479
COL00143,EXP000374,BANK03,CP00191,real_estate,FR,10.55,10.55,D,medium,,2,6.64,residential_multi,62.9,1995,3375,2023-08-26,9.56,43.88,36658
COL00144,EXP000375,BANK03,CP00192,real_estate,PT,15.1,15.1,D,medium,,2,8.29,warehouse,54.9,2014,9547,2023-11-27,12.64,596.69,76232
COL00145,EXP000381,BANK03,CP00194,real_estate,ES,32.16,32.16,G,medium,,2,21.59,logistics,67.1,2000,3459,2023-12-22,39.3,300.93,46157
COL00146,EXP000382,BANK03,CP00195,real_estate,FR,3.15,3.15,C,very_high,,5,2.1,residential_multi,66.7,1993,20062,2023-04-19,3.46,177.35,22766
COL00147,EXP000389,BANK03,CP00198,real_estate,FR,5.26,5.26,B,very_high,,4,2.99,mixed_use,56.8,1965,17889,2024-07-04,4.17,93.02,48782
COL00148,EXP000393,BANK03,CP00199,real_estate,FR,414.22,414.22,E,high,,3,253.72,office,61.3,2014,24189,2024-03-31,417.83,427.66,19580
COL00149,EXP000397,BANK03,CP00201,real_estate,DE,1.51,1.51,B,low,,1,0.71,logistics,47.0,2015,16362,2023-09-27,1.32,621.76,25282
COL00150,EXP000399,BANK03,CP00202,real_estate,IT,306.99,306.99,C,high,,3,218.53,logistics,71.2,1970,24588,2023-08-16,323.59,1136.95,03172
COL00151,EXP000400,BANK03,CP00202,real_estate,AT,202.41,202.41,D,medium,,2,118.5,retail,58.5,1969,23360,2024-12-05,170.81,642.4,31640
COL00152,EXP000403,BANK03,CP00204,real_estate,FR,1233.89,1233.89,F,low,,1,697.44,mixed_use,56.5,1964,20991,2024-10-04,1022.37,491.19,49698
COL00153,EXP000404,BANK03,CP00204,real_estate,FR,512.11,512.11,C,high,,3,268.68,industrial,52.5,1979,16076,2023-07-11,535.13,142.11,82681
COL00154,EXP000405,BANK03,CP00205,real_estate,FI,312.09,312.09,B,low,,1,144.77,office,46.4,1987,304,2024-03-20,204.43,7.6,55227
COL00155,EXP000409,BANK03,CP00207,real_estate,NL,13.57,13.57,B,high,,3,7.07,residential_multi,52.1,1990,21096,2023-12-24,10.55,632.88,3419 AJ
COL00156,EXP000411,BANK03,CP00208,real_estate,BE,69.26,69.26,C,high,,3,33.18,industrial,47.9,2022,20844,2024-02-06,63.6,602.39,52533
COL00157,EXP000414,BANK03,CP00210,real_estate,FI,2.28,2.28,C,medium,,2,1.63,industrial,71.5,1996,13949,2024-04-02,2.61,592.83,92880
COL00158,EXP000416,BANK03,CP00210,real_estate,IT,2.43,2.43,C,very_high,,4,1.28,retail,52.7,2010,23295,2023-05-12,1.94,1077.16,67556
COL00159,EXP000417,BANK03,CP00211,real_estate,BE,97.24,97.24,E,high,,3,52.82,residential_multi,54.3,1963,9733,2023-10-02,88.74,562.57,47736
COL00160,EXP000426,BANK03,CP00214,real_estate,IT,307.54,307.54,E,medium,,2,161.23,retail,52.4,2016,14132,2024-02-13,259.16,1306.93,33512
COL00161,EXP000428,BANK03,CP00214,real_estate,PT,674.78,674.78,D,medium,,2,420.2,industrial,62.3,1999,14868,2024-02-24,653.48,929.25,66063
COL00162,EXP000433,BANK03,CP00217,real_estate,NL,82.2,82.2,E,high,,3,38.18,office,46.4,2002,4434,2024-09-11,63.96,452.27,5325 LS
COL00163,EXP000435,BANK03,CP00218,real_estate,LU,234.61,234.61,C,high,,3,121.29,mixed_use,51.7,1968,21660,2023-02-20,218.06,331.4,78058
COL00164,EXP000437,BANK03,CP00218,real_estate,IT,347.88,347.88,B,very_high,,5,169.34,industrial,48.7,1989,9708,2023-06-15,329.12,264.06,88307
COL00165,EXP000439,BANK03,CP00220,real_estate,DE,2.06,2.06,B,low,,1,1.35,logistics,65.5,1962,24943,2024-06-23,2.09,947.83,66242
COL00166,EXP000440,BANK04,CP00221,real_estate,DE,7.49,7.49,B,high,,3,4.82,industrial,64.4,1991,1306,2023-10-06,8.44,49.63,23470
COL00167,EXP000442,BANK04,CP00222,real_estate,FR,30.7,30.7,B,high,,3,15.61,mixed_use,50.8,1970,2707,2023-03-17,26.51,14.08,18926
