bank_id,reporting_year,volume_mwh,certificate_id,rec_id,certificate_type,registry,issuing_registry,energy_source,country_of_generation,issue_date,expiry_date,cancellation_date,associated_facility_ids,price_eur_per_mwh
BANK01,2024,2997.3,REC-BANK01-2024-0004,REC-BANK01-2024-0004,GO,EECS,EECS,solar,DE,2024-10-07,2025-10-07,2025-05-02,"FAC0008,FAC0017,FAC0007",
BANK02,2022,3109.0,REC-BANK02-2022-0001,REC-BANK02-2022-0001,GO,EECS,EECS,geothermal,FR,2022-01-09,2023-01-09,,"FAC0032,FAC0041,FAC0040,FAC0036",1.06
BANK02,2022,3109.0,REC-BANK02-2022-0002,REC-BANK02-2022-0002,GO,EECS,EECS,geothermal,FR,2022-04-28,2023-04-28,2022-06-28,FAC0049,5.5
BANK02,2022,3109.0,REC-BANK02-2022-0003,REC-BANK02-2022-0003,GO,EECS,EECS,wind_onshore,FR,2022-07-18,2023-07-18,2022-08-29,"FAC0029,FAC0030,FAC0032",6.95
BANK02,2022,3109.0,REC-BANK02-2022-0004,REC-BANK02-2022-0004,GO,EECS,EECS,geothermal,FR,2022-10-27,2023-10-27,,FAC0038,3.35
BANK02,2023,4098.3,REC-BANK02-2023-0001,REC-BANK02-2023-0001,GO,EECS,EECS,hydro,FR,2023-01-16,2024-01-16,2023-08-07,FAC0031,2.59
BANK02,2023,4098.3,REC-BANK02-2023-0002,REC-BANK02-2023-0002,GO,EECS,EECS,wind_offshore,FR,2023-04-06,2024-04-05,2023-07-19,"FAC0046,FAC0040",1.78
BANK02,2023,4098.3,REC-BANK02-2023-0003,REC-BANK02-2023-0003,GO,EECS,EECS,geothermal,FR,2023-07-17,2024-07-16,2024-02-08,"FAC0042,FAC0040,FAC0037",
BANK02,2023,4098.3,REC-BANK02-2023-0004,REC-BANK02-2023-0004,GO,EECS,EECS,hydro,FR,2023-10-25,2024-10-24,2023-11-30,"FAC0029,FAC0033",4.83
BANK02,2024,4823.3,REC-BANK02-2024-0001,REC-BANK02-2024-0001,GO,EECS,EECS,hydro,FR,2024-01-19,2025-01-18,2024-10-23,FAC0039,
BANK02,2024,4823.3,REC-BANK02-2024-0002,REC-BANK02-2024-0002,GO,EECS,EECS,wind_onshore,FR,2024-04-07,2025-04-07,2024-07-09,"FAC0050,FAC0031,FAC0030",7.68
BANK02,2024,4823.3,REC-BANK02-2024-0003,REC-BANK02-2024-0003,GO,EECS,EECS,wind_onshore,FR,2024-07-14,2025-07-14,2024-10-23,"FAC0038,FAC0043,FAC0047",
BANK02,2024,4823.3,REC-BANK02-2024-0004,REC-BANK02-2024-0004,GO,EECS,EECS,wind_offshore,FR,2024-10-25,2025-10-25,,"FAC0029,FAC0050",2.48
BANK03,2022,1403.4,REC-BANK03-2022-0001,REC-BANK03-2022-0001,GO,EECS,EECS,hydro,IT,2022-01-09,2023-01-09,,"FAC0052,FAC0057,FAC0062,FAC0060",
BANK03,2022,1403.4,REC-BANK03-2022-0002,REC-BANK03-2022-0002,GO,EECS,EECS,wind_onshore,IT,2022-04-11,2023-04-11,2023-01-04,"FAC0056,FAC0057,FAC0054",
BANK03,2022,1403.4,REC-BANK03-2022-0003,REC-BANK03-2022-0003,GO,EECS,EECS,hydro,IT,2022-07-07,2023-07-07,2023-01-05,"FAC0052,FAC0064,FAC0057,FAC0059",
BANK03,2022,1403.4,REC-BANK03-2022-0004,REC-BANK03-2022-0004,GO,EECS,EECS,wind_onshore,IT,2022-10-03,2023-10-03,,FAC0057,
BANK03,2023,1607.6,REC-BANK03-2023-0001,REC-BANK03-2023-0001,GO,EECS,EECS,geothermal,IT,2023-01-05,2024-01-05,,FAC0057,3.88
BANK03,2023,1607.6,REC-BANK03-2023-0002,REC-BANK03-2023-0002,GO,EECS,EECS,solar,IT,2023-04-26,2024-04-25,,"FAC0052,FAC0058,FAC0062",
BANK03,2023,1607.6,REC-BANK03-2023-0003,REC-BANK03-2023-0003,GO,EECS,EECS,wind_offshore,IT,2023-07-25,2024-07-24,2024-01-03,"FAC0057,FAC0053",5.91
BANK03,2023,1607.6,REC-BANK03-2023-0004,REC-BANK03-2023-0004,GO,EECS,EECS,hydro,IT,2023-10-21,2024-10-20,2024-03-31,"FAC0061,FAC0064,FAC0063",5.43
BANK03,2024,1961.5,REC-BANK03-2024-0001,REC-BANK03-2024-0001,GO,EECS,EECS,wind_onshore,IT,2024-01-10,2025-01-09,2024-06-11,"FAC0053,FAC0060",
BANK03,2024,1961.5,REC-BANK03-2024-0002,REC-BANK03-2024-0002,GO,EECS,EECS,solar,IT,2024-04-07,2025-04-07,,FAC0064,7.23
BANK03,2024,1961.5,REC-BANK03-2024-0003,REC-BANK03-2024-0003,GO,EECS,EECS,wind_onshore,IT,2024-07-13,2025-07-13,2025-01-26,"FAC0052,FAC0053,FAC0054",
BANK03,2024,1961.5,REC-BANK03-2024-0004,REC-BANK03-2024-0004,GO,EECS,EECS,wind_onshore,IT,2024-10-22,2025-10-22,2025-04-17,"FAC0064,FAC0063",7.3
BANK04,2022,585.4,REC-BANK04-2022-0001,REC-BANK04-2022-0001,GO,APX,APX,solar,NL,2022-01-05,2023-01-05,2022-10-19,"FAC0065,FAC0070",4.34
BANK04,2022,585.4,REC-BANK04-2022-0002,REC-BANK04-2022-0002,PPA,APX,APX,solar,NL,2022-04-07,2023-04-07,2022-12-08,"FAC0067,FAC0065",
BANK04,2022,585.4,REC-BANK04-2022-0003,REC-BANK04-2022-0003,PPA,APX,APX,solar,NL,2022-07-28,2023-07-28,2022-12-14,"FAC0070,FAC0066,FAC0065,FAC0068",
BANK04,2022,585.4,REC-BANK04-2022-0004,REC-BANK04-2022-0004,PPA,APX,APX,wind_offshore,NL,2022-10-12,2023-10-12,2023-03-04,"FAC0065,FAC0070,FAC0068",1.54
BANK04,2023,562.2,REC-BANK04-2023-0001,REC-BANK04-2023-0001,GO,APX,APX,solar,NL,2023-01-07,2024-01-07,2023-04-06,FAC0067,
BANK04,2023,562.2,REC-BANK04-2023-0002,REC-BANK04-2023-0002,GO,APX,APX,wind_offshore,NL,2023-04-03,2024-04-02,2023-10-12,"FAC0067,FAC0068",
BANK04,2023,562.2,REC-BANK04-2023-0003,REC-BANK04-2023-0003,GO,APX,APX,wind_onshore,NL,2023-07-16,2024-07-15,,"FAC0065,FAC0067,FAC0068",2.01
BANK04,2023,562.2,REC-BANK04-2023-0004,REC-BANK04-2023-0004,PPA,APX,APX,wind_onshore,NL,2023-10-06,2024-10-05,2024-04-09,"FAC0070,FAC0069,FAC0066",
BANK04,2024,540.4,REC-BANK04-2024-0001,REC-BANK04-2024-0001,GO,APX,APX,hydro,NL,2024-01-22,2025-01-21,,"FAC0070,FAC0068,FAC0066,FAC0065",
BANK04,2024,540.4,REC-BANK04-2024-0002,REC-BANK04-2024-0002,GO,APX,APX,hydro,NL,2024-04-14,2025-04-14,2024-09-16,"FAC0070,FAC0066,FAC0067,FAC0069",2.81
BANK04,2024,540.4,REC-BANK04-2024-0003,REC-BANK04-2024-0003,GO,APX,APX,hydro,NL,2024-07-01,2025-07-01,2024-08-29,"FAC0066,FAC0069",
BANK04,2024,540.4,REC-BANK04-2024-0004,REC-BANK04-2024-0004,GO,APX,APX,geothermal,NL,2024-10-12,2025-10-12,2025-06-08,FAC0068,7.11
