investment_id,bank_id,asset_class,market_value_meur,reporting_year,issuer_name,nominal_amount_meur,issuer_evic_meur,nace_code,country,currency,issuer_revenue_meur,ppp_gdp_meur,counterparty_id,pcaf_data_quality_score,esg_classification,purchase_date
INV00021,BANK01,fund,217.14,2024,Civil 21,237.23,,F42,IT,EUR,,,,5,not_applicable,2022-02-16
INV00022,BANK01,corporate_bond,397.53,2024,Waste 22,376.43,,E38,BE,EUR,1934.5,,,4,article_8,2022-07-25
INV00023,BANK01,sovereign_bond,208.24,2024,Sovereign 23,214.42,,O84,FR,EUR,,3680000,,3,not_applicable,2022-03-18
INV00024,BANK01,etf,23.94,2024,Water 24,24.68,,H50,FI,EUR,,,,5,article_6,2022-09-30
INV00025,BANK01,etf,26.02,2024,Management 25,26.96,,M70,LU,EUR,,,,5,article_8,2023-09-10
INV00026,BANK01,corporate_bond,12.21,2024,Real 26,11.82,,L68,FR,EUR,33.1,,,3,article_8,2019-11-26
INV00027,BANK01,sovereign_bond,641.14,2024,Sovereign 27,676.66,,O84,LU,EUR,,80000,,3,article_6,2024-04-16
INV00028,BANK01,sovereign_bond,2469.58,2024,Sovereign 28,2396.71,,O84,DE,EUR,,4580000,,3,not_applicable,2023-05-14
INV00029,BANK01,sovereign_bond,1294.41,2024,Sovereign 29,1440.77,,O84,PT,EUR,,390000,,3,article_8,2021-09-07
INV00030,BANK01,listed_equity,1886.33,2024,Human 30,2011.24,6911.6,Q86,IT,EUR,4976.3,,,2,not_applicable,2021-04-27
INV00031,BANK01,sovereign_bond,138.22,2024,Sovereign 31,140.6,,O84,BE,EUR,,680000,,3,article_6,2020-12-25
INV00032,BANK01,fund,441.95,2024,Wholesale 32,401.28,,G45,IE,EUR,,,,5,not_applicable,2020-10-14
INV00033,BANK01,corporate_bond,2190.44,2024,Residential 33,2547.92,,Q87,DE,EUR,22962.4,,,3,article_9,2024-10-29
INV00034,BANK01,fund,13.91,2024,Construction 34,14.99,,F41,IT,EUR,,,,5,article_9,2020-05-10
INV00035,BANK01,etf,355.44,2024,Financial 35,414.69,,K64,NL,EUR,,,,5,article_8,2019-09-02
INV00036,BANK01,corporate_bond,1014.52,2024,Civil 36,1176.98,,F42,AT,EUR,3961.2,,,3,article_8,2024-09-26
INV00037,BANK01,sovereign_bond,110.96,2024,Sovereign 37,125.93,,O84,IE,EUR,,520000,,3,not_applicable,2020-04-02
INV00038,BANK01,etf,121.04,2024,Waste 38,107.7,,E38,IT,EUR,,,,5,not_applicable,2021-05-10
INV00039,BANK01,corporate_bond,451.04,2024,Manufacture 39,402.8,,C30,DE,EUR,4366.8,,,3,article_8,2021-09-29
INV00040,BANK01,etf,59.45,2024,Manufacture 40,54.73,,C30,ES,EUR,,,,5,article_9,2022-02-01
INV00041,BANK01,sovereign_bond,749.6,2024,Sovereign 41,800.4,,O84,FR,EUR,,3680000,,3,article_6,2023-02-28
INV00042,BANK01,sovereign_bond,648.27,2024,Sovereign 42,608.85,,O84,IT,EUR,,3020000,,3,article_8,2022-06-02
INV00043,BANK01,corporate_bond,526.32,2024,Water 43,482.17,,H50,FR,EUR,4718.2,,,3,article_6,2022-04-12
INV00044,BANK01,fund,356.96,2024,Manufacture 44,390.76,,C22,DE,EUR,,,,5,article_8,2019-02-19
INV00045,BANK01,corporate_bond,187.78,2024,Residential 45,186.84,,Q87,FI,EUR,950.2,,,4,article_8,2020-11-28
INV00046,BANK01,fund,23.16,2024,Management 46,24.53,,M70,PT,EUR,,,,5,article_8,2024-06-10
INV00047,BANK01,sovereign_bond,1495.77,2024,Sovereign 47,1502.99,,O84,ES,EUR,,2320000,,3,article_8,2019-09-23
INV00048,BANK01,corporate_bond,33.89,2024,Manufacture 48,32.82,,C28,FR,EUR,298.7,,,3,article_9,2020-05-04
INV00049,BANK01,sovereign_bond,87.49,2024,Sovereign 49,77.85,,O84,ES,EUR,,2320000,,3,not_applicable,2024-11-16
INV00050,BANK01,fund,84.15,2024,Air 50,81.08,,H51,DE,EUR,,,,5,not_applicable,2024-09-09
INV00051,BANK01,listed_equity,2564.65,2024,Publishing 51,2535.95,54956.7,J58,PT,EUR,23609.3,,,2,article_6,2019-08-18
INV00052,BANK01,corporate_bond,44.67,2024,Wholesale 52,41.68,,G46,FR,EUR,425.0,,,3,article_9,2021-09-30
INV00053,BANK01,corporate_bond,142.61,2024,Human 53,138.09,,Q86,DE,EUR,1219.7,,,4,article_8,2020-01-10
INV00054,BANK01,etf,1337.56,2024,Residential 54,1193.25,,Q87,DE,EUR,,,,5,article_8,2019-09-07
INV00055,BANK01,listed_equity,288.08,2024,Manufacture 55,291.2,4373.5,C13,NL,EUR,3368.1,,,2,article_8,2019-07-29
INV00056,BANK01,corporate_bond,14.96,2024,Real 56,15.23,,L68,ES,EUR,68.7,,,4,article_8,2020-02-14
INV00057,BANK01,sovereign_bond,35.19,2024,Sovereign 57,34.47,,O84,ES,EUR,,2320000,,3,article_8,2020-04-01
INV00058,BANK01,etf,958.53,2024,Water 58,877.99,,H50,FR,EUR,,,,5,article_8,2024-02-12
INV00059,BANK01,fund,768.13,2024,Manufacture 59,769.84,,C22,NL,EUR,,,,5,article_6,2024-09-08
INV00060,BANK01,corporate_bond,2654.49,2024,Manufacture 60,2391.05,,C27,IT,EUR,17836.3,,,3,article_6,2022-02-01
INV00061,BANK02,sovereign_bond,159.89,2024,Sovereign 61,180.99,,O84,BE,EUR,,680000,,3,not_applicable,2021-01-16
INV00062,BANK02,corporate_bond,1709.5,2024,Manufacture 62,1711.66,,C29,ES,EUR,11445.0,,,3,article_6,2023-11-05
INV00063,BANK02,sovereign_bond,16.43,2024,Sovereign 63,17.24,,O84,FI,EUR,,500000,,3,article_9,2021-01-18
INV00064,BANK02,listed_equity,807.91,2024,Manufacture 64,807.48,3614.7,C17,FR,EUR,1885.5,,,2,article_8,2024-12-12
INV00065,BANK02,corporate_bond,57.45,2024,Employment 65,56.25,,N78,NL,EUR,594.4,,,4,article_6,2020-10-02
INV00066,BANK02,listed_equity,952.02,2024,Civil 66,921.57,16310.4,F42,PT,EUR,7205.8,,,2,article_6,2024-10-16
INV00067,BANK02,fund,328.56,2024,Management 67,307.66,,M70,IT,EUR,,,,5,article_6,2021-12-12
INV00068,BANK02,corporate_bond,90.27,2024,Manufacture 68,84.52,,C28,IT,EUR,615.2,,,4,not_applicable,2022-07-15
INV00069,BANK02,corporate_bond,218.03,2024,Land 69,255.99,,H49,IE,EUR,858.0,,,3,not_applicable,2019-08-15
INV00070,BANK02,fund,406.29,2024,Water 70,411.61,,E36,DE,EUR,,,,5,article_8,2021-04-08
INV00071,BANK02,listed_equity,37.4,2024,Human 71,43.63,608.3,Q86,PT,EUR,309.2,,,2,article_8,2023-04-16
INV00072,BANK02,corporate_bond,728.78,2024,Publishing 72,703.95,,J58,IE,EUR,7368.2,,,4,article_8,2022-01-27
INV00073,BANK02,listed_equity,28.52,2024,Manufacture 73,25.18,333.7,C13,AT,EUR,255.6,,,2,article_8,2019-07-08
INV00074,BANK02,etf,522.17,2024,Construction 74,524.21,,F41,LU,EUR,,,,5,article_8,2023-03-17
INV00075,BANK02,listed_equity,381.7,2024,Extraction 75,397.26,6589.3,B06,FR,EUR,3966.8,,,2,not_applicable,2020-03-30
INV00076,BANK02,corporate_bond,63.09,2024,Mining 76,64.77,,B07,IE,EUR,311.6,,,4,article_6,2020-09-08
INV00077,BANK02,sovereign_bond,267.36,2024,Sovereign 77,272.41,,O84,NL,EUR,,1120000,,3,article_8,2021-12-03
INV00078,BANK02,sovereign_bond,985.62,2024,Sovereign 78,1104.78,,O84,BE,EUR,,680000,,3,not_applicable,2022-07-09
INV00079,BANK02,fund,2042.59,2024,Waste 79,1831.3,,E38,ES,EUR,,,,5,article_6,2024-04-02
INV00080,BANK02,corporate_bond,72.16,2024,Waste 80,68.0,,E38,BE,EUR,489.0,,,4,article_8,2019-04-05
INV00081,BANK02,listed_equity,105.96,2024,Management 81,106.4,2416.6,M70,IT,EUR,1084.6,,,2,article_6,2024-12-04
INV00082,BANK02,listed_equity,98.6,2024,Wholesale 82,85.84,1455.6,G45,NL,EUR,915.7,,,2,not_applicable,2022-09-01
INV00083,BANK02,etf,44.28,2024,Food 83,50.89,,I56,IT,EUR,,,,5,article_6,2020-01-13
INV00084,BANK02,fund,235.68,2024,Manufacture 84,213.5,,C19,IE,EUR,,,,5,article_6,2024-04-02
INV00085,BANK02,sovereign_bond,3279.84,2024,Sovereign 85,3036.51,,O84,AT,EUR,,560000,,3,article_8,2022-02-08
INV00086,BANK02,corporate_bond,441.52,2024,Manufacture 86,422.77,,C23,DE,EUR,2697.0,,,4,article_8,2024-12-01
INV00087,BANK02,etf,1569.51,2024,Land 87,1672.99,,H49,IT,EUR,,,,5,article_8,2023-05-17
INV00088,BANK02,listed_equity,70.79,2024,Manufacture 88,63.97,674.8,C11,FR,EUR,240.6,,,2,article_8,2022-08-30
INV00089,BANK02,sovereign_bond,472.09,2024,Sovereign 89,430.56,,O84,FR,EUR,,3680000,,3,not_applicable,2020-09-17
INV00090,BANK02,listed_equity,28.1,2024,Manufacture 90,32.76,811.0,C23,FR,EUR,310.0,,,2,article_8,2019-06-11
INV00091,BANK02,etf,82.62,2024,Retail 91,74.35,,G47,DE,EUR,,,,5,not_applicable,2021-05-05
INV00092,BANK02,listed_equity,130.05,2024,Manufacture 92,115.0,1426.9,C24,FR,EUR,541.0,,,2,article_6,2022-12-26
INV00093,BANK02,listed_equity,17.42,2024,Water 93,20.31,539.7,H50,LU,EUR,186.3,,,2,not_applicable,2021-05-04
INV00094,BANK02,corporate_bond,134.99,2024,Water 94,124.84,,H50,FR,EUR,312.7,,,3,article_8,2020-05-25
INV00095,BANK02,listed_equity,185.73,2024,"Electricity, 95",184.82,2900.1,D35,NL,EUR,1959.0,,,2,article_6,2021-05-08
INV00096,BANK02,listed_equity,816.17,2024,Food 96,710.57,10129.4,I56,IT,EUR,5159.0,,,2,article_8,2021-05-11
INV00097,BANK02,fund,70.13,2024,Wholesale 97,79.37,,G45,FR,EUR,,,,5,article_8,2019-01-30
INV00098,BANK02,corporate_bond,95.81,2024,Specialised 98,100.18,,F43,FI,EUR,927.9,,,4,not_applicable,2019-09-25
INV00099,BANK02,corporate_bond,49.42,2024,Management 99,56.46,,M70,PL,EUR,592.6,,,3,article_8,2023-05-16
INV00100,BANK02,fund,2494.94,2024,Forestry 100,2389.31,,A02,FR,EUR,,,,5,article_8,2020-07-30
INV00101,BANK02,etf,231.27,2024,"Electricity, 101",257.9,,D35,DE,EUR,,,,5,article_9,2019-06-09
INV00102,BANK02,listed_equity,1408.69,2024,Manufacture 102,1465.08,5748.4,C10,BE,EUR,3771.6,,,2,article_8,2020-10-07
INV00103,BANK02,corporate_bond,2350.52,2024,"Electricity, 103",2191.44,,D35,PL,EUR,8948.9,,,4,not_applicable,2021-01-13
INV00104,BANK02,corporate_bond,843.36,2024,Manufacture 104,925.53,,C19,DE,EUR,2573.6,,,4,article_8,2023-03-09
INV00105,BANK02,fund,307.71,2024,Manufacture 105,358.74,,C22,DE,EUR,,,,5,article_6,2024-04-11
INV00106,BANK02,listed_equity,1851.91,2024,Manufacture 106,1922.84,18062.9,C23,DE,EUR,12107.4,,,2,article_8,2024-11-21
INV00107,BANK02,listed_equity,9.57,2024,Manufacture 107,10.9,318.6,C17,FI,EUR,115.8,,,2,not_applicable,2020-04-05
INV00108,BANK02,fund,2905.23,2024,Warehousing 108,2873.57,,H52,PT,EUR,,,,5,article_6,2019-01-03
INV00109,BANK02,corporate_bond,1679.42,2024,Accommodation 109,1773.67,,I55,FR,EUR,10335.3,,,4,article_8,2020-01-30
INV00110,BANK02,corporate_bond,27.51,2024,Computer 110,30.95,,J62,FR,EUR,296.7,,,3,not_applicable,2021-07-12
INV00111,BANK03,sovereign_bond,673.96,2024,Sovereign 111,721.05,,O84,AT,EUR,,560000,,3,article_8,2021-10-20
INV00112,BANK03,corporate_bond,710.67,2024,"Electricity, 112",668.46,,D35,IT,EUR,4331.0,,,4,article_8,2024-10-30
INV00113,BANK03,sovereign_bond,3298.15,2024,Sovereign 113,2945.15,,O84,FR,EUR,,3680000,,3,article_8,2023-03-16
INV00114,BANK03,sovereign_bond,241.58,2024,Sovereign 114,280.82,,O84,LU,EUR,,80000,,3,not_applicable,2023-04-27
INV00115,BANK03,sovereign_bond,826.22,2024,Sovereign 115,967.14,,O84,PL,EUR,,1400000,,3,article_8,2021-09-01
INV00116,BANK03,listed_equity,11.85,2024,Manufacture 116,10.7,243.0,C29,ES,EUR,87.7,,,2,article_6,2023-07-20
INV00117,BANK03,corporate_bond,133.38,2024,Manufacture 117,135.83,,C10,FR,EUR,1611.9,,,4,article_9,2024-10-08
INV00118,BANK03,fund,2954.51,2024,Manufacture 118,3102.52,,C30,FR,EUR,,,,5,not_applicable,2024-02-13
INV00119,BANK03,sovereign_bond,470.45,2024,Sovereign 119,467.77,,O84,IT,EUR,,3020000,,3,article_6,2023-02-05
INV00120,BANK03,corporate_bond,2370.24,2024,Forestry 120,2581.57,,A02,DE,EUR,15217.7,,,3,article_8,2020-03-31
INV00121,BANK03,listed_equity,51.68,2024,Human 121,54.86,660.5,Q86,FI,EUR,359.5,,,2,article_8,2019-12-06
INV00122,BANK03,fund,31.92,2024,Wholesale 122,28.61,,G45,PT,EUR,,,,5,article_8,2020-08-03
INV00123,BANK03,etf,934.4,2024,Manufacture 123,870.52,,C11,FR,EUR,,,,5,article_8,2020-09-13
INV00124,BANK03,sovereign_bond,214.14,2024,Sovereign 124,212.03,,O84,DE,EUR,,4580000,,3,article_8,2024-12-14
INV00125,BANK03,listed_equity,18.52,2024,Manufacture 125,17.8,227.1,C24,FR,EUR,130.0,,,2,article_8,2020-09-14
INV00126,BANK03,sovereign_bond,2224.24,2024,Sovereign 126,2442.45,,O84,IT,EUR,,3020000,,3,article_6,2023-06-30
INV00127,BANK03,corporate_bond,2665.83,2024,Wholesale 127,2691.67,,G46,FI,EUR,29685.4,,,3,article_6,2022-05-13
INV00128,BANK03,listed_equity,538.45,2024,Manufacture 128,590.0,4825.6,C22,BE,EUR,3499.8,,,2,article_9,2019-10-01
INV00129,BANK03,listed_equity,20.14,2024,Specialised 129,22.43,125.6,F43,ES,EUR,97.5,,,2,not_applicable,2021-09-20
INV00130,BANK03,corporate_bond,374.37,2024,Manufacture 130,412.3,,C24,IT,EUR,4769.0,,,4,not_applicable,2019-10-16
INV00131,BANK03,corporate_bond,23.96,2024,Manufacture 131,22.44,,C25,IT,EUR,69.9,,,3,article_8,2020-09-13
INV00132,BANK03,listed_equity,408.94,2024,Manufacture 132,479.29,4881.9,C23,AT,EUR,2761.3,,,2,article_6,2022-06-28
INV00133,BANK03,sovereign_bond,781.21,2024,Sovereign 133,849.46,,O84,NL,EUR,,1120000,,3,article_8,2020-05-26
INV00134,BANK03,sovereign_bond,373.25,2024,Sovereign 134,335.03,,O84,FR,EUR,,3680000,,3,not_applicable,2022-10-30
INV00135,BANK03,fund,79.46,2024,Mining 135,89.9,,B05,FI,EUR,,,,5,article_8,2020-11-20
INV00136,BANK03,fund,1366.66,2024,Education 136,1458.03,,P85,ES,EUR,,,,5,article_8,2019-12-29
INV00137,BANK03,fund,2313.39,2024,Financial 137,2508.05,,K64,FI,EUR,,,,5,not_applicable,2024-07-18
INV00138,BANK03,etf,125.7,2024,Land 138,113.29,,H49,BE,EUR,,,,5,article_8,2022-02-03
INV00139,BANK03,fund,204.79,2024,Real 139,186.02,,L68,IT,EUR,,,,5,not_applicable,2019-12-07
INV00140,BANK03,listed_equity,1033.53,2024,Human 140,1035.09,8782.4,Q86,FR,EUR,4182.4,,,2,article_8,2021-12-24
INV00141,BANK04,listed_equity,169.09,2024,Human 141,165.83,2397.5,Q86,NL,EUR,1447.8,,,2,article_9,2023-04-17
INV00142,BANK04,listed_equity,339.88,2024,Manufacture 142,299.13,4601.3,C17,IE,EUR,3403.2,,,2,article_9,2020-04-26
INV00143,BANK04,fund,89.41,2024,Manufacture 143,79.75,,C13,BE,EUR,,,,5,article_9,2023-06-01
INV00144,BANK04,etf,81.63,2024,Mining 144,73.83,,B05,IE,EUR,,,,5,article_9,2024-11-11
INV00145,BANK04,listed_equity,1168.54,2024,Civil 145,1078.7,20504.1,F42,BE,EUR,11442.2,,,2,article_9,2019-04-16
INV00146,BANK04,corporate_bond,10.11,2024,"Electricity, 146",11.49,,D35,LU,EUR,27.6,,,3,not_applicable,2019-04-27
INV00147,BANK04,etf,75.3,2024,Manufacture 147,78.79,,C22,BE,EUR,,,,5,not_applicable,2022-02-07
INV00148,BANK04,corporate_bond,67.38,2024,Extraction 148,64.76,,B06,BE,EUR,400.5,,,3,article_9,2020-10-19
INV00149,BANK04,listed_equity,449.29,2024,Publishing 149,417.56,2015.8,J58,AT,EUR,1671.0,,,2,article_9,2020-12-05
INV00150,BANK04,etf,73.21,2024,Other 150,68.3,,B08,NL,EUR,,,,5,article_9,2021-07-21
INV00151,BANK04,corporate_bond,18.67,2024,Manufacture 151,17.92,,C28,AT,EUR,153.8,,,3,article_8,2024-07-29
INV00152,BANK04,sovereign_bond,861.94,2024,Sovereign 152,778.77,,O84,FR,EUR,,3680000,,3,article_9,2022-10-12
INV00153,BANK04,etf,729.79,2024,Waste 153,770.77,,E38,PL,EUR,,,,5,article_8,2022-06-25
INV00154,BANK04,fund,410.68,2024,Education 154,403.43,,P85,IT,EUR,,,,5,article_8,2019-11-08
INV00155,BANK04,listed_equity,630.84,2024,Other 155,601.4,4443.0,B08,LU,EUR,2731.9,,,2,article_9,2020-08-20
INV00156,BANK04,etf,74.01,2024,Retail 156,76.65,,G47,DE,EUR,,,,5,article_9,2022-04-18
INV00157,BANK04,sovereign_bond,2451.57,2024,Sovereign 157,2672.16,,O84,IT,EUR,,3020000,,3,article_9,2021-10-04
INV00158,BANK04,sovereign_bond,465.68,2024,Sovereign 158,466.45,,O84,FR,EUR,,3680000,,3,article_9,2021-06-15
INV00159,BANK04,corporate_bond,112.73,2024,Manufacture 159,126.15,,C11,PT,EUR,255.1,,,3,article_8,2019-03-27
INV00160,BANK04,fund,1263.14,2024,Accommodation 160,1244.02,,I55,IT,EUR,,,,5,article_9,2023-08-16
INV00161,BANK05,listed_equity,316.33,2024,Wholesale 161,283.3,3998.9,G46,BE,EUR,2137.9,,,2,not_applicable,2021-12-07
INV00162,BANK05,sovereign_bond,2647.51,2024,Sovereign 162,2849.64,,O84,IE,EUR,,520000,,3,article_8,2021-08-19
INV00163,BANK05,corporate_bond,14.75,2024,Water 163,15.58,,E36,BE,EUR,136.7,,,3,not_applicable,2021-10-08
INV00164,BANK05,etf,22.78,2024,Information 164,20.99,,J63,PL,EUR,,,,5,article_8,2024-05-02
INV00165,BANK05,sovereign_bond,16.79,2024,Sovereign 165,18.28,,O84,PT,EUR,,390000,,3,article_8,2021-07-06
INV00166,BANK05,corporate_bond,1211.61,2024,Computer 166,1234.62,,J62,ES,EUR,10881.3,,,3,article_8,2019-09-22
INV00167,BANK05,fund,11.87,2024,Manufacture 167,11.36,,C24,ES,EUR,,,,5,not_applicable,2024-05-06
INV00168,BANK05,fund,16.41,2024,Manufacture 168,14.44,,C23,IT,EUR,,,,5,article_8,2021-10-29
INV00169,BANK05,fund,11.48,2024,Residential 169,11.72,,Q87,NL,EUR,,,,5,not_applicable,2020-06-30
INV00170,BANK05,fund,478.04,2024,Manufacture 170,451.34,,C10,IT,EUR,,,,5,article_8,2021-08-10
INV00171,BANK05,sovereign_bond,1383.26,2024,Sovereign 171,1548.54,,O84,LU,EUR,,80000,,3,article_8,2022-07-12
INV00172,BANK05,fund,13.93,2024,Insurance 172,13.57,,K65,AT,EUR,,,,5,not_applicable,2019-10-18
INV00173,BANK05,sovereign_bond,225.8,2024,Sovereign 173,211.07,,O84,AT,EUR,,560000,,3,article_6,2021-01-04
INV00174,BANK05,etf,372.29,2024,Forestry 174,420.26,,A02,ES,EUR,,,,5,article_6,2023-07-11
INV00175,BANK05,sovereign_bond,2292.78,2024,Sovereign 175,2358.17,,O84,IT,EUR,,3020000,,3,article_9,2020-07-21
INV00176,BANK05,etf,18.44,2024,"Electricity, 176",17.36,,D35,IT,EUR,,,,5,not_applicable,2024-08-08
INV00177,BANK05,listed_equity,115.52,2024,Manufacture 177,100.83,559.8,C22,FR,EUR,278.4,,,2,article_8,2022-10-23
INV00178,BANK05,corporate_bond,210.52,2024,Manufacture 178,204.02,,C17,DE,EUR,614.8,,,3,not_applicable,2019-08-31
INV00179,BANK05,sovereign_bond,19.85,2024,Sovereign 179,17.33,,O84,DE,EUR,,4580000,,3,article_6,2022-08-31
INV00180,BANK05,corporate_bond,962.66,2024,Forestry 180,1000.22,,A02,NL,EUR,5171.5,,,4,article_6,2020-12-07
INV00181,BANK05,listed_equity,201.12,2024,Insurance 181,176.0,5289.1,K65,NL,EUR,2037.3,,,2,article_6,2020-09-25
INV00182,BANK05,sovereign_bond,289.11,2024,Sovereign 182,272.25,,O84,FI,EUR,,500000,,3,not_applicable,2020-12-28
INV00183,BANK05,sovereign_bond,1125.96,2024,Sovereign 183,1086.18,,O84,ES,EUR,,2320000,,3,not_applicable,2020-05-07
INV00184,BANK05,etf,2295.07,2024,Manufacture 184,2175.61,,C28,DE,EUR,,,,5,article_8,2020-11-16
INV00185,BANK05,fund,31.43,2024,Food 185,30.4,,I56,FR,EUR,,,,5,article_8,2024-02-06
