investment_id,bank_id,asset_class,market_value_meur,reporting_year,issuer_name,nominal_amount_meur,issuer_evic_meur,nace_code,country,currency,issuer_revenue_meur,ppp_gdp_meur,counterparty_id,pcaf_data_quality_score,esg_classification,purchase_date
INV00016,BANK01,sovereign_bond,267.01,2024,Sovereign 16,268.09,,O84,DE,EUR,,4580000.0,,3,not_applicable,2019-12-07
INV00017,BANK01,listed_equity,79.11,2024,Wholesale 17,83.75,1087.0,G46,IT,EUR,425.6,,,2,article_9,2019-05-02
INV00018,BANK01,listed_equity,25.57,2024,Information 18,26.11,584.2,J63,IT,EUR,255.4,,,2,not_applicable,2019-04-06
INV00019,BANK01,etf,226.51,2024,Manufacture 19,246.09,,C27,ES,EUR,,,,5,not_applicable,2020-06-23
INV00020,BANK01,corporate_bond,20.06,2024,Manufacture 20,17.48,,C19,FR,EUR,199.5,,,3,article_8,2021-01-01
INV00021,BANK01,fund,217.14,2024,Civil 21,237.23,,F42,IT,EUR,,,,5,not_applicable,2022-02-16
INV00022,BANK01,corporate_bond,397.53,2024,Waste 22,376.43,,E38,BE,EUR,1934.5,,,4,article_8,2022-07-25
INV00023,BANK01,sovereign_bond,208.24,2024,Sovereign 23,214.42,,O84,FR,EUR,,3680000.0,,3,not_applicable,2022-03-18
INV00024,BANK01,etf,23.94,2024,Water 24,24.68,,H50,FI,EUR,,,,5,article_6,2022-09-30
INV00025,BANK01,etf,26.02,2024,Management 25,26.96,,M70,LU,EUR,,,,5,article_8,2023-09-10
INV00026,BANK01,corporate_bond,12.21,2024,Real 26,11.82,,L68,FR,EUR,33.1,,,3,article_8,2019-11-26
INV00027,BANK01,sovereign_bond,641.14,2024,Sovereign 27,676.66,,O84,LU,EUR,,80000.0,,3,article_6,2024-04-16
INV00028,BANK01,sovereign_bond,2469.58,2024,Sovereign 28,2396.71,,O84,DE,EUR,,4580000.0,,3,not_applicable,2023-05-14
INV00029,BANK01,sovereign_bond,1294.41,2024,Sovereign 29,1440.77,,O84,PT,EUR,,390000.0,,3,article_8,2021-09-07
INV00030,BANK01,listed_equity,1886.33,2024,Human 30,2011.24,6911.6,Q86,IT,EUR,4976.3,,,2,not_applicable,2021-04-27
INV00031,BANK01,sovereign_bond,138.22,2024,Sovereign 31,140.6,,O84,BE,EUR,,680000.0,,3,article_6,2020-12-25
INV00032,BANK01,fund,441.95,2024,Wholesale 32,401.28,,G45,IE,EUR,,,,5,not_applicable,2020-10-14
INV00033,BANK01,corporate_bond,2190.44,2024,Residential 33,2547.92,,Q87,DE,EUR,22962.4,,,3,article_9,2024-10-29
INV00034,BANK01,fund,13.91,2024,Construction 34,14.99,,F41,IT,EUR,,,,5,article_9,2020-05-10
INV00035,BANK01,etf,355.44,2024,Financial 35,414.69,,K64,NL,EUR,,,,5,article_8,2019-09-02
INV00036,BANK01,corporate_bond,1014.52,2024,Civil 36,1176.98,,F42,AT,EUR,3961.2,,,3,article_8,2024-09-26
INV00037,BANK01,sovereign_bond,110.96,2024,Sovereign 37,125.93,,O84,IE,EUR,,520000.0,,3,not_applicable,2020-04-02
INV00038,BANK01,etf,121.04,2024,Waste 38,107.7,,E38,IT,EUR,,,,5,not_applicable,2021-05-10
INV00039,BANK01,corporate_bond,451.04,2024,Manufacture 39,402.8,,C30,DE,EUR,4366.8,,,3,article_8,2021-09-29
INV00040,BANK01,etf,59.45,2024,Manufacture 40,54.73,,C30,ES,EUR,,,,5,article_9,2022-02-01
INV00041,BANK01,sovereign_bond,749.6,2024,Sovereign 41,800.4,,O84,FR,EUR,,3680000.0,,3,article_6,2023-02-28
INV00042,BANK01,sovereign_bond,648.27,2024,Sovereign 42,608.85,,O84,IT,EUR,,3020000.0,,3,article_8,2022-06-02
INV00043,BANK01,corporate_bond,526.32,2024,Water 43,482.17,,H50,FR,EUR,4718.2,,,3,article_6,2022-04-12
INV00044,BANK01,fund,356.96,2024,Manufacture 44,390.76,,C22,DE,EUR,,,,5,article_8,2019-02-19
INV00045,BANK01,corporate_bond,187.78,2024,Residential 45,186.84,,Q87,FI,EUR,950.2,,,4,article_8,2020-11-28
INV00046,BANK01,fund,23.16,2024,Management 46,24.53,,M70,PT,EUR,,,,5,article_8,2024-06-10
INV00047,BANK01,sovereign_bond,1495.77,2024,Sovereign 47,1502.99,,O84,ES,EUR,,2320000.0,,3,article_8,2019-09-23
INV00048,BANK01,corporate_bond,33.89,2024,Manufacture 48,32.82,,C28,FR,EUR,298.7,,,3,article_9,2020-05-04
INV00049,BANK01,sovereign_bond,87.49,2024,Sovereign 49,77.85,,O84,ES,EUR,,2320000.0,,3,not_applicable,2024-11-16
INV00050,BANK01,fund,84.15,2024,Air 50,81.08,,H51,DE,EUR,,,,5,not_applicable,2024-09-09
INV00051,BANK01,listed_equity,2564.65,2024,Publishing 51,2535.95,54956.7,J58,PT,EUR,23609.3,,,2,article_6,2019-08-18
INV00052,BANK01,corporate_bond,44.67,2024,Wholesale 52,41.68,,G46,FR,EUR,425.0,,,3,article_9,2021-09-30
INV00053,BANK01,corporate_bond,142.61,2024,Human 53,138.09,,Q86,DE,EUR,1219.7,,,4,article_8,2020-01-10
INV00054,BANK01,etf,1337.56,2024,Residential 54,1193.25,,Q87,DE,EUR,,,,5,article_8,2019-09-07
INV00055,BANK01,listed_equity,288.08,2024,Manufacture 55,291.2,4373.5,C13,NL,EUR,3368.1,,,2,article_8,2019-07-29
INV00056,BANK01,corporate_bond,14.96,2024,Real 56,15.23,,L68,ES,EUR,68.7,,,4,article_8,2020-02-14
INV00057,BANK01,sovereign_bond,35.19,2024,Sovereign 57,34.47,,O84,ES,EUR,,2320000.0,,3,article_8,2020-04-01
INV00058,BANK01,etf,958.53,2024,Water 58,877.99,,H50,FR,EUR,,,,5,article_8,2024-02-12
INV00059,BANK01,fund,768.13,2024,Manufacture 59,769.84,,C22,NL,EUR,,,,5,article_6,2024-09-08
INV00060,BANK01,corporate_bond,2654.49,2024,Manufacture 60,2391.05,,C27,IT,EUR,17836.3,,,3,article_6,2022-02-01
