exposure_id,bank_id,counterparty_id,outstanding_amount_meur,product_type,committed_amount_meur,pcaf_asset_class,origination_date,maturity_date,currency,stage,eu_taxonomy_aligned,green_label_flag,green_taxonomy,total_project_cost_meur,instrument_type,interest_rate_pct,undrawn_amount_meur,origination_property_value_meur,has_control
EXP000044,BANK01,CP00023,245.29,green_loan,309.35,business_loan,2019-10-09,2029-10-06,EUR,stage_1,True,True,LMA_GLP,,,6.9,64.06,,
EXP000045,BANK01,CP00024,10.9,term_loan,14.86,business_loan,2021-03-15,2024-03-14,EUR,stage_1,False,False,,,,2.95,3.96,,
EXP000046,BANK01,CP00024,8.3,corporate_bond,9.69,business_loan,2018-06-02,2023-06-01,EUR,stage_2,False,False,,,,6.69,1.39,,
EXP000047,BANK01,CP00025,4.6,mortgage,6.21,commercial_re,2020-02-03,2027-02-01,EUR,stage_1,False,False,,,,2.55,1.61,11.37,
EXP000048,BANK01,CP00026,50.53,term_loan,60.51,business_loan,2024-02-04,2039-01-31,EUR,stage_2,False,False,,,,7.19,9.98,,
EXP000049,BANK01,CP00027,4.52,term_loan,5.69,business_loan,2019-10-28,2029-10-25,EUR,stage_1,False,False,,,,6.09,1.17,,
EXP000050,BANK01,CP00027,6.33,term_loan,7.88,business_loan,2020-03-02,2025-03-01,EUR,stage_1,False,False,,,,5.69,1.55,,
EXP000051,BANK01,CP00028,116.7,revolving_credit,162.53,business_loan,2019-01-26,2024-01-25,EUR,stage_2,False,False,,,,4.89,45.83,,
EXP000052,BANK01,CP00028,40.94,revolving_credit,56.56,business_loan,2023-01-04,2030-01-02,EUR,stage_1,False,False,,,,4.01,15.62,,
EXP000053,BANK01,CP00029,32.88,corporate_bond,39.0,business_loan,2018-09-12,2021-09-11,EUR,stage_1,False,False,,,,3.3,6.12,,
EXP000054,BANK01,CP00030,1239.49,mortgage,1421.72,commercial_re,2019-04-26,2026-04-24,EUR,stage_2,False,False,,,,3.6,182.23,2507.01,
EXP000055,BANK01,CP00030,757.99,revolving_credit,884.07,business_loan,2024-10-17,2031-10-16,EUR,stage_1,False,False,,,,5.25,126.08,,
EXP000056,BANK01,CP00030,827.74,corporate_bond,1053.0,business_loan,2020-06-13,2025-06-12,EUR,stage_1,False,False,,,,5.48,225.26,,
EXP000057,BANK01,CP00030,813.62,revolving_credit,1112.14,business_loan,2022-01-21,2025-01-20,EUR,stage_1,False,False,,,,3.06,298.52,,
EXP000058,BANK01,CP00031,536.27,revolving_credit,719.56,business_loan,2019-11-05,2026-11-03,EUR,stage_1,False,False,,,,4.71,183.29,,
EXP000059,BANK01,CP00031,1284.74,revolving_credit,1700.32,business_loan,2023-09-22,2033-09-19,EUR,stage_1,False,False,,,,4.77,415.58,,
EXP000060,BANK01,CP00031,906.52,term_loan,1168.79,business_loan,2023-03-09,2030-03-07,EUR,stage_1,False,False,,,,4.48,262.27,,
EXP000061,BANK01,CP00032,1.74,term_loan,2.12,business_loan,2021-11-12,2024-11-11,EUR,stage_2,False,False,,,,2.8,0.38,,
EXP000062,BANK01,CP00032,2.7,revolving_credit,2.89,business_loan,2021-03-21,2031-03-19,EUR,stage_1,False,False,,,,3.18,0.19,,
EXP000063,BANK01,CP00032,2.1,green_loan,2.48,business_loan,2022-03-14,2032-03-11,EUR,stage_1,True,True,ICMA_GBP,,,7.09,0.38,,
EXP000064,BANK01,CP00033,2.78,mortgage,2.91,mortgage,2019-06-29,2026-06-27,EUR,stage_1,False,False,,,,7.46,0.13,4.24,
EXP000065,BANK01,CP00034,16.87,mortgage,19.99,commercial_re,2018-04-04,2025-04-02,EUR,stage_1,False,False,,,,6.1,3.12,27.71,
EXP000066,BANK01,CP00035,1.49,revolving_credit,1.6,business_loan,2019-09-28,2026-09-26,EUR,stage_1,False,False,,,,6.88,0.11,,
EXP000067,BANK01,CP00035,0.75,corporate_bond,0.82,business_loan,2024-11-23,2027-11-23,EUR,stage_1,False,False,,,,2.84,0.07,,
EXP000068,BANK01,CP00036,33.09,mortgage,38.41,mortgage,2020-09-29,2023-09-29,EUR,stage_1,False,False,,,,3.67,5.32,57.34,
EXP000069,BANK01,CP00036,40.65,term_loan,44.46,business_loan,2023-08-26,2030-08-24,EUR,stage_1,False,False,,,,7.08,3.81,,
EXP000070,BANK01,CP00037,26.34,mortgage,35.57,commercial_re,2020-08-28,2027-08-27,EUR,stage_1,False,False,,,,7.43,9.23,43.7,
EXP000071,BANK01,CP00037,16.28,term_loan,22.01,business_loan,2024-03-30,2039-03-27,EUR,stage_1,False,False,,,,7.06,5.73,,
EXP000072,BANK01,CP00038,86.45,green_loan,97.47,mortgage,2022-04-11,2037-04-07,EUR,stage_1,True,True,EU_Taxonomy,,,4.58,11.02,143.72,
EXP000073,BANK01,CP00038,70.89,corporate_bond,94.97,business_loan,2023-04-24,2028-04-22,EUR,stage_1,False,False,,,,4.0,24.08,,
EXP000074,BANK01,CP00039,6.03,project_finance,7.31,project_finance,2022-09-03,2037-08-30,EUR,stage_1,False,False,,21.63,project_loan,4.44,1.28,,False
EXP000075,BANK01,CP00039,2.77,term_loan,2.87,business_loan,2023-01-17,2030-01-15,EUR,stage_1,False,False,,,,6.12,0.1,,
EXP000076,BANK01,CP00039,2.43,corporate_bond,3.28,business_loan,2024-10-05,2027-10-05,EUR,stage_1,False,False,,,,3.44,0.85,,
EXP000077,BANK01,CP00040,458.38,revolving_credit,633.85,business_loan,2021-09-25,2028-09-23,EUR,stage_2,False,False,,,,2.58,175.47,,
EXP000078,BANK01,CP00040,713.14,term_loan,911.57,business_loan,2023-05-16,2028-05-14,EUR,stage_1,False,False,,,,6.02,198.43,,
EXP000079,BANK01,CP00041,730.53,term_loan,920.09,business_loan,2023-03-25,2038-03-21,EUR,stage_1,False,False,,,,4.04,189.56,,
EXP000080,BANK01,CP00042,27.24,mortgage,37.2,mortgage,2023-04-08,2030-04-06,EUR,stage_1,False,False,,,,4.35,9.96,47.15,
EXP000081,BANK01,CP00042,31.39,term_loan,34.66,business_loan,2019-08-21,2022-08-20,EUR,stage_1,False,False,,,,7.17,3.27,,
EXP000082,BANK01,CP00042,25.15,term_loan,28.97,business_loan,2021-09-13,2026-09-12,EUR,stage_1,False,False,,,,6.67,3.82,,
EXP000083,BANK01,CP00043,1.3,term_loan,1.54,business_loan,2023-06-25,2033-06-22,EUR,stage_1,False,False,,,,6.16,0.24,,
EXP000084,BANK01,CP00043,0.47,project_finance,0.66,project_finance,2020-01-24,2035-01-20,EUR,stage_1,False,False,,1.81,project_loan,7.29,0.19,,False
EXP000085,BANK01,CP00044,44.56,mortgage,51.91,commercial_re,2018-07-18,2021-07-17,EUR,stage_1,False,False,,,,6.71,7.35,73.13,
EXP000086,BANK01,CP00044,161.56,term_loan,185.68,business_loan,2023-09-03,2033-08-31,EUR,stage_1,False,False,,,,5.59,24.12,,
EXP000087,BANK01,CP00044,144.8,revolving_credit,145.18,business_loan,2023-06-22,2026-06-21,EUR,stage_1,False,False,,,,5.26,0.38,,
EXP000088,BANK01,CP00045,5.15,green_loan,6.83,mortgage,2018-03-12,2033-03-08,EUR,stage_1,True,True,LMA_GLP,,,5.87,1.68,9.25,
EXP000089,BANK01,CP00045,12.56,term_loan,13.31,business_loan,2019-01-30,2034-01-26,EUR,stage_1,False,False,,,,3.46,0.75,,
EXP000090,BANK01,CP00046,5.69,revolving_credit,6.73,business_loan,2022-03-09,2032-03-06,EUR,stage_1,False,False,,,,3.72,1.04,,
EXP000091,BANK01,CP00046,6.12,mortgage,6.35,commercial_re,2018-11-27,2021-11-26,EUR,stage_1,False,False,,,,4.4,0.23,10.41,
EXP000092,BANK01,CP00046,2.92,term_loan,3.5,business_loan,2019-12-03,2022-12-02,EUR,stage_1,False,False,,,,4.67,0.58,,
EXP000093,BANK01,CP00047,4.58,term_loan,5.0,business_loan,2023-12-04,2026-12-03,EUR,stage_1,False,False,,,,7.01,0.42,,
EXP000094,BANK01,CP00047,3.28,term_loan,4.46,business_loan,2018-11-01,2025-10-30,EUR,stage_1,False,False,,,,5.32,1.18,,
EXP000095,BANK01,CP00048,1.15,green_loan,1.5,mortgage,2024-08-01,2029-07-31,EUR,stage_1,True,True,EU_Taxonomy,,,6.06,0.35,1.91,
EXP000096,BANK01,CP00048,0.58,term_loan,0.77,business_loan,2020-09-11,2035-09-08,EUR,stage_2,False,False,,,,4.45,0.19,,
EXP000097,BANK01,CP00048,1.2,corporate_bond,1.44,business_loan,2019-07-28,2022-07-27,EUR,stage_1,False,False,,,,7.37,0.24,,
EXP000098,BANK01,CP00048,1.45,mortgage,1.9,commercial_re,2021-10-27,2036-10-23,EUR,stage_1,False,False,,,,7.27,0.45,2.12,
EXP000099,BANK01,CP00049,1.62,term_loan,1.77,business_loan,2023-01-20,2033-01-17,EUR,stage_1,False,False,,,,5.27,0.15,,
EXP000100,BANK01,CP00049,2.91,project_finance,3.81,project_finance,2022-04-06,2025-04-05,EUR,stage_1,False,False,,10.02,project_loan,3.98,0.9,,False
EXP000101,BANK01,CP00049,1.98,term_loan,2.57,business_loan,2022-04-06,2027-04-05,EUR,stage_1,False,False,,,,4.08,0.59,,
EXP000102,BANK01,CP00050,35.43,revolving_credit,37.31,business_loan,2021-01-09,2024-01-09,EUR,stage_1,False,False,,,,3.44,1.88,,
EXP000103,BANK01,CP00051,13.31,term_loan,13.81,business_loan,2021-12-20,2036-12-16,EUR,stage_1,False,False,,,,5.49,0.5,,
EXP000104,BANK01,CP00051,12.78,term_loan,16.49,business_loan,2022-05-08,2025-05-07,EUR,stage_3,False,False,,,,5.3,3.71,,
EXP000105,BANK01,CP00052,663.4,corporate_bond,734.76,business_loan,2019-11-26,2024-11-24,EUR,stage_1,False,False,,,,3.84,71.36,,
EXP000106,BANK01,CP00053,2.91,term_loan,3.2,business_loan,2018-11-12,2025-11-10,EUR,stage_1,False,False,,,,3.73,0.29,,
EXP000107,BANK01,CP00054,7.0,term_loan,9.66,business_loan,2021-06-01,2024-05-31,EUR,stage_1,False,False,,,,4.16,2.66,,
EXP000108,BANK01,CP00054,18.75,revolving_credit,24.87,business_loan,2021-10-03,2031-10-01,EUR,stage_3,False,False,,,,6.8,6.12,,
EXP000109,BANK01,CP00055,655.4,green_loan,737.77,commercial_re,2020-04-02,2030-03-31,EUR,stage_2,True,True,LMA_GLP,,,7.32,82.37,1060.52,
EXP000110,BANK01,CP00056,126.66,revolving_credit,143.17,business_loan,2024-06-16,2029-06-15,EUR,stage_1,False,False,,,,3.9,16.51,,
EXP000111,BANK01,CP00057,4.85,term_loan,6.17,business_loan,2024-02-13,2029-02-11,EUR,stage_2,False,False,,,,5.25,1.32,,
EXP000112,BANK01,CP00057,2.77,corporate_bond,3.69,business_loan,2022-12-01,2029-11-29,EUR,stage_1,False,False,,,,2.85,0.92,,
EXP000113,BANK01,CP00058,100.91,term_loan,111.11,business_loan,2021-05-25,2026-05-24,EUR,stage_1,False,False,,,,3.27,10.2,,
EXP000114,BANK01,CP00058,65.34,revolving_credit,80.56,business_loan,2024-09-15,2034-09-13,EUR,stage_2,False,False,,,,5.17,15.22,,
EXP000115,BANK01,CP00058,124.54,revolving_credit,159.49,business_loan,2018-05-31,2025-05-29,EUR,stage_1,False,False,,,,6.56,34.95,,
EXP000116,BANK01,CP00059,127.69,term_loan,160.74,business_loan,2021-12-25,2026-12-24,EUR,stage_3,False,False,,,,2.72,33.05,,
EXP000117,BANK01,CP00059,390.47,revolving_credit,407.02,business_loan,2021-09-20,2031-09-18,EUR,stage_1,False,False,,,,2.99,16.55,,
EXP000118,BANK01,CP00059,422.57,project_finance,497.92,project_finance,2024-06-14,2029-06-13,EUR,stage_1,False,False,,1246.91,project_equity,4.46,75.35,,True
EXP000119,BANK01,CP00059,349.36,revolving_credit,416.82,business_loan,2021-11-13,2024-11-12,EUR,stage_2,False,False,,,,3.98,67.46,,
EXP000120,BANK01,CP00060,251.16,corporate_bond,285.63,listed_equity,2021-11-27,2028-11-25,EUR,stage_1,False,False,,,,6.42,34.47,,
EXP000121,BANK01,CP00061,47.02,corporate_bond,48.28,listed_equity,2023-01-28,2030-01-26,EUR,stage_1,False,False,,,,2.72,1.26,,
EXP000122,BANK01,CP00062,1.85,term_loan,2.23,business_loan,2019-11-05,2024-11-03,EUR,stage_1,False,False,,,,5.26,0.38,,
EXP000123,BANK01,CP00063,11.2,mortgage,14.07,mortgage,2020-01-26,2025-01-24,EUR,stage_1,False,False,,,,4.66,2.87,15.76,
EXP000124,BANK01,CP00063,13.91,term_loan,16.07,business_loan,2024-08-22,2034-08-20,EUR,stage_1,False,False,,,,6.02,2.16,,
EXP000125,BANK01,CP00064,658.71,term_loan,707.97,business_loan,2019-02-21,2034-02-17,EUR,stage_1,False,False,,,,4.13,49.26,,
EXP000126,BANK01,CP00064,289.73,mortgage,358.91,commercial_re,2023-12-02,2030-11-30,EUR,stage_1,False,False,,,,5.56,69.18,491.5,
EXP000127,BANK01,CP00064,347.52,mortgage,460.64,mortgage,2024-12-03,2029-12-02,EUR,stage_1,False,False,,,,6.03,113.12,549.99,
EXP000128,BANK01,CP00065,1.16,term_loan,1.3,business_loan,2019-04-28,2024-04-26,EUR,stage_1,False,False,,,,3.42,0.14,,
EXP000129,BANK01,CP00065,3.13,revolving_credit,3.61,business_loan,2019-07-19,2034-07-15,EUR,stage_1,False,False,,,,3.43,0.48,,
EXP000130,BANK01,CP00066,197.86,green_loan,236.61,business_loan,2024-03-22,2029-03-21,EUR,stage_1,True,True,ICMA_GBP,,,3.2,38.75,,
EXP000131,BANK01,CP00066,150.52,term_loan,179.7,business_loan,2022-01-10,2025-01-09,EUR,stage_1,False,False,,,,3.48,29.18,,
EXP000132,BANK01,CP00067,6.84,revolving_credit,8.78,business_loan,2023-07-08,2033-07-05,EUR,stage_1,False,False,,,,4.72,1.94,,
EXP000133,BANK01,CP00067,6.11,mortgage,6.19,mortgage,2020-06-22,2027-06-21,EUR,stage_1,False,False,,,,3.62,0.08,8.69,
EXP000134,BANK01,CP00068,414.56,mortgage,499.26,mortgage,2023-07-22,2038-07-18,EUR,stage_1,False,False,,,,5.36,84.7,678.76,
EXP000135,BANK01,CP00068,401.8,green_loan,523.95,business_loan,2024-01-30,2027-01-29,EUR,stage_1,True,True,LMA_GLP,,,4.71,122.15,,
EXP000136,BANK01,CP00068,335.03,corporate_bond,452.27,business_loan,2020-10-10,2027-10-09,EUR,stage_1,False,False,,,,2.66,117.24,,
EXP000137,BANK01,CP00069,156.79,mortgage,169.95,commercial_re,2019-04-26,2024-04-24,EUR,stage_1,False,False,,,,6.19,13.16,237.0,
EXP000138,BANK01,CP00069,635.28,project_finance,791.85,project_finance,2022-10-20,2027-10-19,EUR,stage_1,False,False,,1032.5,project_equity,6.42,156.57,,True
EXP000139,BANK01,CP00069,600.91,project_finance,744.37,project_finance,2023-12-21,2030-12-19,EUR,stage_3,False,False,,1248.48,project_loan,3.34,143.46,,False
EXP000140,BANK01,CP00070,884.44,green_loan,932.41,commercial_re,2023-10-09,2026-10-08,EUR,stage_1,True,True,ICMA_GBP,,,6.25,47.97,1294.83,
EXP000141,BANK01,CP00071,6.58,corporate_bond,6.96,business_loan,2019-06-28,2024-06-26,EUR,stage_1,False,False,,,,4.11,0.38,,
EXP000142,BANK01,CP00072,649.26,term_loan,746.69,business_loan,2021-01-05,2031-01-03,EUR,stage_1,False,False,,,,2.88,97.43,,
EXP000143,BANK01,CP00072,1085.89,revolving_credit,1283.39,business_loan,2021-02-13,2028-02-12,EUR,stage_1,False,False,,,,4.94,197.5,,
EXP000144,BANK01,CP00072,1201.99,mortgage,1507.22,commercial_re,2019-01-17,2029-01-14,EUR,stage_2,False,False,,,,5.99,305.23,2167.67,
EXP000145,BANK01,CP00073,17.29,green_loan,19.15,business_loan,2020-05-17,2030-05-15,EUR,stage_1,True,True,LMA_GLP,,,6.64,1.86,,
EXP000146,BANK01,CP00073,22.81,project_finance,30.97,project_finance,2023-06-11,2030-06-09,EUR,stage_1,False,False,,57.92,project_loan,6.31,8.16,,False
EXP000147,BANK01,CP00073,24.28,mortgage,33.31,commercial_re,2018-03-08,2021-03-07,EUR,stage_1,False,False,,,,3.29,9.03,37.46,
EXP000148,BANK01,CP00074,5.19,green_loan,5.52,mortgage,2019-06-25,2026-06-23,EUR,stage_1,True,True,EU_Taxonomy,,,7.16,0.33,9.3,
EXP000149,BANK01,CP00074,7.17,term_loan,7.32,business_loan,2022-03-04,2027-03-03,EUR,stage_1,False,False,,,,5.63,0.15,,
EXP000150,BANK01,CP00074,8.05,revolving_credit,8.05,business_loan,2019-01-09,2022-01-08,EUR,stage_1,False,False,,,,4.88,0.0,,
EXP000151,BANK01,CP00074,3.43,corporate_bond,4.38,business_loan,2018-02-08,2021-02-07,EUR,stage_3,False,False,,,,6.59,0.95,,
EXP000152,BANK01,CP00075,51.66,term_loan,66.76,business_loan,2022-04-19,2025-04-18,EUR,stage_1,False,False,,,,3.01,15.1,,
EXP000153,BANK01,CP00075,181.1,term_loan,186.06,business_loan,2019-06-30,2024-06-28,EUR,stage_1,False,False,,,,5.32,4.96,,
EXP000154,BANK01,CP00076,76.56,term_loan,95.43,business_loan,2019-09-13,2029-09-10,EUR,stage_1,False,False,,,,4.71,18.87,,
EXP000155,BANK01,CP00077,15.32,term_loan,21.22,business_loan,2022-04-22,2029-04-20,EUR,stage_1,False,False,,,,4.07,5.9,,
EXP000156,BANK01,CP00077,22.16,term_loan,27.48,business_loan,2024-03-16,2039-03-13,EUR,stage_1,False,False,,,,5.54,5.32,,
EXP000157,BANK01,CP00077,42.81,mortgage,51.68,commercial_re,2021-05-20,2026-05-19,EUR,stage_1,False,False,,,,5.05,8.87,61.13,
EXP000158,BANK01,CP00078,0.8,mortgage,0.92,commercial_re,2020-09-07,2030-09-05,EUR,stage_1,False,False,,,,3.71,0.12,1.31,
EXP000159,BANK01,CP00079,111.45,term_loan,117.33,business_loan,2022-01-19,2029-01-17,EUR,stage_1,False,False,,,,6.8,5.88,,
EXP000160,BANK01,CP00080,290.82,corporate_bond,359.15,listed_equity,2018-10-26,2021-10-25,EUR,stage_1,False,False,,,,2.57,68.33,,
EXP000161,BANK01,CP00080,372.85,green_loan,415.58,commercial_re,2022-06-19,2037-06-15,EUR,stage_1,True,True,EU_Taxonomy,,,6.06,42.73,569.67,
EXP000162,BANK01,CP00081,22.48,corporate_bond,23.85,business_loan,2024-01-12,2039-01-08,EUR,stage_1,False,False,,,,2.92,1.37,,
EXP000163,BANK01,CP00081,42.97,green_loan,48.59,commercial_re,2019-09-29,2034-09-25,EUR,stage_1,True,True,ICMA_GBP,,,5.43,5.62,77.19,
EXP000164,BANK01,CP00082,8.65,revolving_credit,8.85,business_loan,2022-11-27,2027-11-26,EUR,stage_1,False,False,,,,2.93,0.2,,
EXP000165,BANK01,CP00082,6.62,project_finance,6.94,project_finance,2021-06-20,2026-06-19,EUR,stage_1,False,False,,11.83,project_loan,6.04,0.32,,False
EXP000166,BANK01,CP00083,301.74,revolving_credit,346.62,business_loan,2020-11-27,2025-11-26,EUR,stage_2,False,False,,,,6.25,44.88,,
EXP000167,BANK01,CP00084,383.14,mortgage,424.82,mortgage,2021-10-04,2031-10-02,EUR,stage_1,False,False,,,,2.82,41.68,709.99,
EXP000168,BANK01,CP00084,1000.25,term_loan,1144.34,business_loan,2023-02-08,2038-02-04,EUR,stage_1,False,False,,,,5.0,144.09,,
EXP000169,BANK01,CP00084,719.05,term_loan,912.94,business_loan,2019-02-26,2034-02-22,EUR,stage_1,False,False,,,,3.08,193.89,,
EXP000170,BANK01,CP00085,5.91,term_loan,6.77,business_loan,2018-07-08,2028-07-05,EUR,stage_1,False,False,,,,7.1,0.86,,
EXP000171,BANK01,CP00086,35.11,mortgage,39.63,commercial_re,2022-09-14,2027-09-13,EUR,stage_1,False,False,,,,4.58,4.52,58.52,
EXP000172,BANK01,CP00086,76.11,term_loan,91.39,business_loan,2022-03-08,2025-03-07,EUR,stage_1,False,False,,,,7.01,15.28,,
EXP000173,BANK01,CP00086,168.75,green_loan,227.95,business_loan,2022-07-01,2025-06-30,EUR,stage_1,True,True,ICMA_GBP,,,6.83,59.2,,
EXP000174,BANK01,CP00086,82.96,term_loan,95.2,business_loan,2023-02-14,2026-02-13,EUR,stage_1,False,False,,,,3.96,12.24,,
EXP000175,BANK01,CP00087,2.07,revolving_credit,2.68,business_loan,2023-07-14,2028-07-12,EUR,stage_1,False,False,,,,5.23,0.61,,
EXP000176,BANK01,CP00087,1.61,green_loan,1.96,business_loan,2018-04-08,2023-04-07,EUR,stage_1,True,True,ICMA_GBP,,,5.68,0.35,,
EXP000177,BANK01,CP00087,0.89,revolving_credit,0.93,business_loan,2022-03-22,2029-03-20,EUR,stage_1,False,False,,,,5.15,0.04,,
EXP000178,BANK01,CP00088,192.63,green_loan,196.01,mortgage,2021-02-20,2024-02-20,EUR,stage_1,True,True,EU_Taxonomy,,,3.66,3.38,278.03,
