meeting_id,bank_id,meeting_date,committee_name,committee_type,reporting_year,climate_agenda_flag,climate_topics_discussed,decision_made_flag,decision_summary,ifrs_s2_para_evidence,quorum_reached,members_present
MTG-BANK01-ESG-2023-012,BANK01,2023-08-18,ESG & Sustainability Committee,esg_committee,2023,True,exec_remuneration_esg_kpis|transition_plan_review|green_finance_growth|scenario_analysis,False,,§6(a)(iii),True,5
MTG-BANK01-ESG-2023-013,BANK01,2023-09-25,ESG & Sustainability Committee,esg_committee,2023,True,green_finance_growth|scenario_analysis|tcfd_review|carbon_credit_approval,True,Endorsed updated transition plan,§6(a)(v),True,5
MTG-BANK01-FB-2024-001,BANK01,2024-01-24,Full Board,full_board,2024,True,transition_plan_review|carbon_credit_approval,True,Approved 2024 ESG report for publication,§6(a)(v),True,9
MTG-BANK01-FB-2024-002,BANK01,2024-04-12,Full Board,full_board,2024,True,tcfd_review,False,,§6(a)(iii),True,9
MTG-BANK01-FB-2024-003,BANK01,2024-07-17,Full Board,full_board,2024,True,transition_plan_review,True,Approved climate scenario analysis methodology,§6(a)(iii),True,10
MTG-BANK01-FB-2024-004,BANK01,2024-10-07,Full Board,full_board,2024,True,tcfd_review|green_finance_growth,True,Endorsed updated transition plan,§6(a)(iii),True,10
MTG-BANK01-FB-2024-005,BANK01,2024-11-04,Full Board,full_board,2024,True,tcfd_review,False,,§6(a)(iii),True,10
MTG-BANK01-FB-2024-006,BANK01,2024-03-18,Full Board,full_board,2024,True,tcfd_review|green_finance_growth|exec_remuneration_esg_kpis,False,,§6(a)(iii),False,10
MTG-BANK01-FB-2024-007,BANK01,2024-11-01,Full Board,full_board,2024,True,net_zero_progress,True,Endorsed net-zero interim target revision,§6(a)(iii),True,6
MTG-BANK01-FB-2024-008,BANK01,2024-11-26,Full Board,full_board,2024,True,exec_remuneration_esg_kpis|physical_risk_update,True,Approved carbon credit procurement budget,§6(a)(iii),True,10
MTG-BANK01-ESG-2024-009,BANK01,2024-07-19,ESG & Sustainability Committee,esg_committee,2024,True,transition_plan_review|scenario_analysis,True,Approved carbon credit procurement budget,§6(a)(v),True,5
MTG-BANK01-ESG-2024-010,BANK01,2024-04-15,ESG & Sustainability Committee,esg_committee,2024,True,physical_risk_update|tcfd_review|transition_plan_review,True,Approved carbon credit procurement budget,§6(a)(v),True,5
MTG-BANK01-ESG-2024-011,BANK01,2024-04-15,ESG & Sustainability Committee,esg_committee,2024,True,tcfd_review|physical_risk_update,True,Approved climate scenario analysis methodology,§6(a)(v),True,5
MTG-BANK01-ESG-2024-012,BANK01,2024-08-29,ESG & Sustainability Committee,esg_committee,2024,True,tcfd_review|exec_remuneration_esg_kpis,True,Approved climate scenario analysis methodology,§6(a)(v),True,4
MTG-BANK01-ESG-2024-013,BANK01,2024-07-15,ESG & Sustainability Committee,esg_committee,2024,True,exec_remuneration_esg_kpis|carbon_credit_approval|net_zero_progress,False,,§6(a)(iii),True,5
MTG-BANK01-ESG-2024-014,BANK01,2024-06-10,ESG & Sustainability Committee,esg_committee,2024,True,net_zero_progress|exec_remuneration_esg_kpis,True,Approved climate scenario analysis methodology,§6(a)(v),True,5
MTG-BANK01-ESG-2024-015,BANK01,2024-05-20,ESG & Sustainability Committee,esg_committee,2024,True,net_zero_progress|physical_risk_update,True,Approved carbon credit procurement budget,§6(a)(v),False,5
