travel_id,bank_id,travel_date,emissions_kg_co2e,reporting_year,travel_mode,distance_km,emissions_tco2e,employee_id_hash,emission_factor_kg_co2e_per_km,purpose
TR000195,BANK01,2024-03-29,1136.5,,air_long,7577,,EMP17427,0.15,training
TR000196,BANK01,2024-08-11,260.9,,air_short,1023,,EMP30994,0.255,training
TR000197,BANK01,2024-07-04,158.1,,air_short,620,,EMP24157,0.255,internal_meeting
TR000198,BANK01,2024-08-11,45.3,,rail,1104,,EMP01693,0.041,internal_meeting
TR000199,BANK01,2024-03-31,155.3,,air_short,609,,EMP46760,0.255,audit
TR000200,BANK01,2024-09-26,103.6,,car,606,,EMP28760,0.171,audit
TR000201,BANK01,2024-11-28,1117.3,,air_long,7449,,EMP39232,0.15,conference
TR000202,BANK01,2024-09-12,158.1,,air_short,620,,EMP20304,0.255,training
TR000203,BANK01,2024-03-18,619.4,,air_long,4129,,EMP44857,0.15,audit
TR000204,BANK01,2024-01-26,81.6,,air_short,320,,EMP44846,0.255,audit
TR000205,BANK01,2024-06-28,30.6,,rail,747,,EMP20349,0.041,client_meeting
TR000206,BANK01,2024-06-12,13.4,,rail,327,,EMP00785,0.041,audit
TR000207,BANK01,2024-09-08,77.3,,air_short,303,,EMP38964,0.255,training
TR000208,BANK01,2024-10-07,303.7,,air_short,1191,,EMP34826,0.255,conference
TR000209,BANK01,2024-05-04,1190.5,,air_long,7937,,EMP21660,0.15,internal_meeting
TR000210,BANK01,2024-04-27,308.3,,air_short,1209,,EMP26767,0.255,internal_meeting
TR000211,BANK01,2024-08-08,35.7,,car,209,,EMP45377,0.171,internal_meeting
TR000212,BANK01,2024-09-05,648.8,,air_long,4325,,EMP14325,0.15,training
TR000213,BANK01,2024-06-14,336.9,,air_short,1321,,EMP03296,0.255,internal_meeting
TR000214,BANK01,2024-05-09,227.7,,air_short,893,,EMP00256,0.255,conference
TR000215,BANK01,2024-08-06,294.0,,air_short,1153,,EMP36941,0.255,internal_meeting
TR000216,BANK01,2024-07-28,44.9,,rail,1096,,EMP15483,0.041,conference
TR000217,BANK01,2024-11-06,354.4,,air_short,1390,,EMP07527,0.255,audit
TR000218,BANK01,2024-07-05,232.1,,air_short,910,,EMP28564,0.255,internal_meeting
TR000219,BANK01,2024-06-02,33.5,,rail,816,,EMP29518,0.041,audit
TR000220,BANK01,2024-05-05,34.5,,rail,841,,EMP07633,0.041,client_meeting
TR000221,BANK01,2024-11-03,26.1,,rail,637,,EMP47368,0.041,conference
TR000222,BANK01,2024-09-02,303.7,,air_short,1191,,EMP22214,0.255,training
TR000223,BANK01,2024-03-21,566.1,,air_long,3774,,EMP41957,0.15,client_meeting
TR000224,BANK01,2024-07-08,341.4,,air_short,1339,,EMP29123,0.255,conference
TR000225,BANK01,2024-09-22,104.5,,car,611,,EMP36883,0.171,conference
TR000226,BANK01,2024-04-05,333.8,,air_short,1309,,EMP47873,0.255,audit
TR000227,BANK01,2024-06-12,91.3,,air_short,358,,EMP00806,0.255,training
TR000228,BANK01,2024-10-08,135.7,,air_short,532,,EMP21109,0.255,training
TR000229,BANK01,2024-05-21,244.8,,air_short,960,,EMP14688,0.255,training
TR000230,BANK01,2024-02-22,123.6,,car,723,,EMP30760,0.171,internal_meeting
TR000231,BANK01,2024-05-01,198.6,,air_short,779,,EMP22036,0.255,internal_meeting
TR000232,BANK01,2024-06-09,1302.3,,air_long,8682,,EMP30953,0.15,audit
TR000233,BANK01,2024-04-05,37.3,,rail,910,,EMP33016,0.041,client_meeting
TR000234,BANK01,2024-11-18,45.2,,rail,1103,,EMP32034,0.041,training
TR000235,BANK01,2024-04-07,16.4,,rail,399,,EMP31202,0.041,conference
TR000236,BANK01,2024-08-21,111.5,,car,652,,EMP30728,0.171,internal_meeting
TR000237,BANK01,2024-07-29,24.8,,rail,606,,EMP25220,0.041,client_meeting
TR000238,BANK01,2024-01-06,46.3,,rail,1130,,EMP21954,0.041,client_meeting
TR000239,BANK01,2024-08-15,34.6,,rail,845,,EMP03039,0.041,internal_meeting
TR000240,BANK01,2024-01-09,6.4,,rail,155,,EMP05354,0.041,conference
TR000241,BANK01,2024-03-16,16.5,,rail,402,,EMP23311,0.041,conference
TR000242,BANK01,2024-06-19,580.8,,air_long,3872,,EMP01029,0.15,audit
TR000243,BANK01,2024-03-02,117.3,,air_short,460,,EMP32760,0.255,client_meeting
TR000244,BANK01,2024-11-22,474.8,,air_long,3165,,EMP18217,0.15,training
TR000245,BANK01,2024-09-13,7.0,,rail,170,,EMP43992,0.041,training
TR000246,BANK01,2024-10-08,248.4,,air_short,974,,EMP45265,0.255,client_meeting
TR000247,BANK01,2024-09-24,641.1,,air_long,4274,,EMP28665,0.15,internal_meeting
TR000248,BANK01,2024-06-27,130.6,,car,764,,EMP01576,0.171,client_meeting
TR000249,BANK01,2024-02-03,39.0,,rail,950,,EMP11907,0.041,internal_meeting
TR000250,BANK01,2024-01-15,701.9,,air_long,4679,,EMP29485,0.15,internal_meeting
TR000251,BANK01,2024-10-12,634.8,,air_long,4232,,EMP37301,0.15,internal_meeting
TR000252,BANK01,2024-08-30,375.9,,air_short,1474,,EMP14595,0.255,client_meeting
TR000253,BANK01,2024-10-16,1295.0,,air_long,8633,,EMP12598,0.15,client_meeting
TR000254,BANK01,2024-07-27,46.2,,car,270,,EMP02185,0.171,audit
TR000255,BANK01,2024-08-04,338.4,,air_short,1327,,EMP08102,0.255,conference
TR000256,BANK01,2024-07-30,356.2,,air_short,1397,,EMP43694,0.255,client_meeting
TR000257,BANK01,2024-07-01,69.8,,car,408,,EMP36971,0.171,conference
TR000258,BANK01,2024-11-23,12.5,,rail,305,,EMP20871,0.041,conference
TR000259,BANK01,2024-04-01,659.7,,air_long,4398,,EMP02563,0.15,training
TR000260,BANK01,2024-01-14,46.2,,rail,1128,,EMP04240,0.041,audit
TR000261,BANK01,2024-06-24,34.9,,car,204,,EMP13844,0.171,conference
TR000262,BANK01,2024-01-24,1188.6,,air_long,7924,,EMP09764,0.15,audit
TR000263,BANK01,2024-07-08,227.0,,air_short,890,,EMP05613,0.255,client_meeting
TR000264,BANK01,2024-07-13,24.6,,rail,601,,EMP26613,0.041,client_meeting
TR000265,BANK01,2024-11-21,751.0,,air_long,5007,,EMP22497,0.15,training
TR000266,BANK01,2024-01-09,23.5,,rail,573,,EMP18648,0.041,training
TR000267,BANK01,2024-06-20,280.2,,air_long,1868,,EMP20440,0.15,audit
TR000268,BANK01,2024-09-01,365.7,,air_short,1434,,EMP41039,0.255,client_meeting
TR000269,BANK01,2024-06-07,990.4,,air_long,6603,,EMP25194,0.15,audit
TR000270,BANK01,2024-12-22,40.8,,rail,995,,EMP22826,0.041,audit
TR000271,BANK01,2024-04-21,45.5,,car,266,,EMP36859,0.171,conference
TR000272,BANK01,2024-06-15,149.4,,air_short,586,,EMP23778,0.255,audit
TR000273,BANK01,2024-04-23,100.2,,car,586,,EMP47812,0.171,internal_meeting
TR000274,BANK01,2024-11-27,231.3,,air_short,907,,EMP17836,0.255,audit
TR000275,BANK01,2024-01-19,24.9,,rail,607,,EMP39812,0.041,client_meeting
TR000276,BANK01,2024-10-07,21.9,,rail,533,,EMP46535,0.041,client_meeting
TR000277,BANK01,2024-03-25,363.6,,air_short,1426,,EMP41417,0.255,training
TR000278,BANK01,2024-01-27,81.6,,air_short,320,,EMP28674,0.255,audit
TR000279,BANK01,2024-10-29,10.2,,rail,250,,EMP00912,0.041,audit
TR000280,BANK01,2024-04-24,106.7,,car,624,,EMP06728,0.171,client_meeting
TR000281,BANK01,2024-12-13,361.3,,air_short,1417,,EMP07117,0.255,internal_meeting
TR000282,BANK01,2024-06-15,12.6,,rail,307,,EMP16541,0.041,training
TR000283,BANK01,2024-02-27,85.3,,car,499,,EMP15181,0.171,internal_meeting
TR000284,BANK01,2024-07-25,30.8,,car,180,,EMP28926,0.171,audit
TR000285,BANK01,2024-09-12,436.5,,air_long,2910,,EMP23243,0.15,audit
TR000286,BANK01,2024-01-31,15.0,,car,88,,EMP36397,0.171,audit
TR000287,BANK01,2024-04-22,43.2,,rail,1054,,EMP42732,0.041,client_meeting
TR000288,BANK01,2024-03-29,39.7,,rail,968,,EMP18203,0.041,conference
TR000289,BANK01,2024-08-01,86.9,,car,508,,EMP05739,0.171,training
TR000290,BANK01,2024-08-08,214.7,,air_short,842,,EMP12148,0.255,training
TR000291,BANK01,2024-11-02,256.5,,air_short,1006,,EMP09401,0.255,conference
TR000292,BANK01,2024-12-03,35.1,,rail,855,,EMP05657,0.041,audit
TR000293,BANK01,2024-10-12,22.5,,rail,548,,EMP30338,0.041,client_meeting
TR000294,BANK01,2024-11-04,340.7,,air_short,1336,,EMP01371,0.255,internal_meeting
TR000295,BANK01,2024-06-15,24.8,,rail,604,,EMP25702,0.041,internal_meeting
TR000296,BANK01,2024-01-02,167.0,,air_short,655,,EMP27322,0.255,conference
TR000297,BANK01,2024-01-02,139.5,,air_short,547,,EMP17712,0.255,internal_meeting
TR000298,BANK01,2024-03-20,458.8,,air_long,3059,,EMP18509,0.15,training
TR000299,BANK01,2024-03-19,277.7,,air_short,1089,,EMP28197,0.255,client_meeting
TR000300,BANK01,2024-01-05,209.9,,air_short,823,,EMP04745,0.255,audit
TR000301,BANK01,2024-06-22,34.5,,rail,841,,EMP31539,0.041,client_meeting
TR000302,BANK01,2024-11-27,843.4,,air_long,5623,,EMP17949,0.15,audit
TR000303,BANK01,2024-03-18,91.0,,car,532,,EMP04707,0.171,conference
TR000304,BANK01,2024-04-18,236.6,,air_short,928,,EMP40522,0.255,conference
TR000305,BANK01,2024-08-28,1126.0,,air_long,7507,,EMP26655,0.15,internal_meeting
TR000306,BANK01,2024-08-16,414.9,,air_long,2766,,EMP29415,0.15,conference
TR000307,BANK01,2024-03-04,1308.9,,air_long,8726,,EMP33339,0.15,audit
TR000308,BANK01,2024-11-23,36.4,,rail,888,,EMP29252,0.041,conference
TR000309,BANK01,2024-05-17,16.8,,rail,409,,EMP18975,0.041,audit
TR000310,BANK01,2024-11-22,39.1,,rail,954,,EMP22714,0.041,conference
TR000311,BANK01,2024-11-05,286.9,,air_short,1125,,EMP46486,0.255,client_meeting
TR000312,BANK01,2024-08-12,122.1,,car,714,,EMP27702,0.171,audit
TR000313,BANK01,2024-03-04,173.9,,air_short,682,,EMP26007,0.255,internal_meeting
TR000314,BANK01,2024-06-03,68.2,,car,399,,EMP15947,0.171,client_meeting
TR000315,BANK01,2024-04-12,47.2,,car,276,,EMP12414,0.171,client_meeting
TR000316,BANK01,2024-07-25,5.4,,rail,132,,EMP26085,0.041,training
TR000317,BANK01,2024-10-02,418.5,,air_long,2790,,EMP08859,0.15,client_meeting
TR000318,BANK01,2024-11-25,129.8,,car,759,,EMP40279,0.171,training
TR000319,BANK01,2024-05-03,56.8,,car,332,,EMP43788,0.171,audit
TR000320,BANK01,2024-02-14,666.6,,air_long,4444,,EMP17046,0.15,training
TR000321,BANK01,2024-09-13,35.8,,rail,873,,EMP00807,0.041,conference
TR000322,BANK01,2024-05-28,70.3,,car,411,,EMP03907,0.171,conference
TR000323,BANK01,2024-09-10,150.2,,air_short,589,,EMP20378,0.255,audit
