counterparty_id,bank_id,nace_code,legal_name,country,annual_revenue_meur,evic_meur,ppp_adjusted_gdp_meur,national_scope1_tco2e,national_scope2_tco2e,national_scope3_tco2e,data_source_type,transition_risk_score,nace_description,sector_carbon_tier,country_name,is_listed,sme_flag,onboarded_date,sbti_target_flag
CP00012,BANK01,F42,Civil NL Group 12,NL,16.3,41.0,,,,,estimated_economic,2.3,Civil engineering,medium,Netherlands,False,True,2016-10-31,True
CP00013,BANK01,C27,Manufacture FR Group 13,FR,2993.5,7300.2,,,,,cdp_disclosure,5.37,Manufacture of electrical equipment,medium,France,True,False,2018-08-21,False
CP00014,BANK01,G47,Retail IE Group 14,IE,24.4,30.7,,,,,estimated_economic,4.23,Retail trade,low,Ireland,False,True,2018-07-16,False
CP00015,BANK01,C13,Manufacture DE Group 15,DE,2750.5,6108.7,,,,,proxy_model,8.34,Manufacture of textiles,medium,Germany,False,False,2017-05-20,False
CP00016,BANK01,F42,Civil IT Group 16,IT,2777.4,5626.8,,,,,estimated_economic,0.73,Civil engineering,medium,Italy,True,False,2017-10-07,False
CP00017,BANK01,H52,Warehousing NL Group 17,NL,873.1,1721.0,,,,,proxy_model,6.1,Warehousing and support transport,medium,Netherlands,False,False,2019-01-22,False
CP00018,BANK01,C20,Manufacture PL Group 18,PL,169.3,230.9,,,,,audited_report,8.0,Manufacture of chemicals,high,Poland,False,False,2015-07-12,False
CP00019,BANK01,J62,Computer FR Group 19,FR,15.1,36.6,,,,,proxy_model,4.77,Computer programming & IT services,low,France,False,True,2021-09-08,False
CP00020,BANK01,B05,Mining IT Group 20,IT,4879.4,10502.4,,,,,estimated_economic,7.12,Mining of coal and lignite,high,Italy,False,False,2024-08-26,False
CP00021,BANK01,M71,Architectural BE Group 21,BE,11.1,31.0,,,,,estimated_economic,2.05,Architectural & engineering activities,low,Belgium,False,True,2023-06-03,False
CP00022,BANK01,C24,Manufacture BE Group 22,BE,10.8,21.4,,,,,estimated_economic,5.41,Manufacture of basic metals (steel),high,Belgium,False,True,2020-02-02,False
CP00023,BANK01,A01,Crop AT Group 23,AT,722.8,2131.8,,,,,proxy_model,2.8,Crop and animal production,high,Austria,False,False,2020-09-10,False
CP00024,BANK01,L68,Real FI Group 24,FI,39.4,92.6,,,,,proxy_model,2.17,Real estate activities,low,Finland,False,True,2021-10-30,False
CP00025,BANK01,C19,Manufacture IT Group 25,IT,15.3,44.6,,,,,proxy_model,6.03,Manufacture of coke and refined petroleum,high,Italy,False,True,2020-12-12,False
CP00026,BANK01,L68,Real NL Group 26,NL,146.5,205.3,,,,,estimated_economic,5.14,Real estate activities,low,Netherlands,False,False,2019-01-26,False
CP00027,BANK01,J63,Information PT Group 27,PT,41.9,54.6,,,,,proxy_model,2.61,Information service activities,low,Portugal,False,True,2024-11-05,False
CP00028,BANK01,E36,Water DE Group 28,DE,786.5,2099.0,,,,,proxy_model,2.59,"Water collection, treatment, supply",medium,Germany,False,False,2020-12-21,False
CP00029,BANK01,I55,Accommodation DE Group 29,DE,133.6,292.5,,,,,estimated_economic,0.04,Accommodation (hotels),medium,Germany,False,False,2017-12-21,False
CP00030,BANK01,C29,Manufacture NL Group 30,NL,3918.2,11253.2,,,,,estimated_economic,7.06,Manufacture of motor vehicles,medium,Netherlands,False,False,2022-09-26,False
CP00031,BANK01,C19,Manufacture IT Group 31,IT,4846.7,11485.6,,,,,proxy_model,1.69,Manufacture of coke and refined petroleum,high,Italy,True,False,2020-10-20,True
CP00032,BANK01,C25,Manufacture FR Group 32,FR,7.8,9.7,,,,,estimated_economic,4.09,Manufacture of fabricated metal,medium,France,False,True,2021-03-18,False
CP00033,BANK01,C23,Manufacture FR Group 33,FR,8.2,19.2,,,,,estimated_economic,5.41,"Manufacture of cement, lime and plaster",high,France,False,True,2017-07-26,False
CP00034,BANK01,B05,Mining DE Group 34,DE,49.1,104.4,,,,,proxy_model,5.67,Mining of coal and lignite,high,Germany,False,True,2018-02-14,False
CP00035,BANK01,F43,Specialised FR Group 35,FR,12.5,36.0,,,,,proxy_model,0.68,Specialised construction,medium,France,False,True,2021-05-27,False
CP00036,BANK01,E36,Water FR Group 36,FR,131.5,254.2,,,,,cdp_disclosure,3.79,"Water collection, treatment, supply",medium,France,False,False,2016-01-22,False
CP00037,BANK01,B06,Extraction ES Group 37,ES,93.5,190.8,,,,,proxy_model,5.62,Extraction of crude petroleum and natural gas,high,Spain,False,False,2023-03-06,False
CP00038,BANK01,B05,Mining BE Group 38,BE,435.1,569.6,,,,,estimated_economic,4.42,Mining of coal and lignite,high,Belgium,False,False,2023-12-24,False
CP00039,BANK01,J62,Computer FR Group 39,FR,18.6,37.3,,,,,estimated_economic,8.12,Computer programming & IT services,low,France,False,True,2019-09-25,False
CP00040,BANK01,C19,Manufacture ES Group 40,ES,2106.0,2813.0,,,,,estimated_economic,3.56,Manufacture of coke and refined petroleum,high,Spain,False,False,2024-08-07,False
CP00041,BANK01,C30,Manufacture DE Group 41,DE,4987.1,13489.4,,,,,cdp_disclosure,8.62,Manufacture of other transport equipment,medium,Germany,False,False,2023-06-14,False
CP00042,BANK01,J58,Publishing FR Group 42,FR,143.5,227.4,,,,,cdp_disclosure,2.93,Publishing activities,low,France,False,False,2019-07-01,False
CP00043,BANK01,K65,Insurance FR Group 43,FR,5.1,9.7,,,,,estimated_economic,2.51,Insurance,low,France,False,True,2023-10-17,False
CP00044,BANK01,I56,Food FR Group 44,FR,616.3,1549.9,,,,,estimated_economic,5.17,Food and beverage service,medium,France,False,False,2022-06-04,False
CP00045,BANK01,H50,Water FR Group 45,FR,38.9,114.5,,,,,proxy_model,7.5,Water transport,medium,France,False,True,2021-06-30,False
CP00046,BANK01,H52,Warehousing DE Group 46,DE,43.7,56.4,,,,,estimated_economic,4.15,Warehousing and support transport,medium,Germany,False,True,2020-05-06,False
CP00047,BANK01,C28,Manufacture PT Group 47,PT,14.9,43.6,,,,,estimated_economic,5.13,Manufacture of machinery,medium,Portugal,False,True,2015-11-25,False
CP00048,BANK01,J58,Publishing DE Group 48,DE,8.0,22.0,,,,,estimated_economic,3.63,Publishing activities,low,Germany,False,True,2019-07-12,False
CP00049,BANK01,B07,Mining FI Group 49,FI,27.5,62.4,,,,,estimated_economic,4.76,Mining of metal ores,high,Finland,False,True,2021-12-11,False
CP00050,BANK01,B06,Extraction BE Group 50,BE,248.7,440.1,,,,,estimated_economic,6.1,Extraction of crude petroleum and natural gas,high,Belgium,True,False,2022-07-06,False
CP00051,BANK01,H50,Water FR Group 51,FR,77.2,186.0,,,,,estimated_economic,2.69,Water transport,medium,France,False,False,2018-05-13,False
CP00052,BANK01,C27,Manufacture LU Group 52,LU,3215.2,3912.2,,,,,cdp_disclosure,4.37,Manufacture of electrical equipment,medium,Luxembourg,False,False,2021-04-25,False
CP00053,BANK01,Q87,Residential DE Group 53,DE,21.9,36.7,,,,,cdp_disclosure,8.76,Residential care activities,low,Germany,False,True,2018-11-30,False
CP00054,BANK01,J63,Information FI Group 54,FI,64.4,95.6,,,,,proxy_model,4.19,Information service activities,low,Finland,False,False,2024-05-08,False
CP00055,BANK01,C30,Manufacture IT Group 55,IT,4482.9,11892.1,,,,,estimated_economic,5.25,Manufacture of other transport equipment,medium,Italy,False,False,2022-06-28,False
CP00056,BANK01,G45,Wholesale IT Group 56,IT,490.0,1416.1,,,,,estimated_economic,4.33,Wholesale & retail trade of motor vehicles,low,Italy,True,False,2016-04-17,False
CP00057,BANK01,K64,Financial AT Group 57,AT,14.7,25.1,,,,,estimated_economic,6.79,Financial services,low,Austria,False,True,2017-05-12,False
CP00058,BANK01,H50,Water FR Group 58,FR,400.6,671.1,,,,,estimated_economic,5.17,Water transport,medium,France,True,False,2024-06-27,False
CP00059,BANK01,B05,Mining BE Group 59,BE,1541.9,1972.6,,,,,cdp_disclosure,6.09,Mining of coal and lignite,high,Belgium,True,False,2016-06-19,False
CP00060,BANK01,F42,Civil FR Group 60,FR,838.9,1839.7,,,,,proxy_model,0.75,Civil engineering,medium,France,True,False,2015-02-09,False
CP00061,BANK01,B07,Mining LU Group 61,LU,593.0,870.7,,,,,estimated_economic,7.7,Mining of metal ores,high,Luxembourg,True,False,2019-02-21,False
CP00062,BANK01,E38,Waste FR Group 62,FR,12.1,21.2,,,,,estimated_economic,6.06,Waste management,medium,France,False,True,2023-12-05,False
CP00063,BANK01,P85,Education DE Group 63,DE,59.4,144.2,,,,,proxy_model,3.58,Education,low,Germany,False,False,2022-06-24,False
CP00064,BANK01,B07,Mining IE Group 64,IE,2251.1,4348.0,,,,,cdp_disclosure,7.27,Mining of metal ores,high,Ireland,False,False,2016-09-25,False
CP00065,BANK01,M70,Management FR Group 65,FR,15.4,40.7,,,,,proxy_model,1.91,Management consultancy,low,France,False,True,2016-12-26,False
CP00066,BANK01,J63,Information DE Group 66,DE,812.3,1460.5,,,,,estimated_economic,5.82,Information service activities,low,Germany,False,False,2023-12-30,False
CP00067,BANK01,F43,Specialised AT Group 67,AT,27.8,41.3,,,,,proxy_model,2.21,Specialised construction,medium,Austria,False,True,2022-11-12,False
CP00068,BANK01,B07,Mining FI Group 68,FI,1887.0,3019.9,,,,,estimated_economic,6.96,Mining of metal ores,high,Finland,False,False,2020-02-29,False
CP00069,BANK01,C10,Manufacture PT Group 69,PT,2060.5,3299.4,,,,,cdp_disclosure,4.03,Manufacture of food products,medium,Portugal,False,False,2019-06-21,False
CP00070,BANK01,H51,Air FI Group 70,FI,3987.2,6787.9,,,,,estimated_economic,3.62,Air transport,high,Finland,False,False,2019-06-26,False
CP00071,BANK01,F43,Specialised PT Group 71,PT,49.4,61.7,,,,,audited_report,5.62,Specialised construction,medium,Portugal,False,True,2024-11-01,False
CP00072,BANK01,P85,Education FR Group 72,FR,3869.0,6491.6,,,,,cdp_disclosure,4.85,Education,low,France,True,False,2019-11-15,True
CP00073,BANK01,C10,Manufacture IE Group 73,IE,102.1,303.4,,,,,estimated_economic,4.44,Manufacture of food products,medium,Ireland,False,False,2016-04-18,False
CP00074,BANK01,C13,Manufacture NL Group 74,NL,29.1,72.0,,,,,estimated_economic,3.78,Manufacture of textiles,medium,Netherlands,False,True,2015-01-07,False
CP00075,BANK01,C29,Manufacture IE Group 75,IE,576.2,1666.6,,,,,proxy_model,0.37,Manufacture of motor vehicles,medium,Ireland,False,False,2017-03-18,True
CP00076,BANK01,C11,Manufacture DE Group 76,DE,492.8,884.3,,,,,proxy_model,3.97,Manufacture of beverages,medium,Germany,True,False,2024-07-05,False
CP00077,BANK01,B07,Mining FI Group 77,FI,166.5,399.7,,,,,estimated_economic,6.49,Mining of metal ores,high,Finland,False,False,2018-08-29,False
CP00078,BANK01,C13,Manufacture IT Group 78,IT,12.1,23.7,,,,,proxy_model,4.65,Manufacture of textiles,medium,Italy,False,True,2019-04-02,False
CP00079,BANK01,F43,Specialised FI Group 79,FI,352.0,613.1,,,,,estimated_economic,4.34,Specialised construction,medium,Finland,False,False,2015-01-02,False
CP00080,BANK01,H51,Air FR Group 80,FR,1141.0,2615.2,,,,,estimated_economic,2.52,Air transport,high,France,True,False,2019-12-15,True
CP00081,BANK01,C25,Manufacture FR Group 81,FR,131.7,371.7,,,,,proxy_model,4.02,Manufacture of fabricated metal,medium,France,False,False,2023-12-05,False
CP00082,BANK01,H52,Warehousing BE Group 82,BE,35.6,85.3,,,,,estimated_economic,5.07,Warehousing and support transport,medium,Belgium,False,True,2021-12-11,False
CP00083,BANK01,C10,Manufacture PT Group 83,PT,898.3,2165.8,,,,,estimated_economic,5.09,Manufacture of food products,medium,Portugal,True,False,2017-03-26,False
CP00084,BANK01,B08,Other DE Group 84,DE,4485.5,10318.0,,,,,cdp_disclosure,5.28,Other mining and quarrying,high,Germany,False,False,2020-02-09,False
CP00085,BANK01,C22,Manufacture BE Group 85,BE,19.2,47.1,,,,,estimated_economic,5.8,Manufacture of rubber and plastic,medium,Belgium,False,True,2020-07-17,False
CP00086,BANK01,C13,Manufacture FR Group 86,FR,579.3,1626.0,,,,,estimated_economic,2.53,Manufacture of textiles,medium,France,False,False,2024-12-05,False
CP00087,BANK01,B07,Mining IT Group 87,IT,16.9,49.4,,,,,estimated_economic,8.93,Mining of metal ores,high,Italy,False,True,2020-10-22,False
CP00088,BANK01,C27,Manufacture NL Group 88,NL,2834.1,4020.0,,,,,proxy_model,4.31,Manufacture of electrical equipment,medium,Netherlands,True,False,2020-03-18,False
CP00089,BANK01,F43,Specialised PL Group 89,PL,306.4,891.6,,,,,estimated_economic,3.95,Specialised construction,medium,Poland,False,False,2021-11-14,True
CP00090,BANK01,G45,Wholesale FI Group 90,FI,95.5,270.5,,,,,proxy_model,6.89,Wholesale & retail trade of motor vehicles,low,Finland,False,False,2020-01-01,False
CP90001,BANK01,O84,Sovereign DE,DE,,,4580000.0,675000000.0,102049800.0,3819277796.0,estimated_economic,4.78,Public administration and defence,low,Germany,False,False,2015-01-01,False
