collateral_id,exposure_id,bank_id,counterparty_id,collateral_type,country,valuation_amount_meur,market_value_meur,epc_rating,flood_zone_class,flood_risk_score,physical_risk_score,exposure_amount_meur,property_type,ltv_pct,year_built,floor_area_sqm,valuation_date,market_value_at_origination_meur,building_emissions_tco2e,postcode
COL00017,EXP000044,BANK01,CP00023,real_estate,BE,347.33,347.33,F,high,,3,245.29,residential_multi,70.6,1982,13409,2023-11-22,358.61,1025.79,62401
COL00018,EXP000045,BANK01,CP00024,real_estate,DE,15.41,15.41,B,very_high,,4,10.9,mixed_use,70.7,2010,20755,2023-09-24,23.26,788.69,19290
COL00019,EXP000047,BANK01,CP00025,real_estate,ES,6.37,6.37,C,high,,3,4.6,office,72.2,1979,1111,2024-09-24,6.97,27.39,40434
COL00020,EXP000049,BANK01,CP00027,real_estate,PL,8.86,8.86,C,high,,3,4.52,logistics,51.0,2005,6313,2023-09-03,7.62,697.59,70939
COL00021,EXP000050,BANK01,CP00027,real_estate,IE,9.63,9.63,B,low,,1,6.33,mixed_use,65.7,2008,8735,2024-11-06,9.3,253.31,71844
COL00022,EXP000054,BANK01,CP00030,real_estate,NL,2323.48,2323.48,B,very_high,,5,1239.49,office,53.3,1973,3835,2024-04-15,2548.44,115.05,6166 ND
COL00023,EXP000060,BANK01,CP00031,real_estate,DE,1908.36,1908.36,B,medium,,2,906.52,retail,47.5,2023,12042,2023-08-01,1454.16,457.6,96313
COL00024,EXP000061,BANK01,CP00032,real_estate,BE,3.02,3.02,A,medium,,2,1.74,office,57.6,1986,22722,2024-03-05,2.83,193.14,47548
COL00025,EXP000063,BANK01,CP00032,real_estate,IT,3.03,3.03,F,high,,3,2.1,mixed_use,69.3,1982,21815,2024-08-03,3.6,2670.16,92710
COL00026,EXP000065,BANK01,CP00034,real_estate,NL,29.28,29.28,C,high,,3,16.87,retail,57.6,1960,5390,2024-06-18,28.83,274.89,9054 HS
COL00027,EXP000069,BANK01,CP00036,real_estate,AT,71.8,71.8,A,very_high,,4,40.65,office,56.6,1987,12156,2023-04-28,63.07,66.86,87598
COL00028,EXP000070,BANK01,CP00037,real_estate,LU,51.49,51.49,B,medium,,2,26.34,office,51.2,1994,9167,2024-05-08,50.93,82.5,72562
COL00029,EXP000071,BANK01,CP00037,real_estate,AT,25.48,25.48,E,very_high,,5,16.28,logistics,63.9,2023,14488,2024-06-08,28.29,541.85,89561
COL00030,EXP000074,BANK01,CP00039,real_estate,FR,12.65,12.65,B,very_high,,4,6.03,mixed_use,47.7,2010,3571,2024-08-20,11.8,18.57,60615
COL00031,EXP000078,BANK01,CP00040,real_estate,FI,1240.19,1240.19,B,very_high,,4,713.14,logistics,57.5,2014,19740,2023-10-06,1263.7,493.5,67816
COL00032,EXP000081,BANK01,CP00042,real_estate,PT,66.17,66.17,D,very_high,,5,31.39,retail,47.4,2017,5680,2023-02-04,48.87,355.0,39783
COL00033,EXP000082,BANK01,CP00042,real_estate,BE,51.41,51.41,C,low,,1,25.15,warehouse,48.9,2005,13251,2023-01-31,41.71,382.95,28511
COL00034,EXP000084,BANK01,CP00043,real_estate,BE,0.64,0.64,B,low,,1,0.47,industrial,73.4,2007,4952,2023-11-18,0.77,84.18,83183
COL00035,EXP000085,BANK01,CP00044,real_estate,NL,66.5,66.5,A,low,,1,44.56,retail,67.0,2001,7823,2024-07-29,72.06,117.34,8852 GW
COL00036,EXP000086,BANK01,CP00044,real_estate,FR,224.99,224.99,B,high,,3,161.56,industrial,71.8,1969,19007,2024-10-23,231.49,98.84,23369
COL00037,EXP000089,BANK01,CP00045,real_estate,ES,16.89,16.89,C,low,,1,12.56,industrial,74.4,1965,9192,2024-03-07,23.2,226.58,43388
COL00038,EXP000091,BANK01,CP00046,real_estate,NL,10.06,10.06,D,very_high,,4,6.12,warehouse,60.8,1996,784,2024-10-21,8.92,58.8,8772 ZC
COL00039,EXP000093,BANK01,CP00047,real_estate,IT,9.42,9.42,C,low,,1,4.58,industrial,48.6,1965,11255,2024-10-22,6.67,520.43,57683
COL00040,EXP000094,BANK01,CP00047,real_estate,FR,6.4,6.4,E,high,,3,3.28,residential_multi,51.2,2004,13318,2023-03-23,5.23,235.46,49553
COL00041,EXP000095,BANK01,CP00048,real_estate,PL,1.8,1.8,D,very_high,,4,1.15,residential_multi,63.9,2023,21207,2023-05-05,1.62,3446.14,21429
COL00042,EXP000098,BANK01,CP00048,real_estate,DE,1.9,1.9,B,medium,,2,1.45,mixed_use,76.3,2001,22731,2024-03-22,2.01,863.78,34999
COL00043,EXP000099,BANK01,CP00049,real_estate,FI,2.64,2.64,E,medium,,2,1.62,mixed_use,61.4,1960,22752,2023-02-23,2.33,1933.92,23049
COL00044,EXP000101,BANK01,CP00049,real_estate,BE,3.04,3.04,G,medium,,2,1.98,office,65.1,2008,9044,2024-12-16,2.88,922.49,44985
COL00045,EXP000103,BANK01,CP00051,real_estate,FR,21.13,21.13,C,high,,3,13.31,industrial,63.0,2012,21070,2024-04-02,25.68,186.26,84702
COL00046,EXP000104,BANK01,CP00051,real_estate,PL,24.22,24.22,B,medium,,2,12.78,residential_multi,52.8,2001,24148,2024-05-09,17.86,1569.62,34770
COL00047,EXP000106,BANK01,CP00053,real_estate,PT,4.71,4.71,C,high,,3,2.91,office,61.8,1991,21809,2024-10-24,4.79,926.88,22763
COL00048,EXP000107,BANK01,CP00054,real_estate,DE,9.48,9.48,A,medium,,2,7.0,residential_multi,73.8,1987,15540,2024-01-30,11.0,295.26,24507
COL00049,EXP000109,BANK01,CP00055,real_estate,ES,1301.26,1301.26,B,high,,3,655.4,warehouse,50.4,2000,10417,2024-12-26,1084.84,151.05,17447
COL00050,EXP000111,BANK01,CP00057,real_estate,IT,7.26,7.26,D,medium,,2,4.85,industrial,66.8,2017,20531,2024-06-09,9.38,1396.11,95721
COL00051,EXP000113,BANK01,CP00058,real_estate,IT,146.1,146.1,A,very_high,,4,100.91,residential_multi,69.1,1973,5026,2024-04-17,170.06,68.35,29056
COL00052,EXP000118,BANK01,CP00059,real_estate,ES,650.79,650.79,F,low,,1,422.57,industrial,64.9,2017,11732,2023-09-29,640.24,765.51,43768
COL00053,EXP000123,BANK01,CP00063,real_estate,ES,19.62,19.62,B,medium,,2,11.2,residential_multi,57.1,1966,14661,2023-10-07,17.65,212.58,19909
COL00054,EXP000124,BANK01,CP00063,real_estate,FR,20.51,20.51,C,high,,3,13.91,residential_multi,67.8,1982,19665,2023-10-10,22.06,173.84,72085
COL00055,EXP000125,BANK01,CP00064,real_estate,FR,885.89,885.89,C,low,,1,658.71,logistics,74.4,1974,7395,2023-04-28,945.58,65.37,27047
COL00056,EXP000126,BANK01,CP00064,real_estate,FR,515.41,515.41,C,low,,1,289.73,office,56.2,2011,13042,2024-02-07,532.07,115.29,04735
COL00057,EXP000130,BANK01,CP00066,real_estate,BE,293.47,293.47,B,low,,1,197.86,mixed_use,67.4,1996,24247,2023-01-04,307.83,412.2,85782
COL00058,EXP000131,BANK01,CP00066,real_estate,PT,295.8,295.8,E,high,,3,150.52,residential_multi,50.9,1990,5778,2023-11-19,210.22,491.13,63356
COL00059,EXP000133,BANK01,CP00067,real_estate,DE,8.72,8.72,C,low,,1,6.11,residential_multi,70.1,2020,14222,2023-12-09,9.28,918.74,50354
COL00060,EXP000137,BANK01,CP00069,real_estate,PL,287.65,287.65,E,high,,3,156.79,office,54.5,1960,16200,2023-09-11,241.77,3580.2,82968
COL00061,EXP000138,BANK01,CP00069,real_estate,PT,1392.13,1392.13,A,very_high,,4,635.28,logistics,45.6,1981,24939,2023-05-31,1097.22,311.74,92811
COL00062,EXP000139,BANK01,CP00069,real_estate,AT,1025.97,1025.97,E,medium,,2,600.91,retail,58.6,1992,21938,2024-05-13,953.49,820.48,81006
COL00063,EXP000140,BANK01,CP00070,real_estate,FI,1715.05,1715.05,E,high,,3,884.44,retail,51.6,2021,3894,2023-10-04,1293.86,330.99,68380
COL00064,EXP000144,BANK01,CP00072,real_estate,PL,1800.86,1800.86,G,medium,,2,1201.99,mixed_use,66.7,2005,16512,2023-02-01,2568.91,6439.68,48640
COL00065,EXP000147,BANK01,CP00073,real_estate,IT,51.68,51.68,E,high,,3,24.28,industrial,47.0,1973,9175,2024-10-03,41.67,848.5,03201
COL00066,EXP000149,BANK01,CP00074,real_estate,LU,10.45,10.45,G,high,,3,7.17,warehouse,68.6,2004,11052,2024-02-05,11.57,596.81,71176
COL00067,EXP000153,BANK01,CP00075,real_estate,IT,320.2,320.2,B,high,,3,181.1,warehouse,56.6,1975,14403,2024-04-10,332.07,391.76,74440
COL00068,EXP000155,BANK01,CP00077,real_estate,BE,26.8,26.8,B,high,,3,15.32,office,57.2,2019,22512,2023-06-03,26.46,382.7,48466
COL00069,EXP000156,BANK01,CP00077,real_estate,IT,34.86,34.86,D,low,,1,22.16,industrial,63.6,1997,710,2024-04-09,36.16,48.28,77590
COL00070,EXP000157,BANK01,CP00077,real_estate,DE,74.47,74.47,D,low,,1,42.81,office,57.5,2005,21835,2023-01-01,59.51,2074.32,55017
COL00071,EXP000158,BANK01,CP00078,real_estate,BE,1.66,1.66,F,medium,,2,0.8,mixed_use,48.2,1979,3018,2024-12-31,1.21,230.88,71913
COL00072,EXP000161,BANK01,CP00080,real_estate,DE,582.29,582.29,D,high,,3,372.85,office,64.0,2005,8350,2024-11-25,544.3,793.25,93754
COL00073,EXP000163,BANK01,CP00081,real_estate,LU,90.4,90.4,G,high,,3,42.97,office,47.5,1999,5878,2024-07-31,71.2,317.41,28442
COL00074,EXP000168,BANK01,CP00084,real_estate,NL,1422.48,1422.48,E,medium,,2,1000.25,retail,70.3,1998,10194,2023-03-29,1474.29,1039.79,1562 KH
COL00075,EXP000170,BANK01,CP00085,real_estate,ES,12.34,12.34,B,high,,3,5.91,mixed_use,47.9,1977,17454,2024-03-28,10.32,253.08,29195
COL00076,EXP000171,BANK01,CP00086,real_estate,IT,60.44,60.44,D,low,,1,35.11,retail,58.1,2013,13643,2024-04-17,58.65,927.72,78181
COL00077,EXP000174,BANK01,CP00086,real_estate,IE,175.56,175.56,E,high,,3,82.96,warehouse,47.3,2007,4370,2024-09-27,145.87,430.88,82362
COL00078,EXP000178,BANK01,CP00088,real_estate,BE,272.25,272.25,E,very_high,,4,192.63,residential_multi,70.8,2019,17174,2024-04-16,268.34,992.66,74118
COL00079,EXP000179,BANK01,CP00088,real_estate,NL,688.26,688.26,C,high,,3,492.9,logistics,71.6,1997,18728,2024-05-08,843.12,955.13,3290 DT
COL00080,EXP000181,BANK01,CP00089,real_estate,DE,101.1,101.1,D,high,,3,51.44,warehouse,50.9,1986,17116,2023-05-28,83.83,1626.02,88890
