certificate_id,bank_id,reporting_year,volume_mwh,certificate_type,registry,energy_source,country_of_generation,issuing_registry,issue_date,expiry_date,cancellation_date,associated_facility_ids,price_eur_per_mwh
REC-BANK03-2024-0004,BANK03,2024,1961.5,GO,,wind_onshore,IT,EECS,2024-10-22,2025-10-22,2025-04-17,"FAC0064,FAC0063",7.3
REC-BANK04-2022-0001,BANK04,2022,585.4,GO,,solar,NL,APX,2022-01-05,2023-01-05,2022-10-19,"FAC0065,FAC0070",4.34
REC-BANK04-2022-0002,BANK04,2022,585.4,PPA,,solar,NL,APX,2022-04-07,2023-04-07,2022-12-08,"FAC0067,FAC0065",
REC-BANK04-2022-0003,BANK04,2022,585.4,PPA,,solar,NL,APX,2022-07-28,2023-07-28,2022-12-14,"FAC0070,FAC0066,FAC0065,FAC0068",
REC-BANK04-2022-0004,BANK04,2022,585.4,PPA,,wind_offshore,NL,APX,2022-10-12,2023-10-12,2023-03-04,"FAC0065,FAC0070,FAC0068",1.54
REC-BANK04-2023-0001,BANK04,2023,562.2,GO,,solar,NL,APX,2023-01-07,2024-01-07,2023-04-06,FAC0067,
REC-BANK04-2023-0002,BANK04,2023,562.2,GO,,wind_offshore,NL,APX,2023-04-03,2024-04-02,2023-10-12,"FAC0067,FAC0068",
REC-BANK04-2023-0003,BANK04,2023,562.2,GO,,wind_onshore,NL,APX,2023-07-16,2024-07-15,,"FAC0065,FAC0067,FAC0068",2.01
REC-BANK04-2023-0004,BANK04,2023,562.2,PPA,,wind_onshore,NL,APX,2023-10-06,2024-10-05,2024-04-09,"FAC0070,FAC0069,FAC0066",
REC-BANK04-2024-0001,BANK04,2024,540.4,GO,,hydro,NL,APX,2024-01-22,2025-01-21,,"FAC0070,FAC0068,FAC0066,FAC0065",
REC-BANK04-2024-0002,BANK04,2024,540.4,GO,,hydro,NL,APX,2024-04-14,2025-04-14,2024-09-16,"FAC0070,FAC0066,FAC0067,FAC0069",2.81
REC-BANK04-2024-0003,BANK04,2024,540.4,GO,,hydro,NL,APX,2024-07-01,2025-07-01,2024-08-29,"FAC0066,FAC0069",
REC-BANK04-2024-0004,BANK04,2024,540.4,GO,,geothermal,NL,APX,2024-10-12,2025-10-12,2025-06-08,FAC0068,7.11
