exposure_id,bank_id,counterparty_id,product_type,outstanding_amount_meur,committed_amount_meur,pcaf_asset_class,origination_date,maturity_date,currency,interest_rate_pct,stage,eu_taxonomy_aligned,undrawn_amount_meur,green_label_flag,green_taxonomy,origination_property_value_meur,total_project_cost_meur,has_control,instrument_type
EXP000045,BANK01,CP00024,term_loan,10.9,14.86,business_loan,2021-03-15,2024-03-14,EUR,2.95,stage_1,False,3.96,False,,,,,
EXP000046,BANK01,CP00024,corporate_bond,8.3,9.69,business_loan,2018-06-02,2023-06-01,EUR,6.69,stage_2,False,1.39,False,,,,,
EXP000047,BANK01,CP00025,mortgage,4.6,6.21,commercial_re,2020-02-03,2027-02-01,EUR,2.55,stage_1,False,1.61,False,,11.37,,,
EXP000048,BANK01,CP00026,term_loan,50.53,60.51,business_loan,2024-02-04,2039-01-31,EUR,7.19,stage_2,False,9.98,False,,,,,
EXP000049,BANK01,CP00027,term_loan,4.52,5.69,business_loan,2019-10-28,2029-10-25,EUR,6.09,stage_1,False,1.17,False,,,,,
EXP000050,BANK01,CP00027,term_loan,6.33,7.88,business_loan,2020-03-02,2025-03-01,EUR,5.69,stage_1,False,1.55,False,,,,,
EXP000051,BANK01,CP00028,revolving_credit,116.7,162.53,business_loan,2019-01-26,2024-01-25,EUR,4.89,stage_2,False,45.83,False,,,,,
EXP000052,BANK01,CP00028,revolving_credit,40.94,56.56,business_loan,2023-01-04,2030-01-02,EUR,4.01,stage_1,False,15.62,False,,,,,
EXP000053,BANK01,CP00029,corporate_bond,32.88,39.0,business_loan,2018-09-12,2021-09-11,EUR,3.3,stage_1,False,6.12,False,,,,,
EXP000054,BANK01,CP00030,mortgage,1239.49,1421.72,commercial_re,2019-04-26,2026-04-24,EUR,3.6,stage_2,False,182.23,False,,2507.01,,,
EXP000055,BANK01,CP00030,revolving_credit,757.99,884.07,business_loan,2024-10-17,2031-10-16,EUR,5.25,stage_1,False,126.08,False,,,,,
EXP000056,BANK01,CP00030,corporate_bond,827.74,1053.0,business_loan,2020-06-13,2025-06-12,EUR,5.48,stage_1,False,225.26,False,,,,,
EXP000057,BANK01,CP00030,revolving_credit,813.62,1112.14,business_loan,2022-01-21,2025-01-20,EUR,3.06,stage_1,False,298.52,False,,,,,
EXP000058,BANK01,CP00031,revolving_credit,536.27,719.56,business_loan,2019-11-05,2026-11-03,EUR,4.71,stage_1,False,183.29,False,,,,,
EXP000059,BANK01,CP00031,revolving_credit,1284.74,1700.32,business_loan,2023-09-22,2033-09-19,EUR,4.77,stage_1,False,415.58,False,,,,,
EXP000060,BANK01,CP00031,term_loan,906.52,1168.79,business_loan,2023-03-09,2030-03-07,EUR,4.48,stage_1,False,262.27,False,,,,,
EXP000061,BANK01,CP00032,term_loan,1.74,2.12,business_loan,2021-11-12,2024-11-11,EUR,2.8,stage_2,False,0.38,False,,,,,
EXP000062,BANK01,CP00032,revolving_credit,2.7,2.89,business_loan,2021-03-21,2031-03-19,EUR,3.18,stage_1,False,0.19,False,,,,,
EXP000063,BANK01,CP00032,green_loan,2.1,2.48,business_loan,2022-03-14,2032-03-11,EUR,7.09,stage_1,True,0.38,True,ICMA_GBP,,,,
EXP000064,BANK01,CP00033,mortgage,2.78,2.91,mortgage,2019-06-29,2026-06-27,EUR,7.46,stage_1,False,0.13,False,,4.24,,,
EXP000065,BANK01,CP00034,mortgage,16.87,19.99,commercial_re,2018-04-04,2025-04-02,EUR,6.1,stage_1,False,3.12,False,,27.71,,,
EXP000066,BANK01,CP00035,revolving_credit,1.49,1.6,business_loan,2019-09-28,2026-09-26,EUR,6.88,stage_1,False,0.11,False,,,,,
EXP000067,BANK01,CP00035,corporate_bond,0.75,0.82,business_loan,2024-11-23,2027-11-23,EUR,2.84,stage_1,False,0.07,False,,,,,
EXP000068,BANK01,CP00036,mortgage,33.09,38.41,mortgage,2020-09-29,2023-09-29,EUR,3.67,stage_1,False,5.32,False,,57.34,,,
EXP000069,BANK01,CP00036,term_loan,40.65,44.46,business_loan,2023-08-26,2030-08-24,EUR,7.08,stage_1,False,3.81,False,,,,,
EXP000070,BANK01,CP00037,mortgage,26.34,35.57,commercial_re,2020-08-28,2027-08-27,EUR,7.43,stage_1,False,9.23,False,,43.7,,,
EXP000071,BANK01,CP00037,term_loan,16.28,22.01,business_loan,2024-03-30,2039-03-27,EUR,7.06,stage_1,False,5.73,False,,,,,
EXP000072,BANK01,CP00038,green_loan,86.45,97.47,mortgage,2022-04-11,2037-04-07,EUR,4.58,stage_1,True,11.02,True,EU_Taxonomy,143.72,,,
EXP000073,BANK01,CP00038,corporate_bond,70.89,94.97,business_loan,2023-04-24,2028-04-22,EUR,4.0,stage_1,False,24.08,False,,,,,
EXP000074,BANK01,CP00039,project_finance,6.03,7.31,project_finance,2022-09-03,2037-08-30,EUR,4.44,stage_1,False,1.28,False,,,21.63,False,project_loan
EXP000075,BANK01,CP00039,term_loan,2.77,2.87,business_loan,2023-01-17,2030-01-15,EUR,6.12,stage_1,False,0.1,False,,,,,
EXP000076,BANK01,CP00039,corporate_bond,2.43,3.28,business_loan,2024-10-05,2027-10-05,EUR,3.44,stage_1,False,0.85,False,,,,,
EXP000077,BANK01,CP00040,revolving_credit,458.38,633.85,business_loan,2021-09-25,2028-09-23,EUR,2.58,stage_2,False,175.47,False,,,,,
EXP000078,BANK01,CP00040,term_loan,713.14,911.57,business_loan,2023-05-16,2028-05-14,EUR,6.02,stage_1,False,198.43,False,,,,,
EXP000079,BANK01,CP00041,term_loan,730.53,920.09,business_loan,2023-03-25,2038-03-21,EUR,4.04,stage_1,False,189.56,False,,,,,
EXP000080,BANK01,CP00042,mortgage,27.24,37.2,mortgage,2023-04-08,2030-04-06,EUR,4.35,stage_1,False,9.96,False,,47.15,,,
EXP000081,BANK01,CP00042,term_loan,31.39,34.66,business_loan,2019-08-21,2022-08-20,EUR,7.17,stage_1,False,3.27,False,,,,,
EXP000082,BANK01,CP00042,term_loan,25.15,28.97,business_loan,2021-09-13,2026-09-12,EUR,6.67,stage_1,False,3.82,False,,,,,
EXP000083,BANK01,CP00043,term_loan,1.3,1.54,business_loan,2023-06-25,2033-06-22,EUR,6.16,stage_1,False,0.24,False,,,,,
EXP000084,BANK01,CP00043,project_finance,0.47,0.66,project_finance,2020-01-24,2035-01-20,EUR,7.29,stage_1,False,0.19,False,,,1.81,False,project_loan
EXP000085,BANK01,CP00044,mortgage,44.56,51.91,commercial_re,2018-07-18,2021-07-17,EUR,6.71,stage_1,False,7.35,False,,73.13,,,
EXP000086,BANK01,CP00044,term_loan,161.56,185.68,business_loan,2023-09-03,2033-08-31,EUR,5.59,stage_1,False,24.12,False,,,,,
EXP000087,BANK01,CP00044,revolving_credit,144.8,145.18,business_loan,2023-06-22,2026-06-21,EUR,5.26,stage_1,False,0.38,False,,,,,
EXP000088,BANK01,CP00045,green_loan,5.15,6.83,mortgage,2018-03-12,2033-03-08,EUR,5.87,stage_1,True,1.68,True,LMA_GLP,9.25,,,
EXP000089,BANK01,CP00045,term_loan,12.56,13.31,business_loan,2019-01-30,2034-01-26,EUR,3.46,stage_1,False,0.75,False,,,,,
EXP000090,BANK01,CP00046,revolving_credit,5.69,6.73,business_loan,2022-03-09,2032-03-06,EUR,3.72,stage_1,False,1.04,False,,,,,
EXP000091,BANK01,CP00046,mortgage,6.12,6.35,commercial_re,2018-11-27,2021-11-26,EUR,4.4,stage_1,False,0.23,False,,10.41,,,
EXP000092,BANK01,CP00046,term_loan,2.92,3.5,business_loan,2019-12-03,2022-12-02,EUR,4.67,stage_1,False,0.58,False,,,,,
EXP000093,BANK01,CP00047,term_loan,4.58,5.0,business_loan,2023-12-04,2026-12-03,EUR,7.01,stage_1,False,0.42,False,,,,,
EXP000094,BANK01,CP00047,term_loan,3.28,4.46,business_loan,2018-11-01,2025-10-30,EUR,5.32,stage_1,False,1.18,False,,,,,
EXP000095,BANK01,CP00048,green_loan,1.15,1.5,mortgage,2024-08-01,2029-07-31,EUR,6.06,stage_1,True,0.35,True,EU_Taxonomy,1.91,,,
EXP000096,BANK01,CP00048,term_loan,0.58,0.77,business_loan,2020-09-11,2035-09-08,EUR,4.45,stage_2,False,0.19,False,,,,,
EXP000097,BANK01,CP00048,corporate_bond,1.2,1.44,business_loan,2019-07-28,2022-07-27,EUR,7.37,stage_1,False,0.24,False,,,,,
EXP000098,BANK01,CP00048,mortgage,1.45,1.9,commercial_re,2021-10-27,2036-10-23,EUR,7.27,stage_1,False,0.45,False,,2.12,,,
EXP000099,BANK01,CP00049,term_loan,1.62,1.77,business_loan,2023-01-20,2033-01-17,EUR,5.27,stage_1,False,0.15,False,,,,,
EXP000100,BANK01,CP00049,project_finance,2.91,3.81,project_finance,2022-04-06,2025-04-05,EUR,3.98,stage_1,False,0.9,False,,,10.02,False,project_loan
EXP000101,BANK01,CP00049,term_loan,1.98,2.57,business_loan,2022-04-06,2027-04-05,EUR,4.08,stage_1,False,0.59,False,,,,,
EXP000102,BANK01,CP00050,revolving_credit,35.43,37.31,business_loan,2021-01-09,2024-01-09,EUR,3.44,stage_1,False,1.88,False,,,,,
EXP000103,BANK01,CP00051,term_loan,13.31,13.81,business_loan,2021-12-20,2036-12-16,EUR,5.49,stage_1,False,0.5,False,,,,,
EXP000104,BANK01,CP00051,term_loan,12.78,16.49,business_loan,2022-05-08,2025-05-07,EUR,5.3,stage_3,False,3.71,False,,,,,
EXP000105,BANK01,CP00052,corporate_bond,663.4,734.76,business_loan,2019-11-26,2024-11-24,EUR,3.84,stage_1,False,71.36,False,,,,,
EXP000106,BANK01,CP00053,term_loan,2.91,3.2,business_loan,2018-11-12,2025-11-10,EUR,3.73,stage_1,False,0.29,False,,,,,
EXP000107,BANK01,CP00054,term_loan,7.0,9.66,business_loan,2021-06-01,2024-05-31,EUR,4.16,stage_1,False,2.66,False,,,,,
EXP000108,BANK01,CP00054,revolving_credit,18.75,24.87,business_loan,2021-10-03,2031-10-01,EUR,6.8,stage_3,False,6.12,False,,,,,
EXP000109,BANK01,CP00055,green_loan,655.4,737.77,commercial_re,2020-04-02,2030-03-31,EUR,7.32,stage_2,True,82.37,True,LMA_GLP,1060.52,,,
EXP000110,BANK01,CP00056,revolving_credit,126.66,143.17,business_loan,2024-06-16,2029-06-15,EUR,3.9,stage_1,False,16.51,False,,,,,
EXP000111,BANK01,CP00057,term_loan,4.85,6.17,business_loan,2024-02-13,2029-02-11,EUR,5.25,stage_2,False,1.32,False,,,,,
EXP000112,BANK01,CP00057,corporate_bond,2.77,3.69,business_loan,2022-12-01,2029-11-29,EUR,2.85,stage_1,False,0.92,False,,,,,
EXP000113,BANK01,CP00058,term_loan,100.91,111.11,business_loan,2021-05-25,2026-05-24,EUR,3.27,stage_1,False,10.2,False,,,,,
EXP000114,BANK01,CP00058,revolving_credit,65.34,80.56,business_loan,2024-09-15,2034-09-13,EUR,5.17,stage_2,False,15.22,False,,,,,
EXP000115,BANK01,CP00058,revolving_credit,124.54,159.49,business_loan,2018-05-31,2025-05-29,EUR,6.56,stage_1,False,34.95,False,,,,,
EXP000116,BANK01,CP00059,term_loan,127.69,160.74,business_loan,2021-12-25,2026-12-24,EUR,2.72,stage_3,False,33.05,False,,,,,
EXP000117,BANK01,CP00059,revolving_credit,390.47,407.02,business_loan,2021-09-20,2031-09-18,EUR,2.99,stage_1,False,16.55,False,,,,,
EXP000118,BANK01,CP00059,project_finance,422.57,497.92,project_finance,2024-06-14,2029-06-13,EUR,4.46,stage_1,False,75.35,False,,,1246.91,True,project_equity
EXP000119,BANK01,CP00059,revolving_credit,349.36,416.82,business_loan,2021-11-13,2024-11-12,EUR,3.98,stage_2,False,67.46,False,,,,,
EXP000120,BANK01,CP00060,corporate_bond,251.16,285.63,listed_equity,2021-11-27,2028-11-25,EUR,6.42,stage_1,False,34.47,False,,,,,
EXP000121,BANK01,CP00061,corporate_bond,47.02,48.28,listed_equity,2023-01-28,2030-01-26,EUR,2.72,stage_1,False,1.26,False,,,,,
EXP000122,BANK01,CP00062,term_loan,1.85,2.23,business_loan,2019-11-05,2024-11-03,EUR,5.26,stage_1,False,0.38,False,,,,,
EXP000123,BANK01,CP00063,mortgage,11.2,14.07,mortgage,2020-01-26,2025-01-24,EUR,4.66,stage_1,False,2.87,False,,15.76,,,
EXP000124,BANK01,CP00063,term_loan,13.91,16.07,business_loan,2024-08-22,2034-08-20,EUR,6.02,stage_1,False,2.16,False,,,,,
EXP000125,BANK01,CP00064,term_loan,658.71,707.97,business_loan,2019-02-21,2034-02-17,EUR,4.13,stage_1,False,49.26,False,,,,,
EXP000126,BANK01,CP00064,mortgage,289.73,358.91,commercial_re,2023-12-02,2030-11-30,EUR,5.56,stage_1,False,69.18,False,,491.5,,,
EXP000127,BANK01,CP00064,mortgage,347.52,460.64,mortgage,2024-12-03,2029-12-02,EUR,6.03,stage_1,False,113.12,False,,549.99,,,
EXP000128,BANK01,CP00065,term_loan,1.16,1.3,business_loan,2019-04-28,2024-04-26,EUR,3.42,stage_1,False,0.14,False,,,,,
EXP000129,BANK01,CP00065,revolving_credit,3.13,3.61,business_loan,2019-07-19,2034-07-15,EUR,3.43,stage_1,False,0.48,False,,,,,
EXP000130,BANK01,CP00066,green_loan,197.86,236.61,business_loan,2024-03-22,2029-03-21,EUR,3.2,stage_1,True,38.75,True,ICMA_GBP,,,,
EXP000131,BANK01,CP00066,term_loan,150.52,179.7,business_loan,2022-01-10,2025-01-09,EUR,3.48,stage_1,False,29.18,False,,,,,
EXP000132,BANK01,CP00067,revolving_credit,6.84,8.78,business_loan,2023-07-08,2033-07-05,EUR,4.72,stage_1,False,1.94,False,,,,,
EXP000133,BANK01,CP00067,mortgage,6.11,6.19,mortgage,2020-06-22,2027-06-21,EUR,3.62,stage_1,False,0.08,False,,8.69,,,
EXP000134,BANK01,CP00068,mortgage,414.56,499.26,mortgage,2023-07-22,2038-07-18,EUR,5.36,stage_1,False,84.7,False,,678.76,,,
EXP000135,BANK01,CP00068,green_loan,401.8,523.95,business_loan,2024-01-30,2027-01-29,EUR,4.71,stage_1,True,122.15,True,LMA_GLP,,,,
EXP000136,BANK01,CP00068,corporate_bond,335.03,452.27,business_loan,2020-10-10,2027-10-09,EUR,2.66,stage_1,False,117.24,False,,,,,
EXP000137,BANK01,CP00069,mortgage,156.79,169.95,commercial_re,2019-04-26,2024-04-24,EUR,6.19,stage_1,False,13.16,False,,237.0,,,
EXP000138,BANK01,CP00069,project_finance,635.28,791.85,project_finance,2022-10-20,2027-10-19,EUR,6.42,stage_1,False,156.57,False,,,1032.5,True,project_equity
EXP000139,BANK01,CP00069,project_finance,600.91,744.37,project_finance,2023-12-21,2030-12-19,EUR,3.34,stage_3,False,143.46,False,,,1248.48,False,project_loan
EXP000140,BANK01,CP00070,green_loan,884.44,932.41,commercial_re,2023-10-09,2026-10-08,EUR,6.25,stage_1,True,47.97,True,ICMA_GBP,1294.83,,,
EXP000141,BANK01,CP00071,corporate_bond,6.58,6.96,business_loan,2019-06-28,2024-06-26,EUR,4.11,stage_1,False,0.38,False,,,,,
EXP000142,BANK01,CP00072,term_loan,649.26,746.69,business_loan,2021-01-05,2031-01-03,EUR,2.88,stage_1,False,97.43,False,,,,,
EXP000143,BANK01,CP00072,revolving_credit,1085.89,1283.39,business_loan,2021-02-13,2028-02-12,EUR,4.94,stage_1,False,197.5,False,,,,,
EXP000144,BANK01,CP00072,mortgage,1201.99,1507.22,commercial_re,2019-01-17,2029-01-14,EUR,5.99,stage_2,False,305.23,False,,2167.67,,,
EXP000145,BANK01,CP00073,green_loan,17.29,19.15,business_loan,2020-05-17,2030-05-15,EUR,6.64,stage_1,True,1.86,True,LMA_GLP,,,,
EXP000146,BANK01,CP00073,project_finance,22.81,30.97,project_finance,2023-06-11,2030-06-09,EUR,6.31,stage_1,False,8.16,False,,,57.92,False,project_loan
EXP000147,BANK01,CP00073,mortgage,24.28,33.31,commercial_re,2018-03-08,2021-03-07,EUR,3.29,stage_1,False,9.03,False,,37.46,,,
EXP000148,BANK01,CP00074,green_loan,5.19,5.52,mortgage,2019-06-25,2026-06-23,EUR,7.16,stage_1,True,0.33,True,EU_Taxonomy,9.3,,,
EXP000149,BANK01,CP00074,term_loan,7.17,7.32,business_loan,2022-03-04,2027-03-03,EUR,5.63,stage_1,False,0.15,False,,,,,
EXP000150,BANK01,CP00074,revolving_credit,8.05,8.05,business_loan,2019-01-09,2022-01-08,EUR,4.88,stage_1,False,0.0,False,,,,,
EXP000151,BANK01,CP00074,corporate_bond,3.43,4.38,business_loan,2018-02-08,2021-02-07,EUR,6.59,stage_3,False,0.95,False,,,,,
EXP000152,BANK01,CP00075,term_loan,51.66,66.76,business_loan,2022-04-19,2025-04-18,EUR,3.01,stage_1,False,15.1,False,,,,,
EXP000153,BANK01,CP00075,term_loan,181.1,186.06,business_loan,2019-06-30,2024-06-28,EUR,5.32,stage_1,False,4.96,False,,,,,
EXP000154,BANK01,CP00076,term_loan,76.56,95.43,business_loan,2019-09-13,2029-09-10,EUR,4.71,stage_1,False,18.87,False,,,,,
EXP000155,BANK01,CP00077,term_loan,15.32,21.22,business_loan,2022-04-22,2029-04-20,EUR,4.07,stage_1,False,5.9,False,,,,,
EXP000156,BANK01,CP00077,term_loan,22.16,27.48,business_loan,2024-03-16,2039-03-13,EUR,5.54,stage_1,False,5.32,False,,,,,
EXP000157,BANK01,CP00077,mortgage,42.81,51.68,commercial_re,2021-05-20,2026-05-19,EUR,5.05,stage_1,False,8.87,False,,61.13,,,
EXP000158,BANK01,CP00078,mortgage,0.8,0.92,commercial_re,2020-09-07,2030-09-05,EUR,3.71,stage_1,False,0.12,False,,1.31,,,
EXP000159,BANK01,CP00079,term_loan,111.45,117.33,business_loan,2022-01-19,2029-01-17,EUR,6.8,stage_1,False,5.88,False,,,,,
EXP000160,BANK01,CP00080,corporate_bond,290.82,359.15,listed_equity,2018-10-26,2021-10-25,EUR,2.57,stage_1,False,68.33,False,,,,,
EXP000161,BANK01,CP00080,green_loan,372.85,415.58,commercial_re,2022-06-19,2037-06-15,EUR,6.06,stage_1,True,42.73,True,EU_Taxonomy,569.67,,,
EXP000162,BANK01,CP00081,corporate_bond,22.48,23.85,business_loan,2024-01-12,2039-01-08,EUR,2.92,stage_1,False,1.37,False,,,,,
EXP000163,BANK01,CP00081,green_loan,42.97,48.59,commercial_re,2019-09-29,2034-09-25,EUR,5.43,stage_1,True,5.62,True,ICMA_GBP,77.19,,,
EXP000164,BANK01,CP00082,revolving_credit,8.65,8.85,business_loan,2022-11-27,2027-11-26,EUR,2.93,stage_1,False,0.2,False,,,,,
EXP000165,BANK01,CP00082,project_finance,6.62,6.94,project_finance,2021-06-20,2026-06-19,EUR,6.04,stage_1,False,0.32,False,,,11.83,False,project_loan
EXP000166,BANK01,CP00083,revolving_credit,301.74,346.62,business_loan,2020-11-27,2025-11-26,EUR,6.25,stage_2,False,44.88,False,,,,,
EXP000167,BANK01,CP00084,mortgage,383.14,424.82,mortgage,2021-10-04,2031-10-02,EUR,2.82,stage_1,False,41.68,False,,709.99,,,
EXP000168,BANK01,CP00084,term_loan,1000.25,1144.34,business_loan,2023-02-08,2038-02-04,EUR,5.0,stage_1,False,144.09,False,,,,,
EXP000169,BANK01,CP00084,term_loan,719.05,912.94,business_loan,2019-02-26,2034-02-22,EUR,3.08,stage_1,False,193.89,False,,,,,
EXP000170,BANK01,CP00085,term_loan,5.91,6.77,business_loan,2018-07-08,2028-07-05,EUR,7.1,stage_1,False,0.86,False,,,,,
EXP000171,BANK01,CP00086,mortgage,35.11,39.63,commercial_re,2022-09-14,2027-09-13,EUR,4.58,stage_1,False,4.52,False,,58.52,,,
EXP000172,BANK01,CP00086,term_loan,76.11,91.39,business_loan,2022-03-08,2025-03-07,EUR,7.01,stage_1,False,15.28,False,,,,,
EXP000173,BANK01,CP00086,green_loan,168.75,227.95,business_loan,2022-07-01,2025-06-30,EUR,6.83,stage_1,True,59.2,True,ICMA_GBP,,,,
EXP000174,BANK01,CP00086,term_loan,82.96,95.2,business_loan,2023-02-14,2026-02-13,EUR,3.96,stage_1,False,12.24,False,,,,,
EXP000175,BANK01,CP00087,revolving_credit,2.07,2.68,business_loan,2023-07-14,2028-07-12,EUR,5.23,stage_1,False,0.61,False,,,,,
EXP000176,BANK01,CP00087,green_loan,1.61,1.96,business_loan,2018-04-08,2023-04-07,EUR,5.68,stage_1,True,0.35,True,ICMA_GBP,,,,
EXP000177,BANK01,CP00087,revolving_credit,0.89,0.93,business_loan,2022-03-22,2029-03-20,EUR,5.15,stage_1,False,0.04,False,,,,,
EXP000178,BANK01,CP00088,green_loan,192.63,196.01,mortgage,2021-02-20,2024-02-20,EUR,3.66,stage_1,True,3.38,True,EU_Taxonomy,278.03,,,
