meeting_id,committee_name,meeting_date,climate_agenda_flag,climate_topics_discussed,decision_summary,bank_id,committee_type,reporting_year,quorum_reached,members_present,decision_made_flag,ifrs_s2_para_evidence
MTG-BANK01-FB-2023-002,Full Board,2023-04-25,True,green_finance_growth|exec_remuneration_esg_kpis|carbon_credit_approval,Endorsed net-zero interim target revision,BANK01,full_board,2023,True,9,True,§6(a)(iii)
MTG-BANK01-FB-2023-003,Full Board,2023-07-11,True,transition_plan_review,,BANK01,full_board,2023,True,8,False,§6(a)(iii)
MTG-BANK01-FB-2023-004,Full Board,2023-10-30,True,exec_remuneration_esg_kpis|green_finance_growth|transition_plan_review,Endorsed net-zero interim target revision,BANK01,full_board,2023,True,9,True,§6(a)(iii)
MTG-BANK01-FB-2023-005,Full Board,2023-11-16,True,scenario_analysis|transition_plan_review,Approved carbon credit procurement budget,BANK01,full_board,2023,True,10,True,§6(a)(iii)
MTG-BANK01-FB-2023-006,Full Board,2023-03-20,False,,,BANK01,full_board,2023,True,9,False,§6(a)(iii)
MTG-BANK01-FB-2023-007,Full Board,2023-10-19,True,net_zero_progress,Approved carbon credit procurement budget,BANK01,full_board,2023,True,10,True,§6(a)(iii)
MTG-BANK01-ESG-2023-008,ESG & Sustainability Committee,2023-12-22,True,carbon_credit_approval|physical_risk_update,Approved 2024 ESG report for publication,BANK01,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK01-ESG-2023-009,ESG & Sustainability Committee,2023-07-10,True,net_zero_progress|scenario_analysis|tcfd_review,,BANK01,esg_committee,2023,False,5,False,§6(a)(iii)
MTG-BANK01-ESG-2023-010,ESG & Sustainability Committee,2023-04-17,True,exec_remuneration_esg_kpis|carbon_credit_approval|physical_risk_update|tcfd_review,Approved climate scenario analysis methodology,BANK01,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK01-ESG-2023-011,ESG & Sustainability Committee,2023-09-04,True,physical_risk_update|transition_plan_review|tcfd_review,,BANK01,esg_committee,2023,True,5,False,§6(a)(iii)
MTG-BANK01-ESG-2023-012,ESG & Sustainability Committee,2023-08-18,True,exec_remuneration_esg_kpis|transition_plan_review|green_finance_growth|scenario_analysis,,BANK01,esg_committee,2023,True,5,False,§6(a)(iii)
MTG-BANK01-ESG-2023-013,ESG & Sustainability Committee,2023-09-25,True,green_finance_growth|scenario_analysis|tcfd_review|carbon_credit_approval,Endorsed updated transition plan,BANK01,esg_committee,2023,True,5,True,§6(a)(v)
MTG-BANK01-FB-2024-001,Full Board,2024-01-24,True,transition_plan_review|carbon_credit_approval,Approved 2024 ESG report for publication,BANK01,full_board,2024,True,9,True,§6(a)(v)
MTG-BANK01-FB-2024-002,Full Board,2024-04-12,True,tcfd_review,,BANK01,full_board,2024,True,9,False,§6(a)(iii)
MTG-BANK01-FB-2024-003,Full Board,2024-07-17,True,transition_plan_review,Approved climate scenario analysis methodology,BANK01,full_board,2024,True,10,True,§6(a)(iii)
MTG-BANK01-FB-2024-004,Full Board,2024-10-07,True,tcfd_review|green_finance_growth,Endorsed updated transition plan,BANK01,full_board,2024,True,10,True,§6(a)(iii)
MTG-BANK01-FB-2024-005,Full Board,2024-11-04,True,tcfd_review,,BANK01,full_board,2024,True,10,False,§6(a)(iii)
MTG-BANK01-FB-2024-006,Full Board,2024-03-18,True,tcfd_review|green_finance_growth|exec_remuneration_esg_kpis,,BANK01,full_board,2024,False,10,False,§6(a)(iii)
MTG-BANK01-FB-2024-007,Full Board,2024-11-01,True,net_zero_progress,Endorsed net-zero interim target revision,BANK01,full_board,2024,True,6,True,§6(a)(iii)
MTG-BANK01-FB-2024-008,Full Board,2024-11-26,True,exec_remuneration_esg_kpis|physical_risk_update,Approved carbon credit procurement budget,BANK01,full_board,2024,True,10,True,§6(a)(iii)
MTG-BANK01-ESG-2024-009,ESG & Sustainability Committee,2024-07-19,True,transition_plan_review|scenario_analysis,Approved carbon credit procurement budget,BANK01,esg_committee,2024,True,5,True,§6(a)(v)
MTG-BANK01-ESG-2024-010,ESG & Sustainability Committee,2024-04-15,True,physical_risk_update|tcfd_review|transition_plan_review,Approved carbon credit procurement budget,BANK01,esg_committee,2024,True,5,True,§6(a)(v)
MTG-BANK01-ESG-2024-011,ESG & Sustainability Committee,2024-04-15,True,tcfd_review|physical_risk_update,Approved climate scenario analysis methodology,BANK01,esg_committee,2024,True,5,True,§6(a)(v)
MTG-BANK01-ESG-2024-012,ESG & Sustainability Committee,2024-08-29,True,tcfd_review|exec_remuneration_esg_kpis,Approved climate scenario analysis methodology,BANK01,esg_committee,2024,True,4,True,§6(a)(v)
MTG-BANK01-ESG-2024-013,ESG & Sustainability Committee,2024-07-15,True,exec_remuneration_esg_kpis|carbon_credit_approval|net_zero_progress,,BANK01,esg_committee,2024,True,5,False,§6(a)(iii)
MTG-BANK01-ESG-2024-014,ESG & Sustainability Committee,2024-06-10,True,net_zero_progress|exec_remuneration_esg_kpis,Approved climate scenario analysis methodology,BANK01,esg_committee,2024,True,5,True,§6(a)(v)
MTG-BANK01-ESG-2024-015,ESG & Sustainability Committee,2024-05-20,True,net_zero_progress|physical_risk_update,Approved carbon credit procurement budget,BANK01,esg_committee,2024,False,5,True,§6(a)(v)
MTG-BANK02-FB-2022-001,Full Board,2022-01-13,True,green_finance_growth|net_zero_progress|carbon_credit_approval,Approved 2024 ESG report for publication,BANK02,full_board,2022,True,5,True,§6(a)(v)
MTG-BANK02-FB-2022-002,Full Board,2022-04-18,True,physical_risk_update|exec_remuneration_esg_kpis,Approved 2024 ESG report for publication,BANK02,full_board,2022,True,7,True,§6(a)(iii)
MTG-BANK02-FB-2022-003,Full Board,2022-07-18,False,,,BANK02,full_board,2022,True,8,False,§6(a)(iii)
MTG-BANK02-FB-2022-004,Full Board,2022-10-20,True,tcfd_review|physical_risk_update,,BANK02,full_board,2022,True,9,False,§6(a)(iii)
MTG-BANK02-FB-2022-005,Full Board,2022-09-06,True,green_finance_growth|physical_risk_update|scenario_analysis,Approved climate scenario analysis methodology,BANK02,full_board,2022,True,8,True,§6(a)(iii)
MTG-BANK02-FB-2022-006,Full Board,2022-01-31,False,,,BANK02,full_board,2022,True,4,False,§6(a)(iii)
MTG-BANK02-ESG-2022-007,ESG & Sustainability Committee,2022-04-07,True,carbon_credit_approval|physical_risk_update,Approved carbon credit procurement budget,BANK02,esg_committee,2022,True,3,True,§6(a)(v)
MTG-BANK02-ESG-2022-008,ESG & Sustainability Committee,2022-10-10,True,green_finance_growth|net_zero_progress,,BANK02,esg_committee,2022,True,4,False,§6(a)(iii)
MTG-BANK02-ESG-2022-009,ESG & Sustainability Committee,2022-09-05,True,scenario_analysis|carbon_credit_approval,Endorsed updated transition plan,BANK02,esg_committee,2022,True,3,True,§6(a)(v)
MTG-BANK02-ESG-2022-010,ESG & Sustainability Committee,2022-11-02,True,green_finance_growth|carbon_credit_approval|tcfd_review,Approved 2024 ESG report for publication,BANK02,esg_committee,2022,True,4,True,§6(a)(v)
MTG-BANK02-FB-2023-001,Full Board,2023-01-30,True,exec_remuneration_esg_kpis|scenario_analysis,Approved 2024 ESG report for publication,BANK02,full_board,2023,True,9,True,§6(a)(v)
MTG-BANK02-FB-2023-002,Full Board,2023-04-06,False,,,BANK02,full_board,2023,True,6,False,§6(a)(iii)
MTG-BANK02-FB-2023-003,Full Board,2023-07-11,True,scenario_analysis,Approved carbon credit procurement budget,BANK02,full_board,2023,True,9,True,§6(a)(iii)
MTG-BANK02-FB-2023-004,Full Board,2023-10-16,False,,,BANK02,full_board,2023,True,7,False,§6(a)(iii)
MTG-BANK02-FB-2023-005,Full Board,2023-04-03,False,,,BANK02,full_board,2023,True,6,False,§6(a)(iii)
MTG-BANK02-FB-2023-006,Full Board,2023-06-12,False,,,BANK02,full_board,2023,True,8,False,§6(a)(iii)
MTG-BANK02-ESG-2023-007,ESG & Sustainability Committee,2023-03-27,True,physical_risk_update|green_finance_growth|exec_remuneration_esg_kpis,Approved carbon credit procurement budget,BANK02,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK02-ESG-2023-008,ESG & Sustainability Committee,2023-08-07,True,transition_plan_review|green_finance_growth,,BANK02,esg_committee,2023,True,4,False,§6(a)(iii)
MTG-BANK02-ESG-2023-009,ESG & Sustainability Committee,2023-06-09,True,scenario_analysis|net_zero_progress,Endorsed updated transition plan,BANK02,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK02-ESG-2023-010,ESG & Sustainability Committee,2023-10-02,True,scenario_analysis|tcfd_review|green_finance_growth,Endorsed updated transition plan,BANK02,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK02-FB-2024-001,Full Board,2024-01-22,True,tcfd_review,Approved 2024 ESG report for publication,BANK02,full_board,2024,True,8,True,§6(a)(v)
MTG-BANK02-FB-2024-002,Full Board,2024-04-15,True,scenario_analysis|carbon_credit_approval|tcfd_review,Approved carbon credit procurement budget,BANK02,full_board,2024,True,7,True,§6(a)(iii)
MTG-BANK02-FB-2024-003,Full Board,2024-07-29,True,green_finance_growth|scenario_analysis|carbon_credit_approval,,BANK02,full_board,2024,True,8,False,§6(a)(iii)
MTG-BANK02-FB-2024-004,Full Board,2024-10-21,False,,,BANK02,full_board,2024,True,9,False,§6(a)(iii)
MTG-BANK02-ESG-2024-005,ESG & Sustainability Committee,2024-06-20,True,net_zero_progress|carbon_credit_approval,Approved carbon credit procurement budget,BANK02,esg_committee,2024,True,4,True,§6(a)(v)
MTG-BANK02-ESG-2024-006,ESG & Sustainability Committee,2024-02-19,True,transition_plan_review|scenario_analysis|net_zero_progress,,BANK02,esg_committee,2024,True,4,False,§6(a)(iii)
MTG-BANK02-ESG-2024-007,ESG & Sustainability Committee,2024-05-06,True,green_finance_growth|tcfd_review,,BANK02,esg_committee,2024,True,4,False,§6(a)(iii)
MTG-BANK02-ESG-2024-008,ESG & Sustainability Committee,2024-01-22,True,exec_remuneration_esg_kpis|physical_risk_update|carbon_credit_approval,Endorsed updated transition plan,BANK02,esg_committee,2024,True,4,True,§6(a)(v)
MTG-BANK03-FB-2022-001,Full Board,2022-01-03,True,carbon_credit_approval|green_finance_growth,Approved 2024 ESG report for publication,BANK03,full_board,2022,True,7,True,§6(a)(v)
MTG-BANK03-FB-2022-002,Full Board,2022-04-13,True,exec_remuneration_esg_kpis|net_zero_progress|tcfd_review,Approved green finance framework update,BANK03,full_board,2022,True,10,True,§6(a)(iii)
MTG-BANK03-FB-2022-003,Full Board,2022-07-12,True,carbon_credit_approval|net_zero_progress,,BANK03,full_board,2022,True,9,False,§6(a)(iii)
MTG-BANK03-FB-2022-004,Full Board,2022-10-17,False,,,BANK03,full_board,2022,True,10,False,§6(a)(iii)
MTG-BANK03-FB-2022-005,Full Board,2022-06-13,False,,,BANK03,full_board,2022,True,9,False,§6(a)(iii)
MTG-BANK03-ESG-2022-006,ESG & Sustainability Committee,2022-03-28,True,scenario_analysis|green_finance_growth,,BANK03,esg_committee,2022,True,4,False,§6(a)(iii)
MTG-BANK03-ESG-2022-007,ESG & Sustainability Committee,2022-10-03,True,exec_remuneration_esg_kpis|tcfd_review|green_finance_growth|net_zero_progress,Approved climate scenario analysis methodology,BANK03,esg_committee,2022,True,4,True,§6(a)(v)
MTG-BANK03-ESG-2022-008,ESG & Sustainability Committee,2022-12-05,True,exec_remuneration_esg_kpis|transition_plan_review,,BANK03,esg_committee,2022,True,5,False,§6(a)(iii)
MTG-BANK03-ESG-2022-009,ESG & Sustainability Committee,2022-04-06,True,transition_plan_review|physical_risk_update|exec_remuneration_esg_kpis,,BANK03,esg_committee,2022,True,4,False,§6(a)(iii)
MTG-BANK03-FB-2023-001,Full Board,2023-01-19,True,carbon_credit_approval|tcfd_review,Approved 2024 ESG report for publication,BANK03,full_board,2023,True,9,True,§6(a)(v)
MTG-BANK03-FB-2023-002,Full Board,2023-04-20,True,tcfd_review,Approved 2024 ESG report for publication,BANK03,full_board,2023,True,9,True,§6(a)(iii)
MTG-BANK03-FB-2023-003,Full Board,2023-07-20,False,,,BANK03,full_board,2023,True,10,False,§6(a)(iii)
MTG-BANK03-FB-2023-004,Full Board,2023-10-16,True,transition_plan_review,Approved climate scenario analysis methodology,BANK03,full_board,2023,True,5,True,§6(a)(iii)
MTG-BANK03-ESG-2023-005,ESG & Sustainability Committee,2023-09-18,True,green_finance_growth|exec_remuneration_esg_kpis,Approved climate scenario analysis methodology,BANK03,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK03-ESG-2023-006,ESG & Sustainability Committee,2023-02-01,True,carbon_credit_approval|net_zero_progress|scenario_analysis,Endorsed updated transition plan,BANK03,esg_committee,2023,True,5,True,§6(a)(v)
MTG-BANK03-ESG-2023-007,ESG & Sustainability Committee,2023-08-09,True,exec_remuneration_esg_kpis|carbon_credit_approval|green_finance_growth|net_zero_progress,,BANK03,esg_committee,2023,True,4,False,§6(a)(iii)
MTG-BANK03-ESG-2023-008,ESG & Sustainability Committee,2023-12-15,True,carbon_credit_approval|green_finance_growth|exec_remuneration_esg_kpis|tcfd_review,Endorsed updated transition plan,BANK03,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK03-FB-2024-001,Full Board,2024-01-15,True,exec_remuneration_esg_kpis,Approved 2024 ESG report for publication,BANK03,full_board,2024,True,9,True,§6(a)(v)
MTG-BANK03-FB-2024-002,Full Board,2024-04-29,True,net_zero_progress|scenario_analysis,,BANK03,full_board,2024,True,10,False,§6(a)(iii)
MTG-BANK03-FB-2024-003,Full Board,2024-07-25,True,net_zero_progress,Approved carbon credit procurement budget,BANK03,full_board,2024,True,8,True,§6(a)(iii)
MTG-BANK03-FB-2024-004,Full Board,2024-10-18,True,exec_remuneration_esg_kpis|green_finance_growth|tcfd_review,Endorsed net-zero interim target revision,BANK03,full_board,2024,True,9,True,§6(a)(iii)
MTG-BANK03-ESG-2024-005,ESG & Sustainability Committee,2024-10-29,True,physical_risk_update|exec_remuneration_esg_kpis|carbon_credit_approval,,BANK03,esg_committee,2024,False,4,False,§6(a)(iii)
MTG-BANK03-ESG-2024-006,ESG & Sustainability Committee,2024-02-12,True,carbon_credit_approval|scenario_analysis|physical_risk_update,Approved green finance framework update,BANK03,esg_committee,2024,True,5,True,§6(a)(v)
MTG-BANK03-ESG-2024-007,ESG & Sustainability Committee,2024-05-07,True,net_zero_progress|green_finance_growth,,BANK03,esg_committee,2024,True,4,False,§6(a)(iii)
MTG-BANK03-ESG-2024-008,ESG & Sustainability Committee,2024-11-18,True,tcfd_review|physical_risk_update|scenario_analysis|transition_plan_review,Approved 2024 ESG report for publication,BANK03,esg_committee,2024,True,4,True,§6(a)(v)
MTG-BANK04-FB-2022-001,Full Board,2022-01-18,True,net_zero_progress|carbon_credit_approval,Approved 2024 ESG report for publication,BANK04,full_board,2022,True,10,True,§6(a)(v)
MTG-BANK04-FB-2022-002,Full Board,2022-04-18,True,physical_risk_update,,BANK04,full_board,2022,True,9,False,§6(a)(iii)
MTG-BANK04-FB-2022-003,Full Board,2022-07-07,True,carbon_credit_approval|transition_plan_review,,BANK04,full_board,2022,True,10,False,§6(a)(iii)
MTG-BANK04-FB-2022-004,Full Board,2022-10-25,True,green_finance_growth|net_zero_progress,Approved green finance framework update,BANK04,full_board,2022,True,12,True,§6(a)(iii)
MTG-BANK04-FB-2022-005,Full Board,2022-01-24,True,exec_remuneration_esg_kpis|net_zero_progress|carbon_credit_approval,Approved carbon credit procurement budget,BANK04,full_board,2022,True,7,True,§6(a)(iii)
MTG-BANK04-FB-2022-006,Full Board,2022-04-18,True,carbon_credit_approval|transition_plan_review|tcfd_review,,BANK04,full_board,2022,True,10,False,§6(a)(iii)
MTG-BANK04-FB-2022-007,Full Board,2022-03-18,True,transition_plan_review|green_finance_growth,,BANK04,full_board,2022,True,12,False,§6(a)(iii)
MTG-BANK04-FB-2022-008,Full Board,2022-01-24,True,physical_risk_update|scenario_analysis,Approved carbon credit procurement budget,BANK04,full_board,2022,True,11,True,§6(a)(iii)
MTG-BANK04-ESG-2022-009,ESG & Sustainability Committee,2022-06-13,True,exec_remuneration_esg_kpis|physical_risk_update,Endorsed net-zero interim target revision,BANK04,esg_committee,2022,True,5,True,§6(a)(v)
MTG-BANK04-ESG-2022-010,ESG & Sustainability Committee,2022-09-09,True,tcfd_review|carbon_credit_approval|transition_plan_review|net_zero_progress,Approved 2024 ESG report for publication,BANK04,esg_committee,2022,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2022-011,ESG & Sustainability Committee,2022-11-28,True,exec_remuneration_esg_kpis|carbon_credit_approval|scenario_analysis,Endorsed net-zero interim target revision,BANK04,esg_committee,2022,False,5,True,§6(a)(v)
MTG-BANK04-ESG-2022-012,ESG & Sustainability Committee,2022-03-18,True,net_zero_progress|tcfd_review|scenario_analysis,,BANK04,esg_committee,2022,True,5,False,§6(a)(iii)
MTG-BANK04-ESG-2022-013,ESG & Sustainability Committee,2022-06-27,True,transition_plan_review|carbon_credit_approval|tcfd_review,Approved green finance framework update,BANK04,esg_committee,2022,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2022-014,ESG & Sustainability Committee,2022-05-23,True,green_finance_growth|exec_remuneration_esg_kpis|transition_plan_review|carbon_credit_approval,,BANK04,esg_committee,2022,True,6,False,§6(a)(iii)
MTG-BANK04-ESG-2022-015,ESG & Sustainability Committee,2022-12-19,True,green_finance_growth|net_zero_progress,Endorsed net-zero interim target revision,BANK04,esg_committee,2022,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2022-016,ESG & Sustainability Committee,2022-11-07,True,green_finance_growth|net_zero_progress,Endorsed updated transition plan,BANK04,esg_committee,2022,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2022-017,ESG & Sustainability Committee,2022-01-12,True,net_zero_progress|tcfd_review,,BANK04,esg_committee,2022,True,6,False,§6(a)(iii)
MTG-BANK04-FB-2023-001,Full Board,2023-01-23,True,exec_remuneration_esg_kpis,Approved 2024 ESG report for publication,BANK04,full_board,2023,True,12,True,§6(a)(v)
MTG-BANK04-FB-2023-002,Full Board,2023-04-28,True,scenario_analysis|carbon_credit_approval,Approved carbon credit procurement budget,BANK04,full_board,2023,True,11,True,§6(a)(iii)
MTG-BANK04-FB-2023-003,Full Board,2023-07-05,False,,,BANK04,full_board,2023,True,12,False,§6(a)(iii)
MTG-BANK04-FB-2023-004,Full Board,2023-10-24,True,scenario_analysis|exec_remuneration_esg_kpis|physical_risk_update,Approved climate scenario analysis methodology,BANK04,full_board,2023,True,10,True,§6(a)(iii)
MTG-BANK04-ESG-2023-005,ESG & Sustainability Committee,2023-11-07,True,exec_remuneration_esg_kpis|scenario_analysis,Approved 2024 ESG report for publication,BANK04,esg_committee,2023,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2023-006,ESG & Sustainability Committee,2023-10-16,True,exec_remuneration_esg_kpis|net_zero_progress|scenario_analysis|carbon_credit_approval,,BANK04,esg_committee,2023,True,5,False,§6(a)(iii)
MTG-BANK04-ESG-2023-007,ESG & Sustainability Committee,2023-09-19,True,exec_remuneration_esg_kpis|scenario_analysis|tcfd_review,Approved 2024 ESG report for publication,BANK04,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK04-ESG-2023-008,ESG & Sustainability Committee,2023-09-12,True,net_zero_progress|carbon_credit_approval|scenario_analysis,,BANK04,esg_committee,2023,True,6,False,§6(a)(iii)
MTG-BANK04-ESG-2023-009,ESG & Sustainability Committee,2023-05-08,True,transition_plan_review|exec_remuneration_esg_kpis|carbon_credit_approval,Approved carbon credit procurement budget,BANK04,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK04-ESG-2023-010,ESG & Sustainability Committee,2023-07-10,True,scenario_analysis|tcfd_review|exec_remuneration_esg_kpis|carbon_credit_approval,Approved climate scenario analysis methodology,BANK04,esg_committee,2023,True,5,True,§6(a)(v)
MTG-BANK04-ESG-2023-011,ESG & Sustainability Committee,2023-08-02,True,physical_risk_update|net_zero_progress|green_finance_growth,,BANK04,esg_committee,2023,False,4,False,§6(a)(iii)
MTG-BANK04-ESG-2023-012,ESG & Sustainability Committee,2023-04-10,True,green_finance_growth|carbon_credit_approval|physical_risk_update|tcfd_review,Approved carbon credit procurement budget,BANK04,esg_committee,2023,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2023-013,ESG & Sustainability Committee,2023-07-12,True,scenario_analysis|transition_plan_review|net_zero_progress,,BANK04,esg_committee,2023,True,5,False,§6(a)(iii)
MTG-BANK04-ESG-2023-014,ESG & Sustainability Committee,2023-10-19,True,physical_risk_update|transition_plan_review|carbon_credit_approval|green_finance_growth,Endorsed net-zero interim target revision,BANK04,esg_committee,2023,True,4,True,§6(a)(v)
MTG-BANK04-FB-2024-001,Full Board,2024-01-08,True,exec_remuneration_esg_kpis,Approved 2024 ESG report for publication,BANK04,full_board,2024,True,9,True,§6(a)(v)
MTG-BANK04-FB-2024-002,Full Board,2024-04-25,True,carbon_credit_approval|tcfd_review|transition_plan_review,,BANK04,full_board,2024,True,11,False,§6(a)(iii)
MTG-BANK04-FB-2024-003,Full Board,2024-07-26,True,green_finance_growth|exec_remuneration_esg_kpis|scenario_analysis,Approved 2024 ESG report for publication,BANK04,full_board,2024,True,11,True,§6(a)(iii)
MTG-BANK04-FB-2024-004,Full Board,2024-10-02,True,scenario_analysis,Approved carbon credit procurement budget,BANK04,full_board,2024,True,9,True,§6(a)(iii)
MTG-BANK04-FB-2024-005,Full Board,2024-11-15,True,carbon_credit_approval,,BANK04,full_board,2024,True,10,False,§6(a)(iii)
MTG-BANK04-FB-2024-006,Full Board,2024-06-24,True,transition_plan_review,Endorsed net-zero interim target revision,BANK04,full_board,2024,True,11,True,§6(a)(iii)
MTG-BANK04-ESG-2024-007,ESG & Sustainability Committee,2024-09-09,True,carbon_credit_approval|scenario_analysis,,BANK04,esg_committee,2024,True,5,False,§6(a)(iii)
MTG-BANK04-ESG-2024-008,ESG & Sustainability Committee,2024-04-09,True,scenario_analysis|green_finance_growth,,BANK04,esg_committee,2024,True,5,False,§6(a)(iii)
MTG-BANK04-ESG-2024-009,ESG & Sustainability Committee,2024-10-28,True,scenario_analysis|carbon_credit_approval|transition_plan_review|green_finance_growth,,BANK04,esg_committee,2024,True,5,False,§6(a)(iii)
MTG-BANK04-ESG-2024-010,ESG & Sustainability Committee,2024-10-17,True,net_zero_progress|exec_remuneration_esg_kpis,Approved climate scenario analysis methodology,BANK04,esg_committee,2024,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2024-011,ESG & Sustainability Committee,2024-08-23,True,exec_remuneration_esg_kpis|carbon_credit_approval|transition_plan_review,Approved 2024 ESG report for publication,BANK04,esg_committee,2024,True,5,True,§6(a)(v)
MTG-BANK04-ESG-2024-012,ESG & Sustainability Committee,2024-05-06,True,exec_remuneration_esg_kpis|green_finance_growth|transition_plan_review,Endorsed net-zero interim target revision,BANK04,esg_committee,2024,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2024-013,ESG & Sustainability Committee,2024-06-05,True,carbon_credit_approval|transition_plan_review,Approved climate scenario analysis methodology,BANK04,esg_committee,2024,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2024-014,ESG & Sustainability Committee,2024-07-29,True,green_finance_growth|exec_remuneration_esg_kpis|tcfd_review|transition_plan_review,Approved 2024 ESG report for publication,BANK04,esg_committee,2024,True,5,True,§6(a)(v)
MTG-BANK04-ESG-2024-015,ESG & Sustainability Committee,2024-11-19,True,green_finance_growth|exec_remuneration_esg_kpis|transition_plan_review,Approved climate scenario analysis methodology,BANK04,esg_committee,2024,True,6,True,§6(a)(v)
MTG-BANK04-ESG-2024-016,ESG & Sustainability Committee,2024-12-09,True,tcfd_review|net_zero_progress,,BANK04,esg_committee,2024,True,6,False,§6(a)(iii)
MTG-BANK04-ESG-2024-017,ESG & Sustainability Committee,2024-09-16,True,tcfd_review|physical_risk_update|net_zero_progress,,BANK04,esg_committee,2024,True,6,False,§6(a)(iii)
MTG-BANK05-FB-2022-001,Full Board,2022-01-19,True,net_zero_progress|scenario_analysis,Approved 2024 ESG report for publication,BANK05,full_board,2022,True,9,True,§6(a)(v)
MTG-BANK05-FB-2022-002,Full Board,2022-04-11,False,,,BANK05,full_board,2022,True,9,False,§6(a)(iii)
MTG-BANK05-FB-2022-003,Full Board,2022-07-19,False,,,BANK05,full_board,2022,False,10,False,§6(a)(iii)
MTG-BANK05-FB-2022-004,Full Board,2022-10-26,False,,,BANK05,full_board,2022,True,11,False,§6(a)(iii)
MTG-BANK05-FB-2023-001,Full Board,2023-01-04,True,tcfd_review,Approved 2024 ESG report for publication,BANK05,full_board,2023,True,11,True,§6(a)(v)
MTG-BANK05-FB-2023-002,Full Board,2023-04-17,False,,,BANK05,full_board,2023,True,10,False,§6(a)(iii)
MTG-BANK05-FB-2023-003,Full Board,2023-07-10,True,net_zero_progress,,BANK05,full_board,2023,True,8,False,§6(a)(iii)
MTG-BANK05-FB-2023-004,Full Board,2023-10-24,True,transition_plan_review|carbon_credit_approval,Approved green finance framework update,BANK05,full_board,2023,True,10,True,§6(a)(iii)
MTG-BANK05-FB-2023-005,Full Board,2023-10-11,True,exec_remuneration_esg_kpis,Endorsed updated transition plan,BANK05,full_board,2023,True,9,True,§6(a)(iii)
MTG-BANK05-FB-2023-006,Full Board,2023-02-09,False,,,BANK05,full_board,2023,True,10,False,§6(a)(iii)
MTG-BANK05-FB-2023-007,Full Board,2023-08-24,False,,,BANK05,full_board,2023,True,11,False,§6(a)(iii)
MTG-BANK05-FB-2024-001,Full Board,2024-01-23,True,transition_plan_review|carbon_credit_approval|net_zero_progress,Approved 2024 ESG report for publication,BANK05,full_board,2024,True,12,True,§6(a)(v)
