bank_id,reporting_year,electricity_kwh,scope2_location_tco2e,scope2_market_tco2e,invoice_id,facility_id,invoice_year,invoice_month,electricity_cost_eur,renewable_share_pct,natural_gas_kwh,natural_gas_cost_eur,water_m3,water_cost_eur,rec_volume_kwh,rec_registry,grid_emission_factor_tco2e_per_mwh,scope1_gas_tco2e
BANK01,,16818,6.3908,3.1954,UI0000052,FAC0002,2023,2023-04,4127.94,50,7411,699.01,1027,3681.69,8409.0,GO,0.38,1.497
BANK01,,17391,6.6086,2.6434,UI0000053,FAC0002,2023,2023-05,4007.69,60,7932,794.94,961,4040.34,10434.6,I-REC,0.38,1.6023
BANK01,,21538,8.1844,3.2738,UI0000054,FAC0002,2023,2023-06,5236.05,60,8921,961.19,856,3732.74,12922.8,I-REC,0.38,1.802
BANK01,,21557,8.1917,4.915,UI0000055,FAC0002,2023,2023-07,5687.4,40,8941,963.97,1288,6007.27,8622.8,I-REC,0.38,1.8061
BANK01,,18636,7.0817,4.249,UI0000056,FAC0002,2023,2023-08,5506.12,40,9782,956.14,687,3192.41,7454.4,I-REC,0.38,1.976
BANK01,,17608,6.691,4.6837,UI0000057,FAC0002,2023,2023-09,4588.03,30,8293,728.38,999,4096.8,5282.4,GO,0.38,1.6752
BANK01,,17810,6.7678,3.3839,UI0000058,FAC0002,2023,2023-10,4425.52,50,7914,734.29,1107,5172.94,8905.0,I-REC,0.38,1.5986
BANK01,,15948,6.0602,2.4241,UI0000059,FAC0002,2023,2023-11,3359.77,60,8212,776.69,983,3751.12,9568.8,GO,0.38,1.6588
BANK01,,22914,8.7073,3.4829,UI0000060,FAC0002,2023,2023-12,4624.0,60,9277,1100.03,1073,4835.62,13748.4,GO,0.38,1.874
BANK01,,22305,8.2283,4.937,UI0000061,FAC0002,2024,2024-01,5561.27,40,10644,1427.46,1327,5825.36,8922.0,GO,0.3689,2.1501
BANK01,,20553,7.582,3.791,UI0000062,FAC0002,2024,2024-02,5259.01,50,10373,796.24,813,3763.37,10276.5,I-REC,0.3689,2.0953
BANK01,,14507,5.3516,2.6758,UI0000063,FAC0002,2024,2024-03,4292.21,50,6707,788.97,672,2106.08,7253.5,I-REC,0.3689,1.3548
BANK01,,15883,5.8592,1.7578,UI0000064,FAC0002,2024,2024-04,2882.44,70,6837,764.58,1308,4821.73,11118.1,GO,0.3689,1.3811
BANK01,,15634,5.7674,1.7302,UI0000065,FAC0002,2024,2024-05,4204.46,70,7110,793.0,1057,4606.65,10943.8,GO,0.3689,1.4362
BANK01,,21468,7.9195,3.1678,UI0000066,FAC0002,2024,2024-06,5970.0,60,9045,1178.4,850,3202.38,12880.8,GO,0.3689,1.8271
BANK01,,19752,7.2865,2.9146,UI0000067,FAC0002,2024,2024-07,6179.95,60,8318,981.02,1111,5543.09,11851.2,GO,0.3689,1.6802
BANK01,,19128,7.0563,4.2338,UI0000068,FAC0002,2024,2024-08,4714.71,40,9883,1067.97,1165,3688.31,7651.2,I-REC,0.3689,1.9964
BANK01,,16754,6.1806,1.8542,UI0000069,FAC0002,2024,2024-09,3906.68,70,7720,722.72,1291,5431.52,11727.8,GO,0.3689,1.5594
BANK01,,15937,5.8792,1.7637,UI0000070,FAC0002,2024,2024-10,3351.83,70,7139,704.92,1006,3038.71,11155.9,I-REC,0.3689,1.4421
BANK01,,14843,5.4756,1.6427,UI0000071,FAC0002,2024,2024-11,2815.33,70,7938,656.36,1182,4195.49,10390.1,GO,0.3689,1.6035
BANK01,,21658,7.9896,4.7938,UI0000072,FAC0002,2024,2024-12,4666.19,40,10462,818.51,993,4005.24,8663.2,GO,0.3689,2.1133
BANK01,,74262,29.0661,23.2529,UI0000073,FAC0003,2022,2022-01,16385.18,20,36312,3384.25,388,1249.11,14852.4,I-REC,0.3914,7.335
BANK01,,73958,28.9472,14.4736,UI0000074,FAC0003,2022,2022-02,15891.06,50,39140,3800.93,230,1032.48,36979.0,I-REC,0.3914,7.9063
BANK01,,61416,24.0382,14.4229,UI0000075,FAC0003,2022,2022-03,12625.59,40,25721,2412.76,273,1191.94,24566.4,GO,0.3914,5.1956
BANK01,,63700,24.9322,19.9457,UI0000076,FAC0003,2022,2022-04,12371.51,20,26008,2073.99,289,1294.93,12740.0,GO,0.3914,5.2536
BANK01,,64905,25.4038,15.2423,UI0000077,FAC0003,2022,2022-05,18900.81,40,27845,2787.23,288,1272.04,25962.0,GO,0.3914,5.6247
BANK01,,78615,30.7699,15.385,UI0000078,FAC0003,2022,2022-06,19363.83,50,32725,2929.65,313,1287.86,39307.5,GO,0.3914,6.6105
BANK01,,71690,28.0595,16.8357,UI0000079,FAC0003,2022,2022-07,17667.83,40,30688,3237.52,245,854.18,28676.0,GO,0.3914,6.199
BANK01,,79054,30.9417,24.7534,UI0000080,FAC0003,2022,2022-08,20542.88,20,31174,3632.55,187,727.84,15810.8,GO,0.3914,6.2971
BANK01,,65499,25.6363,20.509,UI0000081,FAC0003,2022,2022-09,20692.52,20,26803,3107.5,245,1020.24,13099.8,GO,0.3914,5.4142
BANK01,,55005,21.529,12.9174,UI0000082,FAC0003,2022,2022-10,10926.75,40,24968,2973.77,230,695.15,22002.0,GO,0.3914,5.0435
BANK01,,54339,21.2683,12.761,UI0000083,FAC0003,2022,2022-11,14235.74,40,29084,2053.91,209,995.0,21735.6,I-REC,0.3914,5.875
BANK01,,73676,28.8368,20.1858,UI0000084,FAC0003,2022,2022-12,15207.71,30,39751,4103.62,390,1543.41,22102.8,I-REC,0.3914,8.0297
BANK01,,71611,27.2122,19.0485,UI0000085,FAC0003,2023,2023-01,14354.84,30,35127,2771.06,335,1346.61,21483.3,I-REC,0.38,7.0957
BANK01,,83478,31.7216,22.2051,UI0000086,FAC0003,2023,2023-02,21642.68,30,32828,2865.71,306,1379.09,25043.4,GO,0.38,6.6313
BANK01,,62358,23.696,11.848,UI0000087,FAC0003,2023,2023-03,14772.29,50,26204,3214.34,236,728.25,31179.0,GO,0.38,5.2932
BANK01,,56294,21.3917,10.6959,UI0000088,FAC0003,2023,2023-04,13212.69,50,26382,2966.67,228,1079.32,28147.0,GO,0.38,5.3292
BANK01,,61294,23.2917,9.3167,UI0000089,FAC0003,2023,2023-05,16576.7,60,24941,3064.75,330,1093.81,36776.4,I-REC,0.38,5.0381
BANK01,,72779,27.656,11.0624,UI0000090,FAC0003,2023,2023-06,19211.84,60,31539,3129.05,369,1521.52,43667.4,GO,0.38,6.3709
BANK01,,74285,28.2283,19.7598,UI0000091,FAC0003,2023,2023-07,17214.28,30,34763,3390.39,369,1449.81,22285.5,I-REC,0.38,7.0221
BANK01,,75745,28.7831,14.3916,UI0000092,FAC0003,2023,2023-08,23382.92,50,35686,4634.77,255,1004.66,37872.5,I-REC,0.38,7.2086
BANK01,,58248,22.1342,13.2805,UI0000093,FAC0003,2023,2023-09,14311.88,40,28337,2164.07,385,1532.05,23299.2,I-REC,0.38,5.7241
BANK01,,56550,21.489,10.7445,UI0000094,FAC0003,2023,2023-10,15159.75,50,27041,3661.12,334,1586.33,28275.0,GO,0.38,5.4623
BANK01,,59493,22.6073,11.3037,UI0000095,FAC0003,2023,2023-11,18264.97,50,25483,2793.47,406,1500.99,29746.5,I-REC,0.38,5.1476
BANK01,,74839,28.4388,11.3755,UI0000096,FAC0003,2023,2023-12,16389.22,60,38274,4280.69,307,1332.19,44903.4,GO,0.38,7.7313
BANK01,,71542,26.3918,10.5567,UI0000097,FAC0003,2024,2024-01,14780.24,60,36010,4249.85,372,1646.19,42925.2,I-REC,0.3689,7.274
BANK01,,77104,28.4437,14.2218,UI0000098,FAC0003,2024,2024-02,15143.96,50,33133,3995.57,293,1049.8,38552.0,GO,0.3689,6.6929
BANK01,,54328,20.0416,8.0166,UI0000099,FAC0003,2024,2024-03,11171.52,60,26929,3105.54,335,1337.96,32596.8,I-REC,0.3689,5.4397
BANK01,,54312,20.0357,6.0107,UI0000100,FAC0003,2024,2024-04,13862.44,70,26328,2112.66,247,1040.36,38018.4,I-REC,0.3689,5.3183
BANK01,,54391,20.0648,6.0195,UI0000101,FAC0003,2024,2024-05,9815.26,70,28875,2403.12,378,1840.2,38073.7,GO,0.3689,5.8328
BANK01,,75923,28.008,11.2032,UI0000102,FAC0003,2024,2024-06,19098.93,60,31987,3180.61,421,1486.72,45553.8,GO,0.3689,6.4614
BANK01,,76675,28.2854,16.9712,UI0000103,FAC0003,2024,2024-07,18915.07,40,33107,3214.09,300,971.67,30670.0,I-REC,0.3689,6.6876
BANK01,,65478,24.1548,14.4929,UI0000104,FAC0003,2024,2024-08,12162.2,40,31384,2351.28,375,1205.6,26191.2,I-REC,0.3689,6.3396
BANK01,,57626,21.2582,6.3775,UI0000105,FAC0003,2024,2024-09,12025.68,70,24443,3236.05,205,847.29,40338.2,I-REC,0.3689,4.9375
BANK01,,51613,19.04,7.616,UI0000106,FAC0003,2024,2024-10,11343.83,60,25553,2219.22,333,1145.81,30967.8,I-REC,0.3689,5.1617
BANK01,,58409,21.5471,8.6188,UI0000107,FAC0003,2024,2024-11,17388.8,60,27740,2236.38,406,1667.61,35045.4,I-REC,0.3689,5.6035
BANK01,,73500,27.1142,8.1342,UI0000108,FAC0003,2024,2024-12,15320.32,70,33241,3760.91,376,1845.76,51450.0,I-REC,0.3689,6.7147
BANK01,,93500,36.5959,21.9575,UI0000109,FAC0004,2022,2022-01,27427.01,40,49257,3877.48,1915,6687.92,37400.0,I-REC,0.3914,9.9499
BANK01,,99920,39.1087,27.3761,UI0000110,FAC0004,2022,2022-02,30822.08,30,44572,3992.0,1506,4527.54,29976.0,GO,0.3914,9.0035
BANK01,,78984,30.9143,15.4572,UI0000111,FAC0004,2022,2022-03,19150.71,50,34791,3000.82,1785,8379.8,39492.0,I-REC,0.3914,7.0278
BANK01,,74972,29.344,14.672,UI0000112,FAC0004,2022,2022-04,22422.78,50,34854,4271.31,998,3039.96,37486.0,I-REC,0.3914,7.0405
BANK01,,80418,31.4756,15.7378,UI0000113,FAC0004,2022,2022-05,23364.83,50,33169,3538.32,1577,5746.84,40209.0,GO,0.3914,6.7001
BANK01,,93322,36.5262,25.5684,UI0000114,FAC0004,2022,2022-06,21670.73,30,44076,5255.71,1760,7395.36,27996.6,GO,0.3914,8.9034
BANK01,,97054,37.9869,26.5909,UI0000115,FAC0004,2022,2022-07,20430.83,30,42026,3981.06,1704,6046.28,29116.2,I-REC,0.3914,8.4893
BANK01,,97353,38.104,19.052,UI0000116,FAC0004,2022,2022-08,30616.71,50,46513,5491.07,1251,5162.4,48676.5,GO,0.3914,9.3956
BANK01,,78591,30.7605,24.6084,UI0000117,FAC0004,2022,2022-09,18425.01,20,32179,3030.07,1621,6098.11,15718.2,I-REC,0.3914,6.5002
BANK01,,76231,29.8368,23.8695,UI0000118,FAC0004,2022,2022-10,18389.26,20,36828,3475.68,1838,6503.29,15246.2,I-REC,0.3914,7.4393
BANK01,,82656,32.3516,22.6461,UI0000119,FAC0004,2022,2022-11,24756.35,30,33555,3863.88,1006,4223.4,24796.8,I-REC,0.3914,6.7781
BANK01,,108142,42.3268,25.3961,UI0000120,FAC0004,2022,2022-12,20191.95,40,50248,4321.36,1916,8457.62,43256.8,GO,0.3914,10.1501
BANK01,,92979,35.332,17.666,UI0000121,FAC0004,2023,2023-01,17767.89,50,47120,6372.54,1444,5640.56,46489.5,GO,0.38,9.5182
BANK01,,95661,36.3512,21.8107,UI0000122,FAC0004,2023,2023-02,20287.06,40,49359,4531.74,1140,4606.76,38264.4,GO,0.38,9.9705
BANK01,,70828,26.9146,16.1488,UI0000123,FAC0004,2023,2023-03,15607.23,40,31726,3265.16,889,3419.56,28331.2,GO,0.38,6.4087
BANK01,,69871,26.551,18.5857,UI0000124,FAC0004,2023,2023-04,13235.91,30,31207,2406.24,1896,8787.16,20961.3,I-REC,0.38,6.3038
BANK01,,70033,26.6125,13.3063,UI0000125,FAC0004,2023,2023-05,19696.72,50,31946,2577.73,1343,6532.76,35016.5,GO,0.38,6.4531
BANK01,,86820,32.9916,16.4958,UI0000126,FAC0004,2023,2023-06,21866.0,50,38071,2720.18,1779,7132.05,43410.0,I-REC,0.38,7.6903
BANK01,,83366,31.6791,19.0074,UI0000127,FAC0004,2023,2023-07,24886.02,40,39136,3402.28,885,3732.88,33346.4,GO,0.38,7.9055
BANK01,,89044,33.8367,13.5347,UI0000128,FAC0004,2023,2023-08,18211.31,60,44609,3465.73,1343,4695.7,53426.4,GO,0.38,9.011
BANK01,,76940,29.2372,11.6949,UI0000129,FAC0004,2023,2023-09,15313.11,60,36301,3270.87,905,3672.3,46164.0,GO,0.38,7.3328
BANK01,,74692,28.383,11.3532,UI0000130,FAC0004,2023,2023-10,22738.56,60,36299,3726.58,1441,6188.67,44815.2,I-REC,0.38,7.3324
BANK01,,75136,28.5517,11.4207,UI0000131,FAC0004,2023,2023-11,21430.92,60,36521,3894.71,1471,5612.39,45081.6,I-REC,0.38,7.3772
BANK01,,99852,37.9438,22.7663,UI0000132,FAC0004,2023,2023-12,18999.68,40,46054,6430.52,1723,8070.35,39940.8,I-REC,0.38,9.3029
BANK01,,90274,33.3021,13.3208,UI0000133,FAC0004,2024,2024-01,20971.31,60,48784,4489.01,1255,4263.74,54164.4,GO,0.3689,9.8544
BANK01,,88328,32.5842,16.2921,UI0000134,FAC0004,2024,2024-02,21462.97,50,44554,4960.2,1538,6947.93,44164.0,I-REC,0.3689,8.9999
BANK01,,68062,25.1081,12.554,UI0000135,FAC0004,2024,2024-03,12407.22,50,35840,3078.48,1270,4925.13,34031.0,I-REC,0.3689,7.2397
BANK01,,73151,26.9854,13.4927,UI0000136,FAC0004,2024,2024-04,17911.89,50,33624,3332.34,1346,4176.22,36575.5,GO,0.3689,6.792
BANK01,,79913,29.4799,11.792,UI0000137,FAC0004,2024,2024-05,18568.98,60,36540,3454.45,1853,8929.21,47947.8,GO,0.3689,7.3811
BANK01,,96583,35.6295,14.2518,UI0000138,FAC0004,2024,2024-06,22182.06,60,44453,4706.65,918,3629.97,57949.8,I-REC,0.3689,8.9795
BANK01,,97425,35.9401,14.376,UI0000139,FAC0004,2024,2024-07,22057.34,60,44424,4074.74,1362,5466.3,58455.0,GO,0.3689,8.9736
BANK01,,80878,29.8359,11.9344,UI0000140,FAC0004,2024,2024-08,15236.14,60,38075,4023.21,1656,7056.79,48526.8,GO,0.3689,7.6912
BANK01,,71457,26.3605,7.9081,UI0000141,FAC0004,2024,2024-09,16332.9,70,33502,3110.93,1201,4486.86,50019.9,GO,0.3689,6.7674
BANK01,,77764,28.6871,8.6061,UI0000142,FAC0004,2024,2024-10,18716.02,70,34431,3648.93,1810,7842.08,54434.8,I-REC,0.3689,6.9551
BANK01,,74049,27.3167,13.6583,UI0000143,FAC0004,2024,2024-11,23000.56,50,35537,3427.71,1392,6015.16,37024.5,I-REC,0.3689,7.1785
BANK01,,96617,35.642,17.821,UI0000144,FAC0004,2024,2024-12,27699.63,50,47144,3948.0,1127,4771.43,48308.5,GO,0.3689,9.5231
BANK01,,18596,7.2785,5.8228,UI0000145,FAC0005,2022,2022-01,5829.82,20,8483,709.3,507,2098.27,3719.2,GO,0.3914,1.7136
BANK01,,19148,7.4945,4.4967,UI0000146,FAC0005,2022,2022-02,6101.7,40,9571,811.08,575,2864.68,7659.2,GO,0.3914,1.9333
BANK01,,13619,5.3305,4.2644,UI0000147,FAC0005,2022,2022-03,2869.16,20,6116,819.91,942,3138.0,2723.8,I-REC,0.3914,1.2354
BANK01,,15106,5.9125,3.5475,UI0000148,FAC0005,2022,2022-04,4023.51,40,6219,861.72,906,4259.28,6042.4,I-REC,0.3914,1.2562
BANK01,,15932,6.2358,3.7415,UI0000149,FAC0005,2022,2022-05,4276.36,40,6413,595.49,835,2764.85,6372.8,I-REC,0.3914,1.2954
BANK01,,18496,7.2393,4.3436,UI0000150,FAC0005,2022,2022-06,5416.86,40,8594,1069.79,810,2827.38,7398.4,GO,0.3914,1.736
BANK01,,18970,7.4249,4.4549,UI0000151,FAC0005,2022,2022-07,4739.51,40,8128,981.04,652,2483.74,7588.0,GO,0.3914,1.6419
BANK01,,19460,7.6166,6.0933,UI0000152,FAC0005,2022,2022-08,5747.89,20,7908,860.79,1029,4824.96,3892.0,I-REC,0.3914,1.5974
BANK01,,13781,5.3939,3.7757,UI0000153,FAC0005,2022,2022-09,4267.25,30,7354,873.78,775,3109.06,4134.3,GO,0.3914,1.4855
BANK01,,14346,5.615,3.369,UI0000154,FAC0005,2022,2022-10,2745.22,40,6604,537.38,840,3328.37,5738.4,I-REC,0.3914,1.334
BANK01,,15853,6.2049,4.9639,UI0000155,FAC0005,2022,2022-11,3820.37,20,6155,782.02,679,2246.19,3170.6,GO,0.3914,1.2433
BANK01,,19364,7.5791,6.0633,UI0000156,FAC0005,2022,2022-12,4320.52,20,8142,847.23,1077,5380.26,3872.8,I-REC,0.3914,1.6447
BANK01,,20712,7.8706,3.1482,UI0000157,FAC0005,2023,2023-01,6191.29,60,8623,776.52,615,2596.0,12427.2,I-REC,0.38,1.7418
BANK01,,17801,6.7644,2.7058,UI0000158,FAC0005,2023,2023-02,5330.47,60,8206,632.24,687,2174.09,10680.6,GO,0.38,1.6576
BANK01,,14989,5.6958,3.9871,UI0000159,FAC0005,2023,2023-03,4658.77,30,6142,771.14,752,3304.86,4496.7,GO,0.38,1.2407
BANK01,,13313,5.0589,3.5413,UI0000160,FAC0005,2023,2023-04,2645.13,30,6012,834.82,779,2908.42,3993.9,GO,0.38,1.2144
BANK01,,14841,5.6396,3.9477,UI0000161,FAC0005,2023,2023-05,2755.38,30,7036,932.28,706,2584.16,4452.3,I-REC,0.38,1.4213
BANK01,,15877,6.0333,4.2233,UI0000162,FAC0005,2023,2023-06,4683.72,30,8206,684.85,1109,3703.91,4763.1,GO,0.38,1.6576
BANK01,,17108,6.501,3.2505,UI0000163,FAC0005,2023,2023-07,4553.48,50,8869,947.44,547,2550.99,8554.0,I-REC,0.38,1.7915
BANK01,,16735,6.3593,3.1797,UI0000164,FAC0005,2023,2023-08,3381.06,50,7370,916.28,865,3485.76,8367.5,I-REC,0.38,1.4887
BANK01,,14299,5.4336,2.1734,UI0000165,FAC0005,2023,2023-09,4279.72,60,6240,727.28,659,2892.89,8579.4,I-REC,0.38,1.2605
BANK01,,15198,5.7752,2.8876,UI0000166,FAC0005,2023,2023-10,4126.08,50,6418,815.24,803,3080.26,7599.0,GO,0.38,1.2964
BANK01,,15542,5.906,2.953,UI0000167,FAC0005,2023,2023-11,3255.69,50,6993,715.31,1019,4490.19,7771.0,GO,0.38,1.4126
BANK01,,17312,6.5786,3.9471,UI0000168,FAC0005,2023,2023-12,3377.13,40,8029,814.34,1037,3420.7,6924.8,I-REC,0.38,1.6219
BANK01,,17103,6.3093,3.1546,UI0000169,FAC0005,2024,2024-01,4799.27,50,9096,913.91,917,2975.88,8551.5,GO,0.3689,1.8374
BANK01,,19237,7.0965,2.8386,UI0000170,FAC0005,2024,2024-02,5987.34,60,9394,795.52,831,3279.51,11542.2,I-REC,0.3689,1.8976
BANK01,,12716,4.6909,2.8146,UI0000171,FAC0005,2024,2024-03,2375.96,40,6028,776.88,601,2768.96,5086.4,I-REC,0.3689,1.2177
BANK01,,13714,5.0591,1.5177,UI0000172,FAC0005,2024,2024-04,3973.24,70,6877,896.62,774,3018.0,9599.8,GO,0.3689,1.3892
